title,comment,rating
Saving Private Ryan,"There was a time when I believed that Steven Spielberg was a great movie maker. But that time is far in the past. This movie is ridiculous and an insult to American soldiers, German, French, British and Australian soldiers.

I wonder if S. S. is just getting too old or what his problem is. Has he decided to stop making good movies and just aims his films at the most ignorant part of the audience?

It has been said, in many places and times by various people that ""You will never go broke underestimating the intelligence of the public"". That seems to be his current philosophy of movie making. Who cares if it's good as long as it makes money!!!",1
Saving Private Ryan,"This movie is one of the most deceptive Devil ending message. Is Not if you made a good life! The correct answer is if you Have Jesus Christ in you life. Only if you have made and accepted Jesus Christ as you only Lord and savior you be ok on Heaven. Please believe that only Jesus can cleanse you from all unrighteousness and made you righteousness in Christ Jesus our and savior. You cannot save yourself. You yes need Jesus finish work on the cross of Calvary

So Do Not be deceived by the ending message of this movie. Be careful with Hollywood movies as they are against the Bible

Heaven and Hell are real places ! Jesus is the only way to heaven. Please repent today and believe in Jesus and confess with your mouth he is Lord and you will be saved Do it now before is too late Remember Jesus Loves you So much and he will come soon!! : )",1
Saving Private Ryan,"My bf made me watch this saying it was the greatest war film of all time.

Absolute load rubbish with no likeable characters and really bad decision making. Waste of lives just for 1 person doesn't make sense. Making 1 mom happy and 6 moms lose their sons is stupid.",1
Saving Private Ryan,"Firstly just to be fair I am going to praise whats good about this film. It holds your attention with excellent music & good cinematography. As for gore lovers theres plenty of scenes depicting the true horrors of war. Well thats that along with some good character development which certainly is vital in order to hold it all together.

Moving onto whats not so good! personally I don't like movies which ultimately feel mediocre. Let me explain this: so here we have this film which needs no intro one every Spielberg fan absolutely loves. For most part it is a wonderful watch however towards the end I was thinking it is quite a pointless film. I mean thats exactly what it felt like, pointless. Mediocre & Pointless is probably the best way to describe it. Furthermore I absolutely hate movies which get all the appreciation because of the director or lead actors. Saving Private Ryan does just that & also heavily relies on potentially fake reviews. If it weren't for Spielberg & good actors it would've been rated 5/10 at best.

If you haven't seen it I'd say give it a miss. And if you have seen it already watch again with an open mind ignoring the fact who directed it or who's in it.",1
Saving Private Ryan,"The leading actor fails to capture the role of a hero. It doesn't matter how many props or special effects are used to set the scene. If the essence is off fundamentally, it doesn't matter how many takes you roll. You guys really are messing up bad here. American doesn't want poor quality. We expect the best , and honestly on this one people are starting to think to themselves, ""We deserve our money back and then some.""",1
Saving Private Ryan,"This is the worst movie I have seen of Tom Hanks. It was intolerably stupid and a pain to watch.It's a slow paced movie. duration is long..boringgggg script..don't know why get 5 Oscars.Just like everybody else, I was amazed by the ""realism"" of the first 5 minutes. Once you get past the battle scenes, there's not much to work with. I'm glad people (as manifest in the growing number of low reviews here) are starting to realize this.

The dialogue sounds like it is cut out of newspaper articles which editorialize the mission. It's as though Spielberg thought his audience was so stupid that the moral dilemma of the film had to be spelled out for them in detail",1
Saving Private Ryan,"This movie is indeed nothing to get excited about. When it was released in theaters I couldn't wait to see it. But I never made it. So I waited for video. When I saw it it put me to sleep.

I will admit that the movie does have very good war scenes, but nothing to get excited over. The WWII veterans deserved something better then this. If the soldiers aren't fighting in the movie it's boring. Even Tom Hanks's performance is nothing to get excited about.

I hated it.",1
Saving Private Ryan,"I know the rating is very misleading, due to my immense love for this masterpiece, but this movie gets one star simply because of my intense hate for Upham. He is also one of the two characters who lives to the end of the final battle, and he takes credit for taking the Germans captive at the last minute. Other that that piece of scum, this was a great movie. There were plenty of characters to love as well as a pretty loaded cast of lots of famous faces. All of the combat scenes were very well done, from the gritty backdrop to the constant death that made me feel like I was right there with them.",1
Saving Private Ryan,"Now I'm doing something forbidden: I'm comparing this movie, Saving Private Ryan with the other anti-war movie released same year, The Thin Red Line, although it's two movies which are so much different because they're hardly in the same genre. I happened to see The Thin Red Line first in the theatre which was a tremendeous experience to me. After that I saw Saving Private Ryan and I thought it was a huge step down from the Terrence Mallick masterpiece about Guadalcanal which I'm afraid was released the worst time possible. I definitely believe that the succes of SPR has something to do with the Oscar winning director Steven Spielberg who's a certain winner every time. But I look at SPR as a way too classical movie with the classic white vs black scenario. Not much more than an easily digestive action film which has great effects and great action but nothing that gets to me like The Thin Red Line did it. Sorry, Spielberg.",1
Saving Private Ryan,"I understand why people like the D-Day part. It's very, very well done. But everything after that is idiotic melodrama, It's like a bad imitation of something I would expect to find on a bad 1960's television show It is bad melodrama, and completely unbelievable. Furthermore, Matt Damon's speech about the girl falling down the ugly tree is one of the most obnoxious, offensive things I have heard in modern cinema.",1
Saving Private Ryan,"Among all Spielberg's movies that I saw at the festival, this is the only one when I felt nothing leaving out except being disappointed and angry. Worst, I felt like this as soon as the first scene. Seeing this old man walking alone with his wife and family trotting behind was like a slap at my face. At this old age and having survived the war, it was extremely selfish for him to act like this. Having watched buddies killed and thus never experienced their family life, it was like he haven't learn anything of this trauma, for him or for them.

Next, we are thrown at D-Day. It's the more interesting part of the movie: the value of any single soldier's life is dramatically visualized: those poor guys who got killed as soon as they opened the door of their boats are the true noble and courageous ones. They were sent to slaughter but they stick to their orders. For that matter, during WWI, a relative of my grand mother died the same way: In spite of being terribly myopic, he was among the first to be sent at the front and as it's above all rabbles, he lost his glasses and was killed immediately. Personally, I would never have behaved like them because I would have gone awol as much to not be killed as to not kill. At this moment, Spielberg's takes you in the guts and he may be the first director to show how bloody and stupid the war is.

But as his trademark and sensibility lead him to find hope in this complete darkness, the story becomes a rescue mission. It could have been moving but the characters of this platoon is rather a band of capricious and lunatic soldiers: one wants to hang on with a child, the other left a German alive, the one that killed them later and finally, we met again with Mr. Ego who doesn't want to leave because he has a bridge to defend. Sure, as they stay there, they got all killed. Well, it was too much for me: I don't understand how Spielberg wanted the audience to relate with such stupidity . A life later, this private Ryan remains totally shameful as he rejects his family and I really wonder if he should have been left behind instead.

Pairing: ""1941"" a good laugh at WWII but not for the same reasons.",1
Saving Private Ryan,"There is a weird mythology concerning Saving Private Ryan (SPR) and Shakespeare in Love (SiL) at the Oscars. The myth has it that during the award season SPR simply cleaned up shop until the Oscars announced that SiL won best picture-somehow!- and it was totally out of left field; so much so that it required explanation. I don't know where this myth comes from but it is entirely revisionist. As a point of fact SiL was as well represented in the award season as SPR was and critically the films actually split the major awards all season. Just to stay with the big 3: Golden Globes split with SPR getting director and drama; SiL won screenplay (as a point of fact SiL never lost screenplay to SPR in any award) and Comedy. At the BAFTAs SiL got film and SPR got director, which was repeated at the Oscars. The guild awards split as well; SiL got the critical SAG awards, the WGA and a few of the other guilds (i.e. costumes). SPR picked up the PGA, DGA and Eddie. It is fair to say that SPR was the ""frontrunner"" because of the DGA but the notion that SiL somehow just won the BP Oscar is utter nonsense. I wouldn't have bet on SPR. In anycase this mythology has annoyed me since about 2003 when I first started to hear it. Undoubtedly this colors my perception of the film but I just rewatched SPR for the first time in a decade and it confirms that it was a terrible film. Not only is SiL getting best picture deserved it should have also won editing, directing and especially cinematography.

Ryan's script is truly atrocious. It is a workman like script combining-badly!-several tropes from WWII movies. Much of the resulting drama feels like warmed over hash of better and more insightful films. I think the script adds some pretty disgusting propagandist elements. Many of the characters that show basic humanity-i.e. Wade, Upham, Carparzo-end up dead or as war criminals but without their crimes being rebuked. These elements seem to embrace total war and giving no quarter as the only proper orientation; the overall film is so badly written it is hard to tell the writer's intent. It is especially stark with Upham. His entire character arch feels *redemptive* for first being naive and second being a coward/shellshocked. It is possible that the writer intended for the arch to be punitive BUT Upham's goodness wasn't established per se but his naivety was . And how Spielberg shoots the key moment-and the music-seems celebratory. When I saw this back in the 90's the most chilling part of the film was watching a group of Americans cheer and clap at their countrymen committing a war crime. War films often struggle with not glorifying war-I think this problem is intractable-but Ryan doesn't even bother to kick against this tendency. The cause was just so let's glorify the fatherland.

(The film also is too US centric and by its very plot overstates the importance of the Normandy operation . The war in Europe was largely won on the back of the USSR)

Undoubtedly, Spielberg and his army of techs produced some compelling war battle footage. I don't think much of this film-at all-but the first 50 minutes or so is effective at generating a visceral reaction. But the film never again raises to that intensity and the overall narrative feels anti-climatic as a result. There script is so trope ridden that the unflinching realism feels misplaced. To what end is the director putting his skill? To demonstrate that war is hell? Thanks I got that 10 minutes ago. The whole thing is an artless use of cinematic technique to invoke strong gut emotions...and giving the literal US flag bookends the film absolutely is invoking strong nationalist fervor. There's two P words that come to mind for films that do *that.* I'll spell them out for the defenders of this dreck: propaganda and pornography.

The acting/casting-Hanks aside-is also a major source of annoyance. No one gives a bad performance per se but the characters are all such ciphers that the various stars feel out of place, especially today. I burst out laughing when Nathan Fillion showed up. I couldn't help but think about Merlot when Giamatti got his extended cameo. The cast would have done far better sticking to unknowns like Dunkirk or 1917 did. (Again this is partially the result of time moving on.)

I also must say I loathed the cinematography. The acid washed out look, the shaky cam, the inexplicable blurring of the image all haven't aged well today and even the film's visceral power has dulled.

This is utterly awful film.",1
Saving Private Ryan,"I wish someone had saved me from this film. It was like watching paint dry, except with very little oxygen in the room dying painfully. This film was supposedly a classic, but it felt more old fashioned than record players on a Star wars spaceship.

I went to see this film because it was supposedly a classic and a film as my friends said I ""must watch"". Well, now I must go and wash myself clean and go find a breathing apparatus or I may pass out from the sheer terribleness of this film.

The worst parts of the film were the action scenes and the dialogue. I think Michael Bay or George Lucas would have turned their noses up at it.",1
Saving Private Ryan,"Note: CONTAINS SPOILER. This is the most overrated movie ever! It is not the worst, just most overrated MOVIE ever! The ending was especially stupid and bad. Even Spielberg can do bad I guess. Ryan lived his whole life afraid of not being worthy of being saved. And even at the end he was not sure he had lived a life 'worthy'. What a guilt trip with no relief he lived.

To watch a good WWII movie watch The Scarlett and the Black starring Christopher Plummer and Gregory Peck.",1
