title,comment,rating
The Sixth Sense,"While I thought this movie was well made and featured strong acting, I can't exactly agree with what most other people are saying about the ending. Frankly, I saw it coming a mile away, and there were just too many clues leading up to it, although I won't reveal any specifics for those of you who haven't seen this film yet. It's a 7/10 movie, but it would rate higher if I didn't know what was going to happen.",1
The Sixth Sense,"I'm not the biggest Shyamalan fan by any means. Of his entire body of work, only The Village and Unbreakable really stand out when originality is concerned, and they're really the only two of his movies that I've enjoyed. The major problem with The Sixth Sense is, who would have guessed, unoriginality. There is nothingminus the plot twist, I guessthat makes this stand apart from the thousands of other kid-seeing-ghosts movies that came out before it. If you've consider yourself a horror fan, and one that has seen a good selection of ghost movies, you know everything that happens here. And I mean everything.

However, there is some good. Mainly being that The Sixth Sense was one of the few groundbreaking American horror filmsand yes, it is drama/horror, not a thrillerthat brought some weight to the genre. While the majority of horror films in the '90s just focused on cheesy scares, Shyamalan focused on fine detailed, believable, high-quality scares that made the genre cinematic and not just laughable. With that said, The Sixth Sense, like most horror movies, just isn't very scary. A lot like the original Saw was a thriller set in a horror universe, The Sixth Sense is a drama set in a horror universe.

That brings out a lot of problems, however. For one, The Sixth Sense follows the same cliché formula a lot of Stephen King novels do: heavy doses of drama, with short bursts of horror scattered throughout. That just makes the already deeply unoriginal movie feel even worse because it makes it very boring. The attention to detail I mentioned above as a complement is also a major complaint.

Shyamalan's directing/writing skills are both probably both at their best here on a technical level (if you ignore the unoriginality). There wasn't a single shot in the movie that wasn't effectively done, and the plot is laid out well. The plot twist ending brought the plot twist ending into the mainstream, and it's very well done, but still a little cliché. The plot twist has been used in a lot of urban legends before, as well, if I remember right, on The Twilight Zone a few times.

So, in the end, it just left me with mixed feelings. On one hand I want to praise the movie for being so well done, but on the other hand I want to trash it for the lack of anything that sets it overall apart from every other ghost story out there. Everything was so predictable.

Let this be a lesson to all of you who say a movie can be a good movie even if it's unoriginal: you're wrong. Without originality, you're just left with no mystery, and just left feeling: ""Eh, whatever. Didn't I see that before somewhere?"" And that last thought is exactly my final opinion on the insanely overrated The Sixth Sense. But at least it wasn't as godawful as The Happening, right?

1/10",1
The Sixth Sense,"PG-13 horror. Oh, wait a minute this is more like a thriller. It was not really scary at all. Why is it considered horror? Barely anything to consider it horror. Only thing going for it is the actors. The rest is not that good. If you watch this for scares, then you have to be young.

There is no way this could bother a true horror fan. Yes, true horror fan watches anything rated R or Unrated. So yes, gore is the way to true horror happiness. No, I don't do the things that I watch on the big screen. It's just better to watch something interesting, than to watch something you will fall asleep watching.

Luckily this has Bruce Willis in it to keep you interested, but if he wasn't in it, then I probably say it was worse, and only give it a 1 on the vote. 5 is for Bruce Willis, if I am willing to do that. I am not willing to do it. I feel sorry for an action actor that chose to take the role on this. I only watched it, because I was not the one who chose to rent it.

If you are scared of everything, like a child, then yes, these PG-13 tame movies are for you.",1
The Sixth Sense,"I am sorry, this movie certainly has some good aspects, like the acting of Haley Joel Osment, but the screenplay is just aggressively, unbelievably stupid. How was this nominated for the Oscar for screenplay? How did it win the Nebula? If you stop and think for ten seconds, it totally falls apart.",1
The Sixth Sense,"To all the people who loved the ending, I must say that it is carved off from a well-known horror-film ""Dead And Buried"", which i recommend much more. I can't say that 6th Sense was a very bad movie, although the characters are rather simplistic. The thing that is good in the film is the off-hollywood dark and depressing atmosphere which is also presented in Unbreakable (a recommended film despite the lame ending titles).",1
The Sixth Sense,"I was amazed to see that this movie is ranked in such a high place. i cant describe how boring and dull this movie is.

one of the most, if not the most, overrated movies of all time. a complete waste of time.",1
The Sixth Sense,"I hated this film, it was boring, Osmond is not a likeable character or actor, i find him very annoying. My girlfriend loves the film, but i can't see it myself! Turned it off in fury! Do not watch this movie if you are expecting a good one! Chuck Norris is more entertaining! Hail Chuck!",1
The Sixth Sense,"Pfffft! You need an explanation? Bad acting, trite, overused, bad directing, overrated. I cannot believe the great reviews on this movie. Come on, People. Boring, overdone, unoriginal and trite.",1
The Sixth Sense,"In the beginning dr malcolm is shot, after that dr malcolm is shown helping the kid... i was so confused cuz i thought he was shot and killed...the movie goes on with malcolm talking to the kid etc. then at the end it supposed to be a suprise twist that he's a ghost and he was killed...like this movie is ridiculous and doesn't explain whats going on and then they explain at the end..like i thought that the middle of the movie was a flashback...wildingly confusing i went in watching with an open mind then the movie happened",1
The Sixth Sense,"When Bruce Willis isn't playing an action hero and has to be restrained. You know you are in trouble.

I barely got through this borefest.. one of the most forgettable pieces of trash I've ever seen.",1
The Sixth Sense,"What a piece of garbage. This movie was 1 hr, 40 mins long. It felt like 3 hours. Not scary. Plot holes you can drive a truck through. And BOOOOOOOOORING as all hell. So it had a twist ending--big deal--the thing was completely tacked on. The plot of the movie ended and you had to wait 15 more mins for the big ""surprise.""

Oh well, I suppose this is advice for me in my screenwriting career. Come up with a bunch of crap for 2 hours, put a twist ending in, and a movie will pull in $250M at the box office. Hope you all enjoyed Unbreakable too, an even more laughable movie. :)",1
The Sixth Sense,"I like mystery and psychological ThrilleR movies but this was really bad, the entire movie was for the ending, and the ending was not that good.",1
The Sixth Sense,"I finally watched ""The Sixth Sense"" after all these years and wow is it terrible. I could tell right away that this film was not to my liking and a bore but I stuck with it and watched it all so I could fairly assess it. It was dismal and dreary the whole way, with very little good dialog or action, no likable characters, and shaky camera work. I couldn't wait for it to be over; I watched the clock the whole way. So, 1/10 for failing to do the most basic thing that a movie should do -- to entertain. My recommendation: pass on this one, don't believe the hype. (And I thought ""Unbreakable"" and ""Village"" were ok to fair.)",1
The Sixth Sense,"Shambolayan can craft a mood, but that's about all. He couldn't plot his way out of a paper bag, and he has no clue how to finish a story.",1
The Sixth Sense,"People are probably going to write abuse files about my comment, but at least read it first. First off I don't really like M. Night Shyamalan's films. They don't scare me at all, i've seen enough horror movies to know when the ""scary"" moments and clichés are coming, and sometimes the characters can be pretty stupid. I saw the Sixth Sense when i was only SEVEN, which was the time i was scared of a lot of stuff. When i went to bed that night, i didn't lose an inch of sleep. How it can be in the top 250, i don't know. The ""twist"" ending was no surprise, i kinda saw it coming. no person can be able to still walk around living after getting shot a million times by a psychotic person. The little boy was seriously annoying. he was always walking around like a ghost, and while it was ""scary"" for some people, to me it looked like he was drunk. some scenes aren't totally original either. while i was watching, i had this feeling in a few scenes, like ""What movie was that from?"" or ""deja vu"". and a few days later i happened to watch ""Tobe Hooper's Poltergeist"" again and realized what i was talking about. that scene where all the cabinets and drawers are opened is a huge, slap-in-the-face reference to Poltergeist. Also the scenes where the rooms get colder when the dead and unholy are near reminds me of another certain film in the Top 250 that exceeds this film by all standards.

BOTTOM LINE: if you're looking for a decent ghost/supernatural being story, see Poltergeist or The Exorcist. If you like Shymalan's films, i can't say i agree with you, but whatever. that's my opinion. 1/10",1
The Sixth Sense,"If this isn't one of the most overrated movies in the world, someone slap me! Horribly billed as one of the most scariest movies ever? I waited the whole movie wondering when this was supposed to take place. By then, the alleged suprise ending had been deciphered by all of us watching this dull film. What were the ""critics"" watching when they critiqued this snoozer?",1
The Sixth Sense,"I saw this when it came out 21 years ago and first 20 minutes where fine. At that point, it turned into a pile of manipulation and convenient scene cuts to block the obvious from it appears many, many people. It's still a good popcorn movie, but it still annoys me to this day at how simpleminded this movie is.",1
The Sixth Sense,"""I see dead people"" is the catch phrase from this boring, excruciatingly slow, and dull ""horror"" movie. I find that quite amusing because after the first hour passed without a glimpse of anything abnormal and the little brat said ""I see dead people"" I thought to myself ""let US see some dead people!""

The ending, which was interesting but came after the movie could have ended appropriately several times, does not compensate for the 2 hours I spent bored and restless in my seat.

How is this movie so well liked? I'll never understand people...they're the worst.",1
