title,comment,rating
One Flew Over the Cuckoo's Nest,"I watched this movie, excitedly, after watching the tv show ""Ratched"" with Sarah Paulson, I really enjoyed that show and loved the character ""Nurse Ratched"" and had heard that she was a inspired by this movie ""one flew over the cuckoo's nest"" and that she was a horrible person in it so I though, cool, alright, let's watch it!

Oh my gosh, this movie ""one flew over the cuckoo's nest"" is the most bland and boring movie, ever! Nothing about it is memorable and the nurse, Nurse Ratched isn't that bad or evil, I mean, come on she was working with a bunch of rowdy, unpredictable people in a time different from what it is now. She wasn't sadistic, she wasn't cruel, she wasn't power-hungry. She was honestly somewhat boring.

And Jack nicholson, I'm not a fan of him as a man/actor so I really didn't care for him in the movie.",1
One Flew Over the Cuckoo's Nest,Chief killed the unresponsive McMurphy because he thought McMurphy was ignoring him.,1
One Flew Over the Cuckoo's Nest,One flew over the cuckoo's nest is awful story and ending jack Nicholsons character was so unlikeable I'm glad they kept him in the asylum jack Nicholson is just the same in every movie the same old crazy person please don't waste hours on this boring movie I'd rather watch paint dry for days than watch than watch this absolute garbage boring story it's dumb the only good thing about it is the crazy old man dancing in the back jack nicholson is a lot better in the shining and overall a better movie this is the least entertaining thing I've ever watched so don't waste your time watching this movie.,1
One Flew Over the Cuckoo's Nest,"The bars were unlocked, the window was open and there was a car outside... he got what he deserved. I have to have 150 characters to submit a review. One hundred fifty.",1
One Flew Over the Cuckoo's Nest,It was one of the worst movies I've ever seen 😑😑,1
One Flew Over the Cuckoo's Nest,There are a lot of popular movie out there that great. And there are a lot of popular movie that are boring. This one that is boring. It has a boring story line. It is only good if you want to fell asleep. There is no point to it. It is just boring. I do not no why it got an 8.7. It just boring. It is not an 8.7 it is a 1. I was bored to tries when I watched this movie. I do not know why people like it. It is so boring. There are better movies out there. And they are nothing like this. This is just boring. This is a really boring movie. It so boring it is boring to watch. The Shining is so mush better. The Raven is so mush better. Do not see this movie. It is boring.,1
One Flew Over the Cuckoo's Nest,"Pure filth disguised as movie. Relentless swearing and obscenities. Depressing, unsettling and disturbing. Not my kind of entertainment.",1
One Flew Over the Cuckoo's Nest,"Firstly, I would like to say, What the hell is wrong with all of you people. The movie sucked, for many reasons. Firstly to any of you who didn't know, this movie was a remake of the book written by Ken Kesey, who refused to work on the screenplay because it would not be told in the same way as the book. If you had read the book you would understand my reasoning. The movie is one of the worst portrayals of a book that I have ever seen. They left so many details out of the movie that were in the book. Two Thumbs down, hopefully this crap will again be remade into something way better than what this is. This should not have been nominated for best picture (1975), and should not have won. The actors who got career boosts from this movie should feel ashamed for working in such a horrible movie and benefiting from it.",1
One Flew Over the Cuckoo's Nest,"I am kicking myself for being so unobservant. Films, books, and plays are three different art forms and 'Cuckoo's Nest' has the (mis)fortune of existing in all three stages. None are good examples of their respective forms. This is a good movie but it doesn't deserve to be in the top 10 IMDb list. I think the reason why this movie has so high grade is because people like Jack Nicholson so much. This movie may deserve to be between the top 100, but no way in the top 10.",1
One Flew Over the Cuckoo's Nest,"Assessment: Why? Does this movie get so much hype? First of all, all the yelling, hootin', and hollering was ridiculous. I had to keep turning it down, it was so loud. Unnecessarily loud. Second of all, what was the storyline, the point? There wasn't one. No cohesiveness. Too random. Third of all, Rached had barely any screen time, and she wasn't over the top mean and all that. Like, at all. I was expecting scenes with her being a tyrant. I don't get it. She didn't do crap to them, except follow and carry out the simple rules. Fourth of all, the acting was pretty good, I'll give it that, but that's all I'll give it. The standards must've been pretty low back then. But, I've always heard throughout my 44 years of existence, how amazing this movie is and whatnot. Meh. At least i can say that I have seen it (take note, it's not, nor ever, I SEEN, don't forget the HAVE) and I can cross it off my list. Definitely giving this one thumbs down.",1
