title,comment,rating
The Bourne Ultimatum,"Unfortunately, a lot of people will watch this movie expecting to see a dramatic, action-spy flick. Instead, what they will get is a comedy about a director trying to make a name for himself who thinks his in-your-face film style is the most important aspect of any film he directs. So he puts his epileptic cameramen on bungee cords while the camera rolls, and what he ends up with is a herky-jerky mess whose style is so distracting and dominating that no one pays any attention to the plot, acting, script, etc. Then one day movie audiences wake up and find out his style is no more cutting edge than a 90s TV melodrama. And that's how the story ends for the wannabe director.

Hope that helps.",1
The Bourne Ultimatum,"So, this highly acclaimed trilogy pretty much boils down to lots and lots and LOTS of shots of Matt Damon walking, rapid cutting the whole time as if there is actually something happening rather than just lots of walking, and the gimmick of constantly changing destinations and 'local colour'. Matt Damon isn't given much to do other than to look harried but very determined. His face doesn't really need to register anything else, and so doesn't register anything else. There are burst of violence, which seems to be what us as the audience is waiting for. Then the burst of violence is over and it's back to the walking. Of course, I will be told that it's all about surveillance and how anything is possible to the 'intelligence' services, and that we live our lives oblivious when we should just wake up. The thing is, who doesn't know all this already? Take that away, and all that's left is the aforementioned walking, rapid cutting, Tangiers, Paris, Madrid etc to do some more walking. Oh yes, the ""plot"". He's the result of an experiment, is an incredible fighter but doesn't know who he was before, and is trying to find his way to the source: hence the purposeful walking.",1
The Bourne Ultimatum,"It has been a year, a long time. A time of boring and ugliness that will make your world ****. The film is so so so so boring.................................... Die Hard 4 and James Bond were better than this crappy film. Action was boring, acting was dirty and I think I smelled something while watching this movie, OH yeah butt full of ****. Hollywood these days, I mean who wrote this story, Yuck. My brother and others loved it, only me and one of the family hated this movie. The people said yeah and I said What?. I have seen movie better and better than this crap. Ahhh, I want to kill myself, don't watch it, if you have a good taste then don't watch it. Please and Thank you for taking your time.",1
The Bourne Ultimatum,"I was so disappointed by this movie. Having seen the earlier two installments, I had high hopes for this film. The previews make it look so cool and action packed that it cant possibly be bad, right? WRONG! From the opening scene of the film you are overwhelmed with anti American, liberal propaganda to the point of feeling sick. This movie makes Michael Moore and Sean Penn look like fair, unbiased individuals. For whatever reason, the film makers decided to portray the American government as an evil, devious entity bent on world domination and willing to kill anyone who gets in the way. This movie is based around the fact that Bourne is looking to expose the ""evil"" ways of the CIA and the US government, and so he basically goes around beating up and killing US government agents around the world.

DO NOT SUPPORT MOVIES LIKE THIS! We need to stand up to the bias of Hollywood, and demand that they start making good movies again. By watching this movie you endorse the (extreme left wing) sentiment that America is the cause of all the worlds problems.",1
The Bourne Ultimatum,"The Bourne Ultimatum is a movie with a generic action movie plot. I am not the biggest fan of pure action movies but I can enjoy some fun explosions. I will (as respectful as possible) try to explain why The Bourne Ultimatum even fails to be that. I really tried not to be sarcastic but it didn't work at all times... Also I do not throw around 1-star ratings easily. I seriously could not find a single good aspect about this movie. Here is why:

1) Plot The generic plot that was made up for this movie only makes up about 5% of the movie, the rest is chase scenes. This is not exaggerated. It is easy to forget why Jason Bourne is chased in the first place because the plot is just sprinkled here and there to justify 2 hours of chasing. And then there is this role of the heroic woman that seems weirdly forced maybe to put a strong woman into the movie. Last there is the professional killer who doesn't shoot Bourne because he makes him question why he should kill him. This seems like a typical deus ex machina since this is not at all justified by the plot. Also the 2 last scenes where totally unneccessary, even made it worse. It seemed like this was decided in the editing phase: A cut of one actress with a TV and some edited in news show, then some footage of Bourne in the water when he swam back to the surface and the camera was still running.

2) Believability/VFX Despite the plot weaknesses the movie could have been fun if the chase scenes and visual effects would have been believable or visually pleasing. Most of the stunts where over the top, not action movie over the top but in a ridiculous way. This were several certain deaths he survived. Everything from explosions to sparks looked incredibly fake when they could easily have used real ones. And CGI was also way better at the time. Also the audience is supposed to believe that the protagonist shakes off local policemen through back alleys in a foreign city. It is as if he was born and raised there.

3) Cinematography -This can still be used for killing some time so how do we make it completely unwatchable?- must have been what someone said while making this movie. The cinematographer did it! Every single scene, and this is not exaggerated either, is shaky. When I say shaky I do not mean simply hand held. I mean that every close up, every computer screen, every little detail and of course every action scene is filmed as if the cinematographer filmed with parkinsons on an old mobile phone. I might be sensitive but I had to look away a few times because I got a headache from the blurry images.

4) Editing/SFX Better be safe that noone is able to enjoy the movie: The whole movie is cut as if the editor went cold turkey in the middle of cutting. Most scenes only last a few frames and they begin and end with a larger camera motion almost every time. This suits the cinematography well which is not a good thing. Sound effects are often off timing and sound cheesy/cartoonish.",1
The Bourne Ultimatum,"*SPOILERS*

Oh boy The Bourne Ultimatum the third movie in the Jason Bourne film series, it is the movie that I have never liked and honestly the weakest dumb movie I have saw. I think this movie is over hyped over praised on IMDb 8,1 and it is way over rated movie that it is not good. Honestly I don't care about Jason Bourne in this movie and about the lead character anymore.

The action sequences are terrible for me, I don't buy the action in this movie. Wow car crashes in New York or something. This is the movie I never liked, I never understood and I always forget what this movie is about! Is about nothing and I don't care.

What is so decent about this movie tell me?: Bourne realizes that the CIA is following Ross and helps him evade capture for a while, but when Ross panics and ignores Bourne's instructions, Blackbriar assassin Paz (Édgar Ramírez) shoots him dead, in the middle of a busy station, on orders of Deputy Director Noah Vosen (David Strathairn). Matt doesn't shows any emotions in this movie when Simon Ross (Paddy Considine) is killed. Like I try to save him, but I couldn't or that he would promise that he would get justice for an innocent person but no! He only showed to me how selfish he was in here.

Paz (Édgar Ramírez) killed Ross and Bourne let him go in the car crash he didn't killed him! Why did Bourne let him go? Paz killed an innocent human been a person, he was evil character and Bourne let him live an assassin! So that he could kill again and again!!

How dare you movie?, how dare you movie to let a bad guy live?!

As Bourne flees to the roof, he is confronted by Paz, who asks, ""Why didn't you take the shot?"" Bourne repeats the dying words of The Professor in The Bourne Identity: ""Look at us. Look at what they make you give."" Paz lowers his gun, but Vosen appears and shoots at Bourne as he jumps into the East River. How the heck did Bourne survive in this movie when he was shot in the back and he jump in the river?!

Only two actresses I like in this movie: Julia Stiles and her character are still alive, she helps Bourne and Bourne saves her by hiding her from CIA agents for termination. He saves her from Paz by defeating him in a fist fight with his martial arts.

Joan Allen her acting performance was incredible and it was a movie that it was a worth of watch but I never understood or liked this sequel I can't. I love the first two movie but I don't like this one at all.

Those are the only two things to watch those two girls I liked about this movie, that it is worth of time watching.

NOTE: I am still going to watch this movie as a time waster to complete trilogy, it is MILES way better than The Bourne Legacy and Jason Bourne the last two movies that come out!

I don't care about the full disclosure of Jason Bourne or that his real name is David Webb just like I don't care about Jason Bourne the fifth movie that come out this year that sucks ass! This movie is way better than The Bourne Legacy and Jason Bourne but is not a great movie it is not the best one at least not in my honest opinion.

He let the bad guys go, they won in this movie. I don't like it The Bourne legacy is worse movie than this I have issues with those three movies that come out. It is a step down from the first two movies that come out.

The ending is unexplained and not logical how Bourne is alive, what happened to Agency and the operation Blackbriar? What happened on the end? It is not logical and confusing.

I think this movie should have been the last Bourne movie, there was not needed by making any more sequels. The only good thing about the movie I can say is it is not boring or over long like The Bourne Legacy is.

This franchise to me is dead I only can enjoy the first two movies but that is all. I will try to make exception for this movie and change my opinion. But every time I am watching this movie I liked it less!

The rating for me is F 1/10 I don't hate the movie or the fans but I don't think it is a good movie mostly the lead character is not a decent bad-ass but a selfish prick in this movie for 2 hrs.",1
The Bourne Ultimatum,"Hollywood sure has it in for the CIA. After turning a pro-American book into an anti American movie you can see how Hollywood doesn't like the CIA. My hope is that its just simply an action movie and doesn't persuade anyone to thinking the the CIA has agents that kill when notified. Also genetic engineering has risen in this sci fi flick. You add or subtract and genetic material you will have mutations, and not the type you see in these movies. The CIA functions to get information from its agents who are in the field. There are no trained hit men that the left in Hollywood would like you to believe. God help you if you do.",1
The Bourne Ultimatum,Movie goers should stick together and punish all movies made with monkey-cam (shaky-cam) by giving a 1-star rating. This movie is nothing but endless chases using monkey-cam (shaky-cam) and every scene lasted for about 2 seconds. Very disgusting. Does this review contain spoilers? There is nothing to spoil here.,1
The Bourne Ultimatum,"To be completely honest I was not looking forward to this sequel what so ever. Unfortunately I felt compelled by ratings and the fact that I was unfortunate enough to watch the first 2. Matt Damon once again proves his complete inability to act and to be totally honest I think Universal should have gone with Jason Statham because I would rather have to watch crank every day for the rest of my life then see The Bourne Ultimatum again. 111 minutes of torture whilst watching Matt Damon be the absolute Spaz (for lack of a better word) that he is. The only upside to watching The Bourne Ultimatum is now I can look forward to the Wayans Brothers tearing this apart in a new spin off, Which will hopefully be entitled wannabe Bond! Well Matt, you're definitely no 007 but there's still hope for a rainman sequel!",1
The Bourne Ultimatum,"This was more than disappointing. I paid nine dollars to get so bored that I feel asleep. Despite my date's constant prodding, I couldn't wake up. There was no need to remember the plot because it was the same as the last Bourne film. Save your money and get the DVD of the last Bourne film. Nine dollars is too much for a sleeping pill. The reviews were great. That should have made me suspicious. Most film reviewers have a political agenda and not an entertainment one. I rarely agree with film reviewers and this film confirmed this point of view. I hope this is the last of this series. The author of ""The Bourne Identity""-Robert Ludlum- is dead and so should this character. There is only so much of these ""uber humans"" you can take.",1
