title,comment,rating
Forrest Gump,Meh. I honestly don't see what the fuss is over this pile of mediocrity.,1
Forrest Gump,Well this movie i's sometimes funny and sometimes well it's sad but in my opinion it wasn't too funny or entertained for me. These year the movies from the 90s are quite a bit boring.,1
Forrest Gump,I could not endure to end the film. it is totally absurd. Not understandable how it takes such this point from imdb,1
Forrest Gump,This movie is my go to sleeping pill aside that its also a good background noise when you have guests so they will think you are classy. The plot is a snoozefest and lack reality just a bunch of comedic scenes.,1
Forrest Gump,"Evidently part of the mileau of making Fun or Critisizing Vietnam Veterans as ""Baby Killers"".....!! Forrest Gump is a Vietnam Veteran of Low IQ...!! Are they trying to say All Vietnam Veterans were....?? Uses the Usual Cliches about the war; so provides nothing new. One might as well make a movie Critical of the Korean War.....!!?? The movie should rate Less than one star; but gets credit for Gary Sinese and his Lt. Dan Band who entertains the troops in the current war zones and flys veterans kids to Disney World.",1
Forrest Gump,"There was a lot to like. However, little of the film seemed Oscar-worthy and it probably should not be in the IMDb top 250. I think this is a great case of a very good film that has been prematurely elevated to greatness.",1
Forrest Gump,"I don't really want everyone to like this movie. It is very horrible, the film is boring, it is too upsetting and it is definitely not funny and a HUGE waste of time.

Screw this piece of garbage! Forrest Gump should also have won Golden Raspberry Awards instead of Academy Awards. This is the wrong movie to win Academy Awards! Plus, all the genres listed on IMDb are completely incorrect! Somebody should remove the Comedy genre and replace it for the History genre instead, because this looks like a historical film than a comedy film.",1
Forrest Gump,"This has to be the most overrated movie of all time. How it won Best Picture over Shawhank Redemption is a mystery. I was bored with this movie. If it had been presented as a fantasy that everything that happened was only in his mind, it *might* have been worth rating as a 2, but it was still a terrible movie. One of the worst movies ever made.",1
Forrest Gump,"I did not like. Very dumb plot. Created purely for women. Very boring, uninteresting film. Too bad it's always on TV.

Garbage from under a horse, from under a shabby foal.",1
Forrest Gump,"I cant believe many people like this at all. Its all just a snooze fest of drama and failed comedy. Nothing memorable in this film but all just a bunch of zombie characters talking to each other but in a dramatic way.

This film is something you play in the background when you have guests to appeal classy but no its just nonsense.",1
Forrest Gump,"An idiot young guy will run and run and run again for everything. He will run when he live any problem.

And finally he will be very smart man and role modal for peoples. So if you are an idiot you can run for be a smart man.

Who can like a story like that?

Peoples think so cute about that. They are looking that movie, like a funny cat videos. But i can't.

Fortunately i'm not alone.

http://www.imdb.com/title/tt0109830/reviews?filter=hate

So only waste of time.",1
Forrest Gump,"I hated this movie. It was too over of the top and unbelievable. Even if it had been presented as fantasy, it was a bad movie. How it ever won Academy Awards I have no idea. Probably the most over-rated movie of all time.",1
Forrest Gump,His accent mannerisms and performance was just plain unbelievably bad.,1
Forrest Gump,"How this movie would make anyone either laugh or cry is beyond me. I normally turn off a movie after 20 minutes if it's not doing it for me. I gave it 45 because of it's reputation, it didn't improve. Hanks' put on accent comes across as false and extremely irritating. If a movie is going to move me it needs to wrench me - like Requiem For A Dream or Breaking The Waves, for example. I felt nothing but boredom.",1
Forrest Gump,"frankly speaking, given that an average Asian people person entrenched with conservative and Confucian ideology in comparison with Westerners in particular, i really sense somewhat awkward for not appreciating this movie way thoroughly although i truly consider it should be a glorious showdown of self-righteous high social status dudes versus underdogs advocated and mocked by fates or certain ""papacy"" when destiny displays a hideous face.as far as i am weightlessly concerned,tom hanks delivers an incredible portrayal of a veteran who unfortunately is a imbecile,meanwhile his slightly overbearing mother somehow manages to be impeccable and pushy despite the fact that her son happens to be physically and psychologically handicapped. all the tragical climax culminates when gump's little son was born and his overdosed wife passed away. you can clearly see the shock of middle-class populace wrestles with life and struggles to keep track with others pace,,however,i remain sort of suspicious why the general tempo and rhyme of the movie goes so smoothly and peacefully, i am also not able to totally understand the humor permeating throughout the whole movie,the genre of which to my knowledge belongs to unique Americanism.by no means to be offensive but it is destitute of emotive burst and spicy aggression which is vital to vivify the whole movie.",1
Forrest Gump,"I am baffled by the reviewers who like this movie. I absolutely hated it and I am only writing this review in hopes that someone will read it and AVOID watching this worthless film. IMDb requires film reviews to have a minimum length of 10 lines, so I must say more about the movie. My intelligence was insulted in that the film tries to rewrite history by showing Forrest Gump meeting with American presidents (POTUS). Not just one American president, which would be hard to believe in itself, considering Gump's obnoxious stupidity, but instead the film shows Gump meeting with three American presidents in his lifetime. The rest of the movie is just as unbelievable and ridiculous.",1
Forrest Gump,"And, definitely THE worst movie that most people liked!

Absolute rubbish.",1
Forrest Gump,"The film ""Forrest Gump  is about a simple man's journey through complicated times. Forrest is played with the grace of a tightrope walker by Tom Hanks. He (Gump) is mildly retarded; he has an IQ of 75 at the movie's start and stays pretty much on that level all the way through. His trove of facts increases, but his basic methodology of handling the world never changes. As a boy, with braces on his legs, he peers at life and expects little more than to be heard and acknowledged, and the first person aside from his doting mother to do that with him is his lifelong love, Jenny (Robin Wright). Then one day the braces come off, more or less by accident, and Forrest discovers he can run like hell. He couples that with advice from Jenny (that the best thing to do when you're in trouble is just run) and this becomes the big asset that gets him through college on a football scholarship. And the one thing that gets him through Vietnam, allowing him to save most of his platoon and receive the Congressional Medal of Honor. Although he rescues his platoon leader (Gary Sinise), the man has nothing but rancor and bitterness, since he lost his legs, while Gump only got shot in the rear. After Vietnam, Gump goes on to be the captain of a shrimp boat, a Ping-Pong champion, a multi-millionaire, and a cross-country runner. The sly thing about the movie is the way he just sort of backs into everything, doing what comes naturally, and is even happy when nothing happens. All he wants out of life is the love of a woman, even.",1
Forrest Gump,"In an attempt to make a great movie about the reasonable, kind, eternal, the authors of Forrest Gump depicted something vague, absolutely unrealistic, grotesque. The most important thing I don't like about people is hypocrisy. It's scary to mention the main fact in the script that makes this movie iconic. It's the fact that the main character is weak-minded. Imagine the same film, but the main character is healthy, he is just healthy and incredibly successful, he cuts the truth, and his eccentric behavior is explained by his character traits and craving for a healthy lifestyle. A completely different film is obtained by the reaction of people to it, although the essence is the same primitive. Playing on the feelings of ordinary people. Who doesn't like a movie where the hero is so positive, successful, and even weak-minded? That's right, everyone should like such a film, and it doesn't matter at all that the picture has little to do with reality, that it is superficial and simple, that the truths revealed in it are so simple, obvious and known. You'd be ashamed to say you didn't like a movie where the protagonist is blissful.",1
Forrest Gump,No doubt one of the greatest stories told on a big screen and one of the best Tom Hanks movies.Gary and Mykelti are awesome in it and of course i'd love me sum shrimps,1
Forrest Gump,"This film is likely the most overrated film ever.

Tom Hanks acting is as always very unrealistic and just a gimmick; ""buhox of chuocuolates"". The story line is very unrealistic and childish, not qualitative at all.

An intelligent viewer would never be moved by the film because every aspect of it is not believable within the framework of the film. For example that Forest needs braces to walk but than suddenly he is the fastest runner in all of Alabama. This could be a good story line in a certain fictional framework, but this film is set in real American history. Also the fact that he gets to be at so many special events without a clear reason is not fitting for a history film.

All very unrealistic.",1
Forrest Gump,"Tom Hanks won the academy award when it easily should have been Kevin bacon for murder in the first!! Dont believe me I dare you to watch it and NOT agree!! Hanks portrayal of gump was mediocre at best, Jerry Lewis could have done better. Life is like a box of chocolates , r u kidding???? That's famous??? Easily most OVERRATED movie ever!!!!",1
Forrest Gump,This movie as an awful story line. I think It got an 8.8 because Tom Hanks is in it. Real it is an awful movie. 1 give it out 10 because it is crap. This movie so awful. Do not see it. It is a big pile of pooh pooh. Just do not see it. It is noting but hype. That is all it is. I do not no why people like this movie. It is so boring. It has some good actor. But it is so boring. I do not why people like it. The story line is so stinky. This is just crap. Crap crap crap. I can believe how popular this crap is. I think it got a I have never seen such a boring pile of crap in my life. The only Oscar this movie should have gotten was Oscar the grouch. Do not wast your time. And do not wast your money. Do not see this awful movie.,1
Forrest Gump,A trite and pointless waste of time. We are supposed to relate to his simplistic view of the world but it is extremely hard to care. The more the film goes on the more annoying the character becomes. So many people recommended the film as an uplifting experience but I found it dark and depressing. Hanks was hugely lauded for his performance yet the role required little range. If over the top fairy tales about the mentally handicapped are your cup of tea then you may find the movie enjoyable.,1
Forrest Gump,"Tom Hanks is a wonderful actor but he didn't deserve the Oscar. Anyone could have done that. In fact, it's blasphemy this movie won best picture especially over Shawshank Redemption or Pulp Fiction. Forrest Gump is too saccharine and the quotes are too annoying and simple.",1
Forrest Gump,"At the beginning of the movie we see Tom Hanks about to kiss a girl for the first time before his tiny weiner is exposed. In this movie, Tom Hanks does pointless, stupid things, then reacts with screaming, Hitler-like tantrums whenever his own actions start to boomerang and hit him in the behind.

Since his first appearance on TV, Hanks forced his sick sense of humor onto the poor unsuspecting audience. Is this what you call entertainment? Do comedians not have any obligations to the public? How are Hanks's so called entertainment pieces helping any of us be a better person? I find it hard to answer these questions.

On a related note, I find Hanks incredibly ugly and can hardly bear to watch him on screen let alone enjoy his ""work"". Besides, as he plays the same role in every movie with the same old ""jokes"" rewinding over and over again, watching one of his movies is just enough to guess the others.

Before I wrote this comment, I watched additional Hanks movies, might I add, with disgust. And I confirmed my diagnosis: Stay away from Hanks movies.",1
Forrest Gump,This would have to be the worst film to have ever one an Oscar. Mind numbingly boring and stupid all rolled in one.,1
Forrest Gump,"I waited until I had seen this film for the second time, before making a judgement. My initial reaction was correct it is one of the worst films I have ever seen, only Bean was worst. The film fails everywhere apart from the acting. The script, locations some appalling dialogue and dreadful sentimentality, that must be lost on a non-US audience. Absolutely awful 1/10",1
Forrest Gump,"I was drawn here, because this awful movie is on TV as I write.

I'll keep the griping to a minimum, but I hated just about everything this movie dished up.

I don't hate it quite as much as Independence Day, but it is a very close second, for very many the same reasons.

When making fois gras, the farmer holds the goose's neck and rams a funnel into its beak. Then the farmer pours corn into the funnel, force feeding the goose, very much like many American movies are made and presented today.

And the viewers sit there beaks agape !!!",1
Forrest Gump,"I was shock with disbelief when I saw the top movie of that year was Forest Gump (1994) instead of Angels In The Outfield (1994) which was second from the bottom. It was as though society was sucking up to trash. I don't care who puts this movie up as something it is fact not worth watching, as most of it was boring, not very entertaining and certainly not funny. There's nothing interesting about a nerdy Peter Pan adult whose stupidity can easily be taken advantage of. I see nothing morally right about someone showing their bare buttocks. I got the impression that whoever came up with this concept really didn't have any good ideas and just slap this together to throw at the audience, just to make a buck. There's nothing worse than insulting the audience intelligence. The only drama in it is the unpredictability of what this wacko character would do while loose in the community. If running you through different scenes/locations is adventure, then that has certainly taken a back seat.",1
Forrest Gump,"This movie is unrealistic and personally I didn't enjoy it in the slightest. I hate this movie and have never been impressed. There are plot holes and many scenes where you just want to punch the main characters. The script is atrocious and the acting is horrendous. I have never been more disappointed in a movie. This movie is thought to be touching and classic, but all you see is Tom Hanks and a lot of pointless of love. For once the movie focuses on male love rather than female but it never shows real love. Basically if given the chance I would take this movie off the market because it sets such unrealistic ideas for society.",1
