title,comment,rating
Slumdog Millionaire,"getting such a good rating and reviews for an ordinary movie, only a shame and shows how many people can feel good only looking at how poor other country is !!!

besides that i being an Indian did not feel anything about this film, and there are many others who feel the same. despite of being well aware of this fact this movie has been rated and won Oscars can only give one message which goes like "" we don't care how u feel we like poor looking and bad looking India"" which is only a losers attitude.

it also fails to maintain the people's belief in Oscars, being given away to movies that help the west and defame the east. bottom-line. since it has been happening long time , only movies that get west attention are in which ""wife beating, child exploitation , crime is shown.""

there are so many culturally beautiful things that i guarantee a majority people in the west DREAM yes actually dream about( and it is not in minorities or very hard to find in Indian it is actually very common ) u just have to look beyond , but it never gets media attention or west attention.

if u have it in u and can see through what media and film media shows u u will ask the same question as i am today "" why "" ?? why is it so?

if it is not preplanned ( this movie hype) then y is it that it got awards before it got people's attention. giving awards spreads the message hay watch this movie and feel good.

there may be little love story but that's about it....!!

India and a lot of eastern countries live life the way which is hard to imagine for the west. i guess that, what the reason is..",1
Slumdog Millionaire,"I hate it when I go to a film and I wince.

The last time I did so (and all through the picture) was Baz Lurmann's Moulin Rouge.

I don't have a problem suspending my belief when I watch a movie; I'm willing to go along with the ride with any film-maker. I just don't like to have my intelligence urinated on; and once again, it happens, and the guilty party this time is Slumdog Millionaire.

It's a mess, pure and simple; the photography is all over the place (I HATE MTV and CSI) and the worst of it all I'm under the unspoken impression that I'm watching one barely subtle plug for the Who Wants to Be A Millionaire franchise.

I don't care if it took home every Oscar at this year's Academy Awards (and the ones they did win I'm totally convinced the Academy is using crystal meth), this is one Best Picture Oscar winner I will never add to my DVD collection.

A minus five stars, in my book.",1
Slumdog Millionaire,"Some kid wins Who Wants to be a Millionaire in India and is promptly arrested for somehow swindling the programme, however, under scrutiny, he reveals how deeply affecting moments in his life caused him to recall the answer to each question.

A simple premise... so simple, in fact, that once you know it, the film seems to be pointlessly playing by the numbers.

I heard a lot of great things about this film, but to be honest, couldn't get into it and turned over after 20 minutes (hence the lowest score rating available). The production values were excellent - as one would imagine - but the story just failed to pull me in.

If you like predictable dramas spoken in a non-English language to boost the artistic value of a film clearly aimed at winning awards, then let the fact that it did achieve critical acclaim sucker you into wasting time better spent doing something else... like watching a film that's actually good.",1
Slumdog Millionaire,"What I don't like about this movie is the director's ""try-hard"" dramatization of India's poverty. India has a population of nearly 1.5 billion people and the geographical area is enormous. So, one can imagine the diversity of people in terms of socio-economic status. Unfortunately, this movie depicts only the negative side of India viz, poverty, lack of cleanliness and people's willingness to go to any extent for money. This is not true at all. I have traveled to a lot of countries in the world and I've seen a lot of morally superior people in the world more than anywhere else in the world. All I can say is, go to India and live there for sometime and see for yourself.",1
Slumdog Millionaire,"This movie had no soul. It comes from the mind of a very sick, depressed and sadistic individual aka Danny Boyle. His ambition in this movie was to show India and Indians in a bad light, which is not the reality at all as it portrays. There are many layers to Indian society, and being a complex and sophisticated culture, the layers are equally complex. All said and done, even these poorest of slum 'dogs' live happier and culturally rich lives than most millionaires in the west. This is the spiritual aspect which Boyle lacked the depth or the intention to portray.

There was this one scene in the movie where the boy is stealing tires from the car of an American tourist couple, and when caught, he tells them: ""This is the real India"", and the Americans give him $100 as say: ""This is some real America for you"". I mean how cheesy is that? Clearly Boyle was trying to patronize the American audience and awards' judges. It's a pity this movie was held in such esteem at the Oscars, but these are the days of Gaga and such talentless folks, so..",1
Slumdog Millionaire,"I loathed ""Who wants to be a Millionaire?"". The show is stupid, the format is awful with the way they drag out giving the answers to the questions and the music is cheap and awfull. For some reason it was everywhere in the 90'ier or 0'es, so it was hard to avoid it completely, especially the theme music.

I deeply resented being presented for this show again like a decade after it disappeared.

The movie was probably okay. It is basically an exploitation movie exploiding a fad around a game show. But everything is on a very high level, actors, direction and so on.

I just had a truly awful time watching it because of the game show taking up so much space, so I cannot give it more than 1 star. With the TV Show parts were cut out it would probably be decent.",1
Slumdog Millionaire,"""Slumdog Millionaire"" is a drama movie directed by Danny Boyle and is based on the book named ""Q&A"" created by Vikas Swarup. The main actors are Dev Patel starring as Jamal Malik and Freida Pinto starring as Latika. The story isn't that interesting, just the fact that it shows us a side of indian culture we don't quite often see. The movie starts in a poor village, Dharavi, where some kids were taken and were taught to sing for begging. Two of them, Jamal and, his brother, Salim, escaped and took the train to go away from there. They managed to live by doing illegal things, but Salim got mad on Jamal and they got apart. Later, Jamal decided to go to the show ""Who Wants to Be a Millionaire?"" and he had luck because all questions were based on his past but we will see if he'll win and if he'll meet his love. The story was not that good but the acting was quite nice and the characters felt pretty lively. The movie is fine if you don't have anything to do. The quality overall is average and I personally wouldn't recommend it. I'll give it 5 stars.",1
Slumdog Millionaire,"So this was the famous film that people raved about a few years ago .I'd finally gotten round to watching it on TV , and I am just stunned that this is the same film that people applauded and got excited about.

The story was utterly ruined for me by the constant abuse of children .Every flash back involved misery ,and abuse of every kind you could imagine , or rather didn't want to imagine. If I had been in a cinema ,I would have walked out .No amount of seeing him get to win a girl / money / get revenge / make good / could make up for the disturbing scenes of children running , crying , being blinded , etc .

.I found it depressing that we were supposed to have been uplifted by it all working out in the end. A dreadful film , with no redeeming features whatsoever .",1
Slumdog Millionaire,"The film is about a boy from Indian Muslim background who becomes the winner in the show ""Who wants to be a millionaire"". His journey from rags to riches is the storyline. The film background doesn't reflect the authentic Indian settings rather shows the socio economic status of one particular community. Danny Boyle is brutal in showcasing the lifestyle of people of that community, plus his direction is clean too.

Danny Boyle depicted the one in a million cases, to pinpoint the winner in the show. Salim, the protagony answers all the questions correctly not because of study but by dint of his experiences in real life. All these questions were a part of his life and so becoming a millionaire was easy for him. Salim, already was downtrodden, living a hard life of misery in violent environment, deserves all this money because of his sacrifices, perhaps. By hook or crook he did..

The films pace is fast, but brilliant where every detail is perfectly tied up with one another. The film making is brilliant nevertheless but personally I could not agree to the genuinely of the event. It's dramatized, with imagination, suitable for various tastes of viewers. A negative theme film with money, violence at the center, far from peaceful resolutions etc etc.

Technically well made, but still not relatable to a positive mindset. And AR Rahman winning an Oscar for jai ho does not reflect good judgement at all. A 5/10 will be the rating but to balance the present rating it would be a 1/10.",1
Slumdog Millionaire,I know that there are many slums in india but how can a kid dip himself in shit and reach superstar amitabh bachchan...i think it is also an insult to him but acting was nice.Hero is so lucky that he got every questions from his past...what a coincidence after coincidence?,1
Slumdog Millionaire,"The movie is interesting.... Direction is OK but some times dull... Story is the bad part.... First half is very entertaining but second half is pathetic. The movies scripts is also faulty......

1)MY PROBLEM: No show in history has ever sent a man to JAIL... lets talk about REAL Who Wants To Be A Millionaire.. most of people came in that show were needy or poor and some were from even slums.. all of us know India sure is a poor country , Many of the people who appeared took a lot , Please go and ask Mr. Bachan And SRK (2 big hosts of the show) how many of them were sent to jail?

2) What the hell was the ending? ""KISS ME"" :D are you serious ? followed by an awful Hindi soundtrack which got Oscar as well.

Sorry but the only good part of the movie was editing and Cinematography (and both didn't deserved Oscar). Worst part was the entire cast and the script

there are some very serious issues with the film.... starts is excellent..... but ending is awful 5/10 it just a movie you will forget very soon.",1
Slumdog Millionaire,"What is wrong with everyone? I see absolutely nothing of value in a movie that shows non-stop violence and horrific abuse. 99% of the abuse shown is toward children; which is incredibly disturbing. AND it is constant. The slums are horrifying. The camera pans the slums while showing adults and children being constantly abused. Children always running in fear. Throughout the whole movie you will see every kind of abuse that evil thinking can imagine.

The accolades that Danny Boyle is receiving are totally beyond my logic and understanding. I would not recommend this movie to anyone, ever. I so wish I wasn't talked into seeing it. If I were in that situation again, I would definitely walk out. It was a horror to sit through. The movie definitely would turn one off to ever visiting India.",1
Slumdog Millionaire,"First of all, I have no idea what the hue and cry is about. This film is average at most. The acting is mediocre, the story is decent. That's about it. The only creative and exciting part of the film was the ""Who wants to be a millionaire"" show. Apart from that, i must say that the film was very unrealistic. ( I am saying this because as an Indian, it is disturbing to hear people say that this is how India exactly is, and this is how it is in real life). Secondly, the direction was decent. Nothing spectacular. Some of the scenes like the Jai Ho dance in the end was a very good attempt at copying some of the commercial Bollywood films, which, consequently, are horrible. The only thing which made this film do well in the box office, and win an Oscar is due to the ""Indian Stereotype"" and the hype surrounding it.

5/10 at the most.",1
Slumdog Millionaire,The image presented in the movie in order to get the answers was completely incorrect.. Director or writer can use some different and positive ways too.. I'm also living in the India.. But never saw such India which is here in the movie..,1
Slumdog Millionaire,"Half of the film set up a very promising and graphically grungy depiction of India. Showcasing vivid portrayals of grotesque living conditions, and scenes of disturbing quality. Only to be slapped in the face; halfway through the film with Disney esque love story which had no reason to be there. Additionally, as each question brought up a memory for Jamal, this quickly became tiresome overtime as the movie kept repeating this formula. I had expectations for a documentary-esque portrayal of India but left with a void and a cheesy romantic subplot ruining the tone set for the 1st half. Plus, the award given to Jamal means nothing since the movie fails to highlight the legacy of this consequence. Jamal is rich, however the village he grew up on and the subsequent impoverished people are still ""trapped"" languishing in slums. In a sense no meaningful change, nor any powerful message about growing adversity was invoked. Just go watch Swades for a more down to Earth portrayal of India untainted by Hollywood. Genuinely frustrated.",1
Slumdog Millionaire,"Don't waste your time watching this. The script is full of India-seen-from-a-western-POW-clichés, the camerawork is murderous, and the child actors are a total pain in the a***. I gave up after just 40 minutes, couldn't take any more of it. Back in the mid-90s a very well known and respected Spanish film critic, Carlos Pumares, once said: Cinema has only 25 years of life left. And he was right. The illustrious members of the Academy who awarded this piece of trash with EIGHT Oscars either are PC crusaders looking for a few medals or a bunch of morons who spend all day sitting on their brains.",1
Slumdog Millionaire,"I can't believe how ridiculously overrated this movie is!

There is absolutely nothing of value here. The movie is an endless fest of violence, abuse, and aggression. Full of clichés, and totally over-the-top.

I do not believe that this is an accurate portrayal of the less-fortunate in India.

The plot holes were huge and plentiful. The whole movie feels pretentious.

I did not think the acting was particularly good. And, for God's sake, why cast such unsuitable child actors? Is it possible that one can be so dark in their childhood, but when they grow up, their skin is at least 10 shades lighter? I don't think so.

I did not feel any connection with any of the characters. They were so plastic and unnatural.

I don't understand why this movie has received such tremendous praise. It's beyond me. I don't see anything remotely appealing about this boring atrocity.

I don't think I've ever seen anything THIS lame and predictable. What is the point watching a movie, when you know exactly what and when is going to happen, and how it's going to end?

The story is dull and not at all compelling. Total borefest.",1
Slumdog Millionaire,"I watched this even before Oscars. Well, I liked it but it was truly painful to watch those kids, although I knew it was a motion picture. In fact, it is a painful movie to watch and painful story to listen after the release about kids involved in it. It's complete exploitation of those small kids and Directors even refuse to pay for a penny for their parents? After all, with worldwide gross over $360 million and with a budget of about $15 million, why the hell Danny Boyle ""trusts"" few thousand pounds to their funds and why those kids live in ""free housing"", ""non profit schooling""? The pain you watch in the movie is actually their everyday pain in real life, so Indian lawyers should sue Dany Boyle and his company. Finally, I felt disgusting after seeing it and I don't want to visit India at all.",1
