title,comment,rating
Gone Girl,"This is a terrible film.

Most of it seems to have been filmed in gloomy semi-darkness.

The echoey soundtrack drowns out the speech.

But ultimately it's the story that is just so ridiculous.

It is so ludicrous that you just have to be willing to ignore all the nonsense and just go with the flow. But honestly I wouldn't recommend anyone to waste several hours watching this.

Classic dialogue.

""Would you like a drink before we get started"" says TV host to murder suspect ""No, I'll just have some gummy bears"".

""Do you know how difficult it is to prove a murder case without a dead body?.......(wait for it).....it's incredibly difficult"".",1
Gone Girl,"Apparently there are 2 versions of Gone Girl. I saw the bad one with Ben Affleck. I don't think there's a better version, just another bad one with Ben Affleck. And both versions are exactly alike. It's just a bad movie, but it's twice as bad. It's not the kind of bad you can enjoy either. More like herpes (There are two kinds of herpes too). So if you enjoy herpes, you'll enjoy this. Even so, I'd only give it a ""1"" on the Herpes scale. If the herpes scale had a zero I'd give it a zero. I wish they'd fix the herpes scale so I could give it a zero.

SPOILER: The entire movie is a dream and at the end you wake up. This was a technique of the director and writer to explain away the many plot holes, and dreamy like non- acting of the people hired to stand on the sets for 149 minutes.

The gay guy has one funny scene (his reaction at the table).

The black guy is fun to watch.

White people are the rest of the cast; they are all sort of ""whitish."" I think this movie may be a test to see if in the future people will be willing to pay to sit in a theatre with no movie, and just watch the white people sitting next to them. Sadly, I watched a screener, so I won't get that pleasure when they finally take movies out of the theatre going experience. But it will come soon, movies are the only uncontrolled variable. Movies will be a safer investment without them.

Hope this helps and good night.",1
Gone Girl,"I hesitate to write yet another review of this since there are so many. I generally get very frustrated with so many reviewers giving films a 1-star rating because I think to myself ""Really? 1? You thought it was less watchable than 'Manos: the Hands of Fate?'"" Well, there, I did it; I gave it 1-star. I thought it less watchable than ""Manos.""

So many positive reviewers ask ""how can anyone possibly think this movie stinks?"" Well, then let me explain: story-trashing plot holes. The first part of the movie had some awkward moments that others have complained about in other reviews, but I'll let those go for the sake of a review. But mid-way through the film (the point most of us are fussing about) all brains go away.

If you watch anything like CSI, that's how the police are at the start. It's really needed for the plot for them to have some brains. That's the first part of the movie.

If you watched ""Manos..."" you might recall a scene where there is someone firing a gun at someone else outdoors. In the next camera shot, you see two police officers standing on either side of their squad car. They walk forward to the front of the car, peer into the distance to see the source of the gunfire, then look at each other, shrug and return to get in the car and carry on like nothing happened. ""Manos"" had the excuse the it was an amateur production with a camera with only 30 seconds of film time and lighting that only illuminated to the front of the car. It was inadvertently comic. However, this generally is how the cops take to behaving in the second part of the film.

I'm avoiding film details, but you can read about all plot holes in other reviews, but suffice to say I started saying out-loud ""that can't happen"" or ""in what universe is this supposed to be taking place?""

I'm not going to toss out a lengthy review of the acting (it's mixed in other reviews, but I thought it was OK). Nor did I find a problem with the directing and filming. I DID notice a trend among 10-star reviewers in that they felt need to mention Fincher's many other film triumphs as if to say ""Gone Girl"" required a superb rating (perhaps even given without actually watching it).

It's shocking that this film is in the top 250... not that there are others in the list I don't care for, but at least I understand why they are there. I think (hope) that over time this movie drops out of the top list. It simply doesn't belong there. And maybe those of use reviewing this dog so badly scared off people that they never watch... and then never vote. Time will tell.",1
Gone Girl,"this film is insane. a man is made to come out with his mistakes and women does not come out with a illegal mistake she committed. she faked her death,she killed the guy who helped her. one thing true in this movie is that they show what bitches are capable of. how come a bitch buy things in her name and hide it in a garage which does not belong to her, and the media covers all the sins committed by the hero and none of the reckless sins committed by the heroine.. this is totally bullshit. if a bitch cheats a man and he complains to media, no one cares,if a bitch disappears everyone loses their mind putting all sins ton that man..",1
Gone Girl,"THIS REVIEW CONTAINS SPOILERS! Do NOT read any further if you haven't seen the film.

Until the last 15 minutes it was one of the best films I've ever seen. The feasibility of the characters is good until then. The ending was ridiculous, I can't believe people suspended disbelief this much. It's one thing to have to suspend disbelief, but the characters at the end are completely unbelievable. Affleck's character would definitely not have stayed with a psychopathic murdering partner. Just ridiculous.

I am astounded other people are OK with the ending. That's the biggest surprise in all of this. Anyone who knows anything about legal issues or psychology will realise how stupid the ending is. I can only think that some people are ignorant to think it's a good ending! Sorry, but that's my opinion. Just awful. Watch it, and then make up a better ending with your friends (maybe that's worth doing for fun!?).",1
Gone Girl,"What a waste of the past couple hours of my life. I thought this sounded like an interesting movie when I heard about the plot, but the ending made me really angry. It reminded me of The Departed -- interesting story, and then suddenly, unexpectedly, the ending ruined it. The movie goes into rich detail showing you what a horrible person the Amy character is, and then somehow Ben Affleck stays with her. Hopefully this review can save others from wasting their time like I just did.",1
Gone Girl,"I'm barely watching this idiotic movie on tv while listening to music and writing this review. I assume it's better closed captioned. I thought this would be an opportune time to listen to a group called Garbage. And I sort of like their song Push It. To top it off, before the movie I watched a news story on the ""red tide"" in Florida. I'm likely in danger of being framed for the kidnapping of a space alien living a double life as an agronomist in Manhattan and a magnetic north pole impersonator.",1
Gone Girl,"May be the worst movie Ive ever seen. I would not recommend this to anyone to watch, ever. Do yourself a favor and go see a real movie with the Avengers in it.",1
Gone Girl,"Lazy plot, especially in the first half... Poor casting... Dis app oint ed!",1
Gone Girl,"I watched the movie and asked myself after finishing it: So What? What did I get from watching this movie? Literally nothing.. in addition, there are a lot of mistakes in the film. The movie claims that the life of Nick has become the focus of an intense media that even at the airport the story of Nick and Amy is shown on TV.. But Amy walks at a petrol station and sits in a restaurant normally without disguising herself..! Really WTF! Besides, the first half of the movie tries overactedly to convince us with an idea which you know from inside that it is not going to be the case.. Overall, my feeling is that the film is suitable more for the late 90s or early 2000s mentality, not at all for the developed-smart techniques/plots the movie-industry has developed recently..",1
