title,comment,rating
The Silence of the Lambs,"Review_Silence_of_the_lambs

Better had stayed silent... I have only now gotten around to check the reviews for this disaster-of-a-movie, that I have always considered to be one of the worst movies ever. How it could then, and does still now receive any praise is beyond me. I will keep this brief, others have said most of the things that need to be said about it, even if some just found it bad because of the graphic and sometimes disturbing nature, or funnily enough the lack thereof.

The violence and cruelty that has long since been dwarfed by movies like the Saw Movie-Series, an example of movies that I can find no excuse for.

It deeply disturbed me when at one time I entered a Video-Store that had a very sizable section of such movies to imagine the kind of people who enjoy watching that- they bear watching I think. And this comes from some-one who after the initial shock took a liking to the Nightmare-franchise, the Hellraiser and Scream-Movies. All of those were funny in their own sick way, and more often than not I would enjoy seeing the main protagonists die because they were just to dumb to live. As is the case with nearly every single one in horror-movies. A guilty pleasure for me, always aware of the fact that these are just movies. Very idiosyncratic- I will not try to defend my taste- it is just as it is. But all of these movies were rated as what they were - silly entertainment.

And not a genre that I have seen much of, other than the movies mentioned. Because they are stupid mostly, and sometimes even the ones who had made them seemed not to have grasped their material at all. Then silence of the lambs appeared, and to my horror even some professionals from Law-Enforcement as well as Psychiatry found it praiseworthy. These people too bear watching I think.

I have read all the Thomas Harris novels, seen the movie adaptations and found none of it very good. Otherwise they would not have sold so well, I think. But at least in a book you have the freedom to imagine the characters to be .... interesting. The way Clarence Starling her FBI career and her case-work are shown is just ridiculous, how she is used as bait to get Hannibal Lecter to assist them from his dungeon-cell (which stands out as a set-piece) is beyond words; and the original is actually almost funnier than the countless spoofs and parodies. All in all, nothing in this movie is worth any rating above four stars out of ten, aside from the dungeon-set., but I will rate it with just one star, like on many an occasion before to counterbalance the ridiculously high average.",1
The Silence of the Lambs,"I expected a lot more.

First I read the book, the book was one of the best book that I have read in my whole life that someone like me that doesn't like reading thinks that this novel is good, almost excellent. But then when I watched the movie, I expected a lot but a LOT MORE.

I can't accept that an impresionante writer that make an really good book, the actor make an movie that had a lot of scene that are too misterious that I don't even know what is happening in that part, what are you doing guys? C'mon this book was one of the mvp book in my life but the movie was make like this? Please don't hate me.",1
The Silence of the Lambs,"So, finally, after 30 years, I finally got around to watching this movie. No, this movie did not live up to the hype for me. I enjoy movies in this vein, but did not care for this. I think Anthony Hopkins did a good job on his character, that's the only credit I can give it. Jodie Foster's fake southern accent, (which seemed to come and go at times), was just plain annoying. Sometimes I found the movie difficult to follow. How the hell did Lector steal the pen? I get that no movie is ever really perfect and you have to suspend your disbelief, but too much ridiculous things happening in this. Then he escapes a place crawling with police, cuts off a policeman's face to disguise himself and escapes... a little too much for me... I don't get how this is revered as such a classic.... Maybe it was shocking at the time it came out and that's why it had such an impact on people... Not for me, no thanks.",1
The Silence of the Lambs,"Hannibal Lecter and Buffalo Bill scarred me as a kid. They are jerks that traumatized me for over 25 years.

I would rather watch paint dry than see anthony Hopkins scaring me.

Why did he do that weird thing with his mouth?

Jodie Foster should've kicked his behind for being mean to her.

I heard she didn't want to do any sequels, because he frightened her too much. What about her feelings?

What about my feelings? Buffalo bill needs to keep his clothes on. Birthday suits aren't needed in this film.

Whoever wrote this film clearly wanted to scare children. Anthony Hopkins needs to apologize to me.",1
The Silence of the Lambs,"8,6/10? Really?

It took me months but i finally finished this movie!

Why did i take so long?

The first five times that i opened it i passed out cause they all sound like they're giving lectures when they talk(and most of the film is people talking miserably attempting to sound poetic).

The fifth time i played it i just stopped cause It felt wasteful to watch a movie where everyone is guilible like a 14 year old, and Hannibal is like a 16 year old bully.... who hurts their feeling with his pointy words and makes them do very intelligent and not dumb at all things like... Convincing a guard to release him? Lmaooo whaaat (the funniest scene was when they strapped his body head to toe to a chair and he still managed to snatch a pen 10 feet away from him... like ok what, at that point I was checking if I was watching the parody version)

My imaginary girfriend made me watch it.

And i did a research to find out what was special about it cause i really wanted to like it man, cause i wanted to understand my imaginary girlfriend's taste... like i really hoped she didnt just like it cause it's mainstream... cause that'd mean she's stupid and id have to break up with her..... OR the second scenario is that that im blind to some element of art that 90% of people can perceive, which would be strange cause normally i'm only blind to the 89%.

So i went a head and did the research and ... apparently, what phases people is, hear this, ""the peculiarity of the characters"". You know? With the whole eating people and using almost 16th century theatrical phrases to describe simple things, that no one would use in real life.

So im like ok thats it!

THAT'S what im missing!

Im not really impressed by their words... Youtube comment sections have more resonance and cut deeper.

Not phased by their immorality......cause have you even seen what animes are up to?? They make eating human flesh look like ghandi.

So basically this movie only appeals to snowflakes and feathers who are easily phased by immorality....

Maybe ill read the book, cause my imaginary girlfriend, even though i realized that ill have to break up with her now cause she follows trends, she's still not the least artistic person on the planet.

OH AND!! The serial killers are too scientifically incoherent in their behavior, which makes it hard to take them seriously... anyway the whole movie was a joke.

THANKS FOR LISTENING PEOPLE!",1
The Silence of the Lambs,"This, so called movie, is totally wrong for different reasons... It pollutes the mind of the expectators, has an explicit and disnecessary scene. The villain exposes himself to a full size mirror, completely nude, emulating as is he was a female. That scene, hunts my imagination till this day. Jodie foster is the main attraction, alàs, the only thing worth it this piece of s ....t.... I strongly believe that movies like this serves Only, solely, for Hollywood to kaching some bling... Well no matter what I say...There are people whom still like this genre...

ydisnecessar.",1
The Silence of the Lambs,Story is very bad ....the story has no sense there are very boring and very dull moments in film lack of character development,1
The Silence of the Lambs,"I don't understand why FBI celebrate when they kill one serial killer, but unleashes another.",1
The Silence of the Lambs,the film expressed a certain emphasis on the criminal matters now existing in our world. i have read the novel and i though it followed the plot seemingly well. i think anthony hopkins' performance was very sophisticated and i have not yet seen the sequel and i hope his performance was just as good in that.,1
The Silence of the Lambs,"Toxic movies that I hate forever I really believe that films like this harm not only the cinema but also our world

The only strong point that seems to be in this movie is the few silences that Jonathan Demme has managed to capture, but it took too long and it didn't turn out well. Everything in the movie is based on a funny but very serious story.the film does not have script .And it is the only film for which the Academy has become emotional for specific reasons. The set design in the movie is awful. There is neither simplicity nor complexity in it. The story of the movie is full of bugs. The knots of the story are neither real nor fantasy, neither believable nor surreal. A film that is basically a deception. In my opinion, it could have been a more successful movie by switching the roles of Hopkins and Jodie Foster. The pleasure that the story of the movie wants to convey is very confusing and deceptive. Everything suffers from an artificial nostalgia. Not only is it unsuccessful and it never deceives the professional cinema audience, but it is so ridiculous and funny that it is unbelievable at a certain time. A movie that not only the character but also the style is not seen in it. Tasteless and, for example, tasty inserts in the movie do not advance anything. The film remains as interesting as the basic idea.",1
