title,review_text,stars,url
A Beautiful Mind,"本片讲述了天才和疯子的知名数学家约翰纳什的一生。故事从他入学普林斯顿博士开始。影片里年轻的纳什一直执着于追求原创的理论，甚至一度被同僚和导师质疑
小纳什人生的柳暗花明时刻被安排在了酒吧里。三个同僚和他一直试图泡一个金发美女 and here enters our first female character horaay!!! 于是小纳什在同僚和美女的刺激下，终于找出了他一直追求的原创理论，写出了震惊世界的毕业论文 “non cooperative game”。然而电影的这段除了起到了显示导演本人极度热爱物化女性的作用外，也顺带解释错了纳什均衡。
四个数学家坐在酒吧里，此刻进来五个美男，其中一个美男不仅屁股最翘眼睛最蓝而且看起来就胸大无脑，四个数学家都喜欢他。然而此刻一个数学家指出，如果所有人都去泡这个金发美男，那么谁也得不到他，剩下的四个美男也会对她们冷面相对，因为没有男人喜欢做女人的第二选择。而如果她们都去追剩下的男人，那么最终每个人都会拥有一个trophy boy! 她们实现了四赢！
然而 sadly 这并不是一个纳什均衡，因为均衡的定义在于每个人最终都不能通过偏离自己的最终决定来获得更多的利益。但是显然，每个数学家都可以抛弃自己现在手里的男模，去追求那个golden trophy boy!
除了解释错了纳什均衡以外，电影对于纳什和纳什对于博弈论的贡献似乎也所知甚少。纳什被送进普林斯顿时是公认的天才，很难想象他的导师会对他的学术能力产生任何质疑。而电影里启发纳什毕业论文的竟然是来自己同僚的一句Adam Smith的quote。纳什的毕业论文在普林斯顿官网上公开，其中他只引用了两篇文献，一篇来来自冯诺依曼的“Theory of Games and Economic Behavior”,一篇则是纳什本人更早的一篇“Equilibrium Points in N-players Games""。而纳什更是在致谢中表示了对倒是倒是Albert Tucker对于这篇论文指点的感谢。
现代博弈论的流行与计算机之父冯诺依曼对于mixed strategies的引入有着分不开的关系。而冯诺依曼仅仅证明了零和博弈里的均衡点，而纳什的贡献则在于他对于非零和博弈里纳什均衡存在的证明。实在想不明白为什么本片会通过Adam Smith来证明纳什博士论文的重要性。
纳什对于博弈论贡献看似看似是对冯诺依曼的拓展，然而实际上两者的难度存在着天壤之别。零和博弈里的均衡点的计算难度是非指数级的，而非零和博弈的纳什均衡计算则是PPAD hard i.e. there no known polynomial algorithm under proper complexity assumption.
电影的后半段对于纳什数学上的贡献主要集中在PDE和黎曼几何上，这方面咱就完全不懂了。只能一边看詹妮弗康奈利爱上罗素克劳这种丑男一边怀疑人生。
詹妮弗康奈利出场是在一节微积分课上。 here enters our second but last female character horaay!!! 罗素克劳无比装大爷写下一到微积分题然后说了句大概类似于在座的各位都是垃圾的话就撂挑子走人了，詹妮弗康奈利再次出场是叫罗素克劳滚去上课，然后一边含情脉脉交出自己的解答。罗素克劳瞥了一眼说了句 真是垃圾。于是詹妮弗康纳利便约他出去吃饭，看到这我似乎以为，啊，原来她是苏联间谍！这只能是安排詹妮弗康纳利爱上罗素克劳的唯一合理解释！！然后，我发现，导演精心安排她解微积分，真的只是为了让罗素克劳高看她一眼。
电影的最后半个小时，在罗素克劳变成极致丑男加变态神经病后詹妮弗康纳利依旧对他不离不弃中结束。
PS 现实生活中纳什的妻子Alicia Larde在与纳什结婚三年后便与其离婚，独自抚养儿子成人，直到2001年才与纳什复合。
Pps 发现导演还拍了乡下人的悲歌，瞬间解释了一切。。。",1,https://movie.douban.com/review/16235146/
A Beautiful Mind,"长期以来，我们一直受着大众文化的盲目正能量，特别是美国文化中英雄主义，浪漫主义，理想主义毒害，让所有的男生都认为只要足够努力，自己迟早都会像乔布斯一样成功；让所有的女生都认为只要自己运气足够好，迟早都会找到自己的白马王子，无忧无虑地永远快乐下去。但是当我们的男孩发现其实自己其实根本不具备获得世俗成功的品质的时候，当我们的女孩发现似乎所有的男人都是所谓的渣男的时候，当我们无法面对这残酷的现实的时候，抑郁症便趁虚而入，难以避免了。
这样的戏剧人物其实很多。比如美剧《迷失》（2004-2010）中的Locke，在孤岛上战胜了残疾以后开始对自己深信不疑，但是在遇到挫折之后又一蹶不振。《Michael Clayton》（2007）中的辩护律师在意识到自己把一生的精力都放在了摧毁无辜的小镇村民的时候，一下就疯了；《Melancholia》（2011）中无所不能，无所不知的姐夫当知道抑郁星要撞上地球的时候，他也招架不住，服毒自杀。美国的很多天主教徒迷信教会一辈子，当他们知道自己的孩子都被牧师性侵过之后，就不知道该如何面对自己了。
但是最著名的正能量患抑郁症的角色莫过于《玩具总动员》（1995）里的巴斯光年了。
巴斯光年刚被从商店里买来的时候是一个狂热的宗教信徒。他认为自己是伟大的斗士，宇宙的拯救者。有信仰的人是很吸引人的，因为他们看似知道如何生活并非常清楚自己的天命。有信仰的生活方式也是很吸引人的，因为这种生活很纯粹，可以排除很多杂念，不用考虑很多事。而且当信仰足够强的时候，确实有可能成就奇迹。巴斯光年就是靠这种信念，在大家面前“飞”了起来。但是这种成功的可能微乎其微，就像是巴斯光年其实是靠了很多巧合才“飞”起来的。虽然牛仔伍迪妒忌巴斯光年的受欢迎程度，但是伍迪一直也是很清醒的：他从来没有对巴斯光年存在幻想，一直认为巴斯光年是装的，只是没料到他是真的被洗脑过。这就是牛仔伍迪能成为其他玩具的领袖的原因：其他玩具都只会盲从那个看上去最牛的家伙，但是那个看上去最牛的家伙往往不是疯子就是骗子。而由于自己的空虚和迷茫，我们宁愿受骗和误导也不愿意遵从自己的内心。
巴斯光年依靠自己的信念，非常成功而且纯粹地生活着直到他在玩具店看到了巴斯光年的玩具广告。当他发现自己的信念仅仅是一个谎言的时候，巴斯光年的整个世界就坍塌了。巴斯光年在电影的整整四分之一中都处在极其抑郁的状态，对自己的生死已经不再关心。这在动画片的中是史无前例的。这也是为什么《玩具总动员》是历史上最伟大的动画片之一：不光因为它是世界上第一部电脑合成的立体动画，更因为它教会了孩子们信仰的力量，如何建立正确的信仰以及如何在社会中找到自己的位置。
那么牛仔伍迪是如何让巴斯光年走出抑郁的阴影的呢？
首先，伍迪让巴斯光年意识到自己并不孤独，其实别人也有和他一样的痛苦。抑郁症的问题之一就是对自己的痛苦过于关心，而不知道别人的痛苦可能远大于他的痛苦。就像《阳光小美女》中，当那个企图自杀的同性恋看到自己的侄子不说话，比自己还抑郁的时候，他就突然活了过来。有时候，再也没有比看到别人的痛苦更能有效缓解自己的痛苦了。所以当牛仔伍迪告诉巴斯光年，自己已经被主人抛弃，真正抑郁的应该是自己的时候，巴斯光年的抑郁得到了缓解。抑郁症的另一个问题就是孤独感。当我们发现自己和另外一个人是如此相似的时候，或是同命相连的时候，或是想法一致的时候，我们就再也不觉得孤独，甚至会觉得不可战胜。
然后，伍迪趁热打铁，继续让巴斯光年得知他其实已经占据了主人的心，得到了主人的宠幸。当巴斯光年看到自己脚下签名的时候，他一下子活了过来。巴斯光年虽然失去了宇宙对他的爱，但是在伍迪的帮助下，又得到了主人对他的爱。所有人都需要爱。没有爱是抑郁的最根本原因。或者说，巴斯光年又找到了人生的目的：原来他的目标是拯救宇宙，现在的目标是取悦主人。虽然人生目标的档次下降了不是一点二点，但是这总比没有目标好。这也就告诉我们，不要被大众文化所迷惑，不要给自己定太大的目标，只要有个切合实际的目标就足够让自己幸福。这就让我想起《美丽心灵》（2001）中的数学家纳什。他得精神分裂症的根本原因就是因为他给自己定的目标太大，虚荣心太强，被美国的冷战文化所毒害，希望自己的数学能力能够战胜苏联，拯救美国。最后他才发现，最能让他幸福的还是和他妻子的爱情，而不是什么诺贝尔奖。
所以在选择正能量的时候我们一定要小心，千万不能饥不择食，随风逐流。如果选错了正能量，当幻想破灭时，对一个人的打击可能是毁灭性的。正能量的选择基于我们对自己和整个人类在历史上和宇宙中比较清楚的认识。我们既不要低估自己更不能高估自己。虽然我们具有改变世界的能力，但是我们充其量也只是大自然创造的机器人而已。（这是一个很深的问题，将来我们在讨论《西部世界》的时候再深入挖掘吧。）",1,https://movie.douban.com/review/9202184/
A Beautiful Mind,"上学时看了些博弈论的书和文章，很奇怪博弈论的逻辑体系，很多时候完全是自我意淫，比如各种什么7个海盗的难题，什么能答对这道题的人都年薪百万等等。思考了一下，就找到这些所谓绝对真理的问题所在，后来在书上看了所谓纳什均衡，跟我想的差不多。但是人家竟然靠着这么一个是人就能想出来的玩意得了所谓的诺贝尔奖。
最重要的是，纳什的狗屁传奇人生似乎很吸引人，跟图灵什么的这些变态（生物学和心理学名词，指非常态的东西）一样，远比牛顿，爱因斯坦，狄拉克，爱德华威腾，希尔伯特等等更受人欢迎，可见人心的丑陋和肮脏。电影更上一层，完全就是个神棍电影，把一个普普通通的精神疾病，弄成鬼神悬疑爱情励志片，跟原型人物现实情况多有出入，无非套个壳子卖春药而已，而已而已。",1,https://movie.douban.com/review/10338748/
A Beautiful Mind,"耐心看了俩小时看完了，没发现什么亮点，没看出纳什多么天才，爱情多么感人，或者多么努力奋斗。
前半部分演了半天结果是一个精神病的幻想，这跟国产网剧什么分别？后半部分我以为会有精彩的地方，结果很平淡，没看见男主角的天才，也没看到他多么努力奋斗，平淡的也不知怎么的就得了诺贝尔奖。
内容实在是平淡，平淡，又混乱。
糟点多的多，理工科大学高材生们都不近视，只有一个戴眼镜。女的也都很靓。这要是国内拍的，一群俊男靓女在名牌大学，非得被豆瓣文青吐槽死。
我想获得高分的原因是——美国出品，题材逼格高。皇帝的新装啊，觉得不好说明你的欣赏水平有问题，对不？",1,https://movie.douban.com/review/8376534/
A Beautiful Mind,"对大多数影迷来说，那年的奥斯卡为什么把最佳电影这么贵重的奖项给这么一部“四不像”的怪胎，是一件让人费解的事情！因为，十多年的大浪淘沙之后，这部电影多次被评为了“最不配得奥斯卡最佳”的影片。也很少被提及了。那年其他被提名影片----《魔戒首部曲》、《红磨坊》、《不伦之恋》、《高斯福庄园》！哪一部都比《美丽心灵》有分量，哪一部都比《美丽心灵》更传世！凭什么《美丽心灵》能得奖？
     答：商业运作。电影公司颁奖前花大钱造势，请水军唱赞歌，请影评人捧臭脚等等，和天朝无异。最近我在一本电影回忆录里读到了相关的情节。比如怎么把《不伦之恋》推向市场，老板逼导演剪掉半个小时让它更商业，又怎么花钱做商业造势等等，让那个发行人最后都累出了心脏病，才坚持己见没有妥协。而《美丽心灵》背后的环球远远比米拉麦克斯强的多。米拉麦克斯最终也没有生存下去，被慢慢挤压最后惨遭合并，成为了艺术片影迷的大大遗憾！
    《美丽心灵》最大的毛病，是形式大于内容。说它是励志片？不是。影片更多的篇幅是写那个疯子天马行空的幻想，励志的内容寥寥。说它是传记片？不是。影片中很多场景是在主角精神病的状态下幻想来的，根本不是真实人物的客观经历。说它是悬疑片？靠点边，可惜观众最后知道自己被导演和编剧愚弄了。事实上，这部电影从宣传到预告片，都伪造成了悬疑片的样子，让观众误以为该片是惊险的悬疑片，其实该片只是故弄玄虚的传记片。
    这部电影就好像在讲一个疯子的癔语，除了他老婆对他的支持有点情感成分所在，其他的空洞又垃圾，还发明了好几个小人跟着他，美其名曰----人格分裂。那个时期“人格分裂”这个噱头很流行，有好多影片玩了这个把戏，用好几个演员演一个人！幸好他分裂的小人不是很多，要不然改成史诗片，让他领着小人一起打仗了算了！（300的灵感可能就是这样的吧LOL)我觉得主角的心灵并不美丽，所以香港译名还比较贴切，《有你一生美丽》，真正美丽的心灵是他妻子的。
 
      另外我觉得克劳的演技也不怎么样。他现在事业走下坡路，形象也越来越差，在我心里，《角斗士》才是克劳最好的表演，最好的影片！",2,https://movie.douban.com/review/7537697/
A Beautiful Mind,名誉和获奖就那么重要？这是我看完这部电影后最大的一个感觉。这是一部传记式的电影，它得真实地反映出数学家Nash的一生，而Nash的确经历了精神分裂的折磨和获得诺贝尔奖的至高荣誉，这没错，但我着实不喜欢这部电影的表现方式。这部电影的表现手法，使我觉得Nash似乎成了一个有着非凡才能，同时又对受别人的尊重、名誉有着强烈欲望的人。并且这种欲望占据了Nash的内心，使他想象出国家需要他去破解密码，来完成一个拯救国家的重要任务，在他的意识里面，他用这种不真实的想像来满足自己的这种欲望，使他自己觉得他自己是多么的重要。而且在电影里，我清楚地记得，那个西装格领的big brother对Nash说：“我会让全国的人都知道这件重大的任务是你完成的。”这句话就很好的证明了这一点。中年的Nash就被现实和想象之间的矛盾折磨的死去活来。在Nash辞退工作，生活全面崩溃的时候，电影的处理使画面显得极其惨淡，这可以理解，因为现实中的Nash肯定在那一段时期里面也是充满了绝望。可在Nash重新回到大学之中，他的心境似乎开始变得平和，似乎一切都在走向正轨，但这部电影又把老年的Nash处理成一个极其猥琐，痴痴呆呆，似乎完全变成了学校里面的累赘。在这个时候，我是同情的Nash的。但因为他终于接受了现实，并且放平了心态，而我也因此觉得有些欣慰。当老年的Nash被告知获得诺贝尔奖的时候，我心里也是十分高兴，觉得他的才能终于让世人所明知。但电影的处理手法又一次让我匪夷所思。在颁奖典礼上，画面一下变得华丽，猥琐的Nash一下变得风光无限，风度翩翩的向台下的人发表感言。这样突然的转变又一次让我感觉到，似乎是Nash追逐一生的荣誉终于来临，正是由于诺贝尔奖的到来满足了Nash的欲望。我真不知道这部电影的处理方式到底是想宣扬些什么，好像把对于名利的追逐放到了一个很冠冕堂皇的位置，并且追逐到了！有多少科学家终其一生，辛辛苦苦做一辈子研究，也做出了很大的贡献，但一生却是非常的平淡，因为一个领域的诺贝尔奖的获得人毕竟每年就那么一个。如果都把名誉放到那么辉煌的一个位置，那得有多少人会疯掉。名誉真的就那么重要吗？现实中的Nash到底是个什么样的人我并不了解，总之这部电影把获得诺贝尔奖作为了Nash的的价值的体现，把Nash的理论产生的巨大作用只浓缩成了一位诺贝尔奖的评奖机构的官员的一句话。如果，这不是一部人物传记，这会是一部没有意义的影片。可是，它是一部人物传记，而且，仅此而已。,2,https://movie.douban.com/review/1343457/
A Beautiful Mind,"我很难想象这部电影为什么能拿到9.1分，以及四项奥斯卡。事实上这部电影是沉闷且无聊的，整个故事仿佛流水账一样没有重点，没有中心思想，没有贯穿始终的线索，没有一个元素能撑的起片名Beautidul Mind。
整部电影的核心思想是什么？Beautiful Mind这两个词指代的到底是什么？是主角纳什对抗自己的精神疾病，或者为了让我们了解病人眼中的世界吗？可是主角患有精神分裂症这点被揭示得有点太晚了，影片前半部分没有足够的暗示。
事实上就没有一条贯穿全篇的线索将纳什和精神分裂症联系到一起。他为什么会患有精神分裂症，和他的个人追求，他对数学和逻辑的关注，他的偏执有关系吗？影片中没有展示。包括他的幻想和他本身的生活也没有什么关联——他最著名的博弈论和后面的故事几乎没有关系，他解决博弈论的过程也没有和他本人的特质或者后续剧情有呼应。纳什提出纳什均衡的这部分戏份存在在电影里唯一的理由就是它实在是太有名了以至于不得不提。
后面的内容，虽然他确实帮国防部做了一些秘密工作，但这怎么会导致他产生如此强烈的关于密码、核弹、俄国人的幻想呢？在这之前他虽然已经有了关于好友查尔斯的幻想，但还没有严重到影响他的生活，可是他和五角大楼浅浅一合作突然病情恶化，产生的幻觉Parcher更是如影随形几十年，不知道以为五角大楼把他抓起用刑了呢。如果是他经受过战争创伤，或者真的因为俄国人的刺杀留下过阴影，那一切将合理很多，但电影完全没有展示，我们不知道他的经历到底是怎么对他产生影响的。
他的精神分裂症和他本人的生活关系不大，也进一步导致了他克服病症的过程显得不够能引起足够的共鸣。他没有一个明确的症结所在，所以克服病症的过程就只能是简单的“咬牙坚持”，一遍又一遍地尝试。他引以为傲的逻辑思考帮他在关键时刻认清了朋友查尔斯的女儿是幻像那段是和他本人的特质有关联的，那一刻我以为他终于要开始做自己最擅长的事了，但是接下来就没有再在这个话题上展开。最终他意识到了做不到消除幻觉，解决方法只能靠自己的毅力无视，这看上去挺感人的，大家会为他的毅力感动，但这岂不是也意味着，影片前半段塑造的人物形象几乎没有用？我承认他对抗幻觉的过程实际上很不容易，但如果主角走出困境的方式和他的个人特质以及经历没什么关系，那主角是谁又有什么重要的呢？
那所谓的Beautiful Mind指的是他妻子Alicia吗？虽然Alicia的坚守和支持很感人，但我觉得这也不是电影的重点。首先电影的主角还是纳什，而不是纳什和Alicia——毕竟这还是纳什的传记电影，以及如果电影重点在Alicia和纳什的爱情上，Alicia就不会在电影开始半个小时后才出场了。
影片几乎没有展示Alicia到底为何会与纳什产生如此强烈的羁绊，好像她和纳什相爱就是自然而然。她喜欢纳什哪点呢？聪明？偏执？甚至略显自大？纳什在和她的前两次接触中展现出什么别人都没有的优点了吗？电影里Alicia刚出场时的表现过于突出了：在办公室里的主动邀约，一起盛装出席宴会帮纳什整理衣服，加上詹妮弗康奈利的美貌，配合上前面“俄国人”的剧情，多少人被误导以为Alicia是间谍？这恰恰说明在观众眼中Alicia没有一个坚实的理由爱上纳什。
我知道Alicia 给了纳什充分的鼓励与陪伴，我甚至有点替Alicia感到不值，但我还是要说，电影中纳什回到普林斯顿后就没有持续体现纳什与Alicia的互动，不仅搞的像纳什靠自己挺过了几十年，削弱了Alicia在过程中的重要程度，也让纳什靠毅力无视幻象的努力没法和爱情的主题紧密联系在一起，所以看起来爱情作为电影的中心思想也是不充分的。电影中的爱情既没有建立在充分的理由上，也没有丰富的内容，结果在最后诺贝尔奖的片段还尝试归功到到“爱”上，真的没法让人信服。
我一直觉得，一部出色的电影首要任务是集中精力先把一件事做好。放到这部电影来说，要么把纳什自己的偏执和与精神问题的对抗讲好，要么专注讲一个动人的爱情故事。但是这部电影两边都想要，两边都没做好。
那么这时候有人会说了：传记片嘛当然要讲得全面，不一定要有一个贯穿全篇的线索。问题是这部电影作为传记片也没有做到还原事实啊！纳什本人都觉得不像自己。既然已经改编了，那不如就改编成一个更统一的剧本。
由于电影就没有个明确的中心思想，电影的节奏也显得很奇怪，尤其是刚开场20分钟，有种讲到哪是哪的美感。另外电影的音乐也让人困惑——为什么被追杀时候的追车戏音乐显得那么温情？
总而言之，我完全不知道这部电影为何能收获如此高的评价。作为一部故事片他它没有重点，作为一部传记片它也不还原，绝对是一部被高估的电影。",2,https://movie.douban.com/review/16444607/
A Beautiful Mind,"正值斯诺登事件令美国大为头疼之时，中央六套播出了这部电影。标题出来的时候，哥以为这是个温馨的情感剧。
    大学校园中讲台上一个声音上道：二战的最大胜利者是数学家，他们破译了日军密码，苏联妄图赤化全球……种种吸引人的对白。
    哥的脑子现在又被这个逻辑极差的电影搞晕了。
    强大的国家舆论宣传有时也让民众神经、误入歧途。像这位哥们，始终幻想着自己为五角大楼服务，始终带着自己的芯片和密件和他幻想出来的情报组织接头。
    无独有偶，本拉登被确定为恐怖大亨之后，一些美国公民妄图自带武器前往中亚缉拿他，然而枪支无法出境使得他们只好以宝剑同其决斗。
    感觉到世界媒体貌似正将面临一场危机",2,https://movie.douban.com/review/6164021/
A Beautiful Mind,"正值斯诺登事件令美国大为头疼之时，中央六套播出了这部电影。标题出来的时候，哥以为这是个温馨的情感剧。
    大学校园中讲台上一个声音上道：二战的最大胜利者是数学家，他们破译了日军密码，苏联妄图赤化全球……种种吸引人的对白。
    哥的脑子现在又被这个逻辑极差的电影搞晕了。
    强大的国家舆论宣传有时也让民众神经、误入歧途。像这位哥们，始终幻想着自己为五角大楼服务，始终带着自己的芯片和密件和他幻想出来的情报组织接头。
    无独有偶，本拉登被确定为恐怖大亨之后，一些美国公民妄图自带武器前往中亚缉拿他，然而枪支无法出境使得他们只好以宝剑同其决斗。
    感觉到世界媒体貌似正将面临一场危机",2,https://movie.douban.com/review/6164020/
A Beautiful Mind,说真的，看电影的过程中我就觉得导演在拍一部“符合群众心理诉求的”电影！虽然那个时候我还没有搜索约翰纳什的真实情况，看完电影后我认真做了一下真实情况的调查，果然和我对电影和真实生活本身的差异性的理解一致。不过说真的，我被普林斯顿大学的包容震撼到了！就我一个人觉得这部电影太假了么?。。。。。。。。。。。。。。。。。。。。。。。。。。。  。。。。。。。。。。。。。,2,https://movie.douban.com/review/10643553/
