title,comment,rating
Fight Club,"I assumed that this was going to be some sort of macho Rocky / Rambo type Hollywood film. I was pleasantly surprised when instead it turned out to be an unusual off-the-wall comedy with snappy dialogue, about an insomniac visiting self-help groups. And it was funny!

Gradually though it seemed to lose its way and morphed into something else. By scene 19 of 34 I was becoming increasingly bored. By the very end, the humour had gone and instead we seemed to have some sort of study into schizophrenia or whatever. Was it something to do with living the day? I don't know and I didn't really care. I was barely paying attention by then.

I can tell you it's seemed a long film at 2 hours 20 minutes and the sound quality is terrible.",1
Fight Club,"The most over rated actor (Brad Pitt) in the most over rated film. Mind numbing storyline and terrible over acting. Can't believe this has such a high rating. I usually like Edward Norton but this is blot on his catalogue of films. Ok, I'm not one for action films but this is below par even for that genre. My grandson likes action films but was bored stiff watching this. Please never make a Fight Club two or a remake of this, there is no point, it couldn't be done worse in any way. Do us a favour and don't insult the general public's intelligence by trying to convince us that this is a good film.",1
Fight Club,"This movie deliberately deceives you.

Like with a good fraudster there are many positive aspects: Immaculate acting and visuals, positive messages (e.g. there is enormous potential within your self - free it), good pacing, a nice story twist (which seems not to be based on any significant holes in the story line) and abundant food for thought.

All this pales against what appears to be the main and effectively only concern of the movie: Glorification of a Herrenmenschen-fascist-woman-hating-sadistic type of male homosexuality. There is still much to improve in our societies for gay people and this movie does respective efforts not any good (to say the least).

Most disturbingly one can observe this tendency in the female lead which is cast as a sex- and brainless rag-doll useful only for the release of sexual aggression (which she actually likes and deserves because she is ""a predator posing as a pet"" - a role model for women in general?).

The final scene does not imply anything else, because in the end it is Taylor who prevails - as can be inferred by his last splice-in.",1
Fight Club,"There is no arguing that Fight Club was an allegory to 9/11. The taliban wanted to prove to America that it's fascist, capitalist, socialist approach to consumerism that they would take down the buildings that were held in high regard to Americans. Tyler Durden and his schizophrenic friend Brad Pitt's character set off to destroy the capitalist America by taking down major banks through soap bombs. I don't want to go into more detail for fear that the government will take me away. You can look it up on google and read the in depth analysis by people who were taken away. The chick's tits were bomb, even though they were CGI. I liked the part where Brad Pitt's character spliced penises into the movie reel and the 12 year old girl was crying because it was bigger than her dad's. make sure to check where your soap was made.",1
Fight Club,"This concept is an intriguing and original one, and works really well. Then there is the script, it is absolutely superb, with dialogue that will make you both laugh and think. Fight Club is very well made, with elaborate.",1
Fight Club,"I thought that Edward Norton was sensational in American History X but I found him unconvincing in this film. I did not believe the actors, the plot or much of anything in this frequently violent film. If you get your kicks pounding the beejeezus out of somebody else you might love this film. The sub-plot that I got out of this movie was that young men should have lustful sex with other men just for the fun of it all and then they would be less inclined to run around pounding each other to a pulp. The film was way too long, the plot was simply not believable and the acting was really spotty. But then, what is an actor to do with such a bad script?",1
Fight Club,"It easily makes it into my Top 5 worst movies I've ever seen. The title is a complete deception, it is not about a fight club, but rather a criminal sect made up of pure brainless characters who will do whatever a charismatic individual tells them.

The characters are horrible and meaningless, if they were looking for a place to go out to fight, why did they agree to participate in a criminal/terrorist group?

None of the criminals told the protagonist that from one moment to the next he was acting differently, because if so the film would have made some sense, the characters do not act like real people.

The plot twist is the most ridiculous thing I have seen in the history of cinema and I do not recommend anyone waste their time with this film. Ignore the fact that it's a ""classic"", you'll thank me.",1
Fight Club,"Haven't seen a worse movie than this. Actually maybe I have, Memento, but I think this one is a bit worse. Awful plot, story non understandable. I dunno why I wasted my time.",1
Fight Club,"Ok, so right out of the gates this movie made me want to smash tender parts of my skinmeat flesh with cinder blocks.

This movie has a bunch of 20 something chuds trying to beat each other up cause they are bored. Anyone who knows anything about hoomans we are the most peaceful species ever and have never fought.

Also, not a single sighting of idris elba in this film, he's simply not in it. How can any Hollywood studio expect me to watch a movie film without the man, the myth, the legend sir idris elba himself on screen?

One our of ten would not fight in this club.",1
Fight Club,"The first 10 minutes made me think this was going to be a great movie, worthy of the high ratings given by those on IMDB. However, I can just barely see it's value as a unique story through the lame dialogue and ridiculous plot. It was too difficult of a film for me to enjoy. I stuck with it but, was thoroughly disappointed mid-way through the film.

Good performances but, other than that...certainly no where near my top 250 films.",1
