name,rating,time,comment
匡轶歌,2,2022-05-19 00:07:32,苍天大地啊。大山临盆，生个耗子。如果真有平行宇宙，就让女性的灵魂放过彼此吧，不必在千千万万个时空里，在生生世世里，都绑定做母女。变成石头的那天，就彻底解绑，分道扬镳好了。灵魂的连结，应该，也可以有无限种可能。从东亚母女这种畸形互害的关系模式里刑满释放吧，喊cut吧，叫停吧，“一切伤害控制只是为了爱”，是句建构了千百年的系统性谎言，绞杀了多少为人儿女的鲜活生命。坚持按自己心意生活的叛逆女儿，被妖魔化为大反派。母亲含辛茹苦，犹如西天取经的唐僧，万水千山走遍，踏上降服这只泼猴的苦旅，一路劈妖斩魔，尽管最终塑成金身，却仍执着要将猴儿镇在自己的五指山下听她念经，这份魔怔，居然总能假爱之名。爱不是问题，把不是爱的东西美化成爱才是问题。花哨外壳包装保守价值，连古典神话哪吒削肉还母剔骨还父都比它朋克。
霸王吃🍵3050岚,2,2022-03-27 17:35:30,这么多花活大可不必。
印子,1,2022-03-28 11:32:26,【3.5】我宣布以后看见所有美国华裔拍的亚裔题材影片我都得绕着走。真的完美踩中我的每一个雷区。有好的想法，但完全不懂节制，各种小聪明小幽默毫无节制一而再再而三地滥用，一个梗能给你反复玩十几二十次；再加上这片梗的密度本来就大，所以最后出来的结果就像是每隔两分钟就强迫你灌下一碗加入了世界上所有的调料的白开水，喝到你吐…再加上陈词滥调到令人翻白眼的揉杂美式价值观ABC式家庭戏码和令人眼花缭乱的糟糕美术，我真的…全程如坐针毡直想喊救命🆘欣赏不来，非常不🉑️
陀螺凡达可,2,2022-05-18 22:12:45,看得脑壳疼。翻了下两位导演前作，瑞士军刀男也打的两颗星哈哈哈，跟当时的问题一模一样，空有一个脑洞创意，拍法是近乎于广告式的天花乱坠，一堆乱七八糟的酷炫往你脸上砸。
二〇〇〇,2,2022-03-27 07:35:08,很长，用如坐针毡形容不为过，除了杨紫琼以外的所有角色毫无演技可言，情节乱七八糟，美式鸡汤虽迟但到，带着脑子进场结果人都不给你任何思考余地的，躺着被灌输就行了。这就是电影的未来吗？
我和我的小毛衣,1,2022-05-19 15:58:05,超级无敌难看，混乱，堆叠各种简单的造型人物设计，漫长，无聊又恶趣味的胡闹打斗。浅白的道理在后半段讲个不停，发泄这种虚无会让你得到一种认同跟满足感吗？然后又用爱跟生活去化解一切。家庭故事讲不好，老一辈思想开化讲不好，整两个多小时穿插一堆垃圾说这点家庭破事，女同性恋家庭认同，颜色饱和度高而且光线控制的极差，故意再加一层黑不溜秋的颜色快把我看瞎了，这俩导演以前是拍广告的吧？真正让我绝望的不是这个世界的虚无跟无意义，而是这个世界上充斥着一堆又一堆这样的shi很多人还吃的很香，这让我很绝望。
小老虎,2,2022-05-18 22:51:05,两个小时的视听煎熬，毒瘾致幻般花里胡哨，地铁老人样莫名其妙，喜看豆瓣大师们津津乐道
candycandy,1,2022-04-09 05:38:59,烂。两小时如坐针毡。一颗星都不想给
月亮也像,2,2022-05-19 15:18:49,挺恶心的片儿，太苍白了，无法想象大家是怎么共情的。那两块石头连bgm都没有的片段是全片最佳，因为安静。
涤纶,1,2022-05-11 10:35:29,生命无法承受之难看
