title,comment,rating
The Martian,"After watching and reading the story and reviews, i wouldn't watch this if you paid me.",1
The Martian,BORING AS FUQ. Sorry you review is too short. The actors Guild is a joke.,1
The Martian,"Was there anything new here? I didn't see it.

Ridiculous. Formulaic. Brainwashing.

Don't waste your time.

It's a bad movie.

A very bad movie.

Yes, it's a bad movie.",1
The Martian,"The idea of an astronaut marooned on a planet awaiting the slim chance of rescue offers the potential for a psychological thriller, but this isn't that film.

This film offers one long Disney-style yarn. So much is absolutely cringeworthy without a hint of self-awareness, humour or irony.

Somehow our Robinson Crusoe manages to grow potatoes without nitrogen fixation and survives on spuds until the famous five and lassie arrive.

The script is awful. For example, quotes: "" I'm going to have to science the **** out of this""; ""here are some gimmes right off the bat""; ""Come on guys, keep it together, work the problem"".",1
The Martian,"Was this really a Ridley Scott ? The one of Alien etc....one would doubt this to the full.

I have a ton of SF movies and this one is most certainly in my top 10 of worst SF ever.

There is nothing wrong with the idea of the story , but the execution of it is really bad.

Lets begin with the start of the movie . Within less than 5min something bad happens . I was thinkin watching a Star Trek movie because they always screw it up with the start . You don't get the time to be introduced by the characters at all.

Then there is the acting. Jeff Daniels: bad ,Chiwetel Ejiofor : bad , even Sean Bean is bad . It is as if no rehearsals at all were done . Ok boys lets do it in one or two takes .

The editing is sometimes bad .

The cheezy scenes of people watching the show is bad.

Nasa is totally a farce in terms on how it is projected. Especially the scenes where Daniels is giving his speeches or the meetings.

The crew of the Ares III only has young people : also not likely at all.

A young astrodynamicist is able to come up with an idea as old as the universe and NASA can't ?. Who wrote this stupid script ?

And the movie is very predictable.

The music does not fit . It is as if someone had this idea : "" Oh lets do it like Guardians of the Galaxy and put in some pop-songs "" . The difference however is that GOTG is a funny/sarcastic/action movie whereas The Martian is supposed to be serious.

Matt Damon : has some good moments , but those are preserved for the last half of the movie and then they are already not that great at all.

So anything good in this vehicle ? Yes : the photography and camerawork.

But that is about it.

Bad , really bad.",1
The Martian,"I read the book and also listened to the audiobook several times now. The charm of the story for me is, that it heavily emphasizes the Science in Sci-Fi. The whole thing is (mostly) sound and very well explained, so even technical illiterate readers can follow. For this movie someone decide to dumb down the content and take shortcuts and - surprise - mistakes, failures and plot holes ensue and some things simply make no sense anymore (just look at the goofs list - you could make a book out of them). Then again some scenes were unnecessarily added to confuse even further to make up for plot twists that were cut. This messy screenplay can't be saved by the cast. Most of the characters are but a faint shadow of their book selves. Take crewman Vogel for example. Would anybody have guessed him to be German, if it wasn't for the patch on his suit? Jeff Daniels seems to wear a stiff neck and all the characters interactions feel like packed in cotton. Those guys should be passionate and fight for their opinions especially since the lives of astronauts are on the line and depend on their decisions. They are highly trained specialists in their field of work and have to fight against political red tape. Non of this was in the movie. They could have had a more passionate discussion about a burgers or football. And don't even get me started on the props. Think about airplane furniture and then shave that down even more to get rid of any unnecessary gram, while barely preserving basic function. Where was that in the movie? The Hub looked like it was built to house colonists for decades and not to serve as a pressurized shelter for a two month mission. The movie-Hermes consists mostly of large corridors without any purpose and large window panes. A spaceship like this would never be approved. I could go on forever, but it all boils down to this: Andy Weir went to great length to make the plot and every action the protagonist take plausible and get his book scientifically correct. That's what I love about it and why I was looking forward to the movie. And then I got handed this stupid, dumbed down, senseless piece of trash.",1
The Martian,"Astronaut/botanist Mark Watney gets stranded on Mars and has to survive until he's rescued.

A simple premise that's very akin to other survival films like, Castaway, Apollo 13, or Passengers.

Both Castaway and Passengers touch on the effects of prolonged isolation on a human being. The Martian throws out a clear way to humanize your character in favor of Matt Damon monologuing about how good he is at science via webcam to the audience. Making commentary on the musical preferences of his absent crew mates, and posing like Fonzie in front of a camera.

The dude never feels alone, and shows only two instances of badly acted crying that are then immediately steam rolled over with more bad jokes and banter.

Apollo 13 has NASA scientists brain storming how to get the crew home using actual jargon that a lot of times goes over the viewers head because they're not scientists.

The Martian has Vincent Kapoor drawing on a cafeteria map with a sharpy marker, while Beth Johassen utters the line, ""I'd have to jump over the code."" and Donald Glover talks to NASA experts like toddlers using a pen and a stapler!

The biggest problem with this film is the non-stop banter/quip humor. It is constant, obnoxious and unfunny.

Have you ever been to a business town hall meeting or ceremony? Some higher up comes up to the podium and makes a dumb joke or two during their speech. They're always terrible but everyone laughs to be polite. Now imagine if he did that every other sentence. 60% of this god awful movie is that exact type of humor.

""I am gonna have to science the heck out of this.""

""Mars will come to fear my botany powers""

""Sorry we left you behind Mark but we really just didn't like you.""

""I should have left this guy on Mars.""

HA.....HA ..... HA.",1
The Martian,"I don't like this movie because its NASA propaganda is hard stuff in this film! Its brainwash and stupid people believe that crap... this movie is overrated! they tell you they are broadcasting their missions live on TV...lol, they brainwash you in this movie you have to think, that Nasa only have 5 minutes left to tell the public the truth-..lol Nasa is the biggest liar on earth! when you asking me! OK guys now watch this movie but be sure its all BS. its manipulation of your minds! its a commercial video of Freemason NASA fake factory not even worth to watch!I don't know why this film is overrated like that? may be there are many trolls or bought votes!?",1
The Martian,"My brief take on it :

The story line was great, and the science too.

The average : Matt Damon - he wasn't the right guy for the role. He just didn't portray the panic or the desperation one would expect from a human who is fighting for survival. He was just tooo happy. The visuals could have been better. The director had the Mars landscape, night sky at his disposal, but failed to exploit it.

The bad : The screenplay failed to capture the books brilliant portrayal of science and the tension it created in its reader. Matt Damon would literally spell out what the next 10 minutes of scenes would be , this happened every 15 minutes. Thus taking out the element of surprise. A good movie keeps the viewer guessing and feeds information slowly in bits and pieces, leaving the audience to solve the mystery. This was too predictable. The sound editing wasn't great either.

I would put this in the league of movies like - Day after tomorrow, 2012..

I'm a big Ridley Scott fan, that's why this was a big disappointment.

If you haven't watched the movie, get the book first. If you Still watch it after reading this, then at least you won't feel that bad as your expectations will be low. You might just be amazed after all.",1
The Martian,"This film lacked tension and any strong interaction between the characters - such as they were. Quite soon into watching I felt that it was being strangled by political correctness. It is bland; it is beige; it is, quite simply, not compelling. Towards the end I completely lost interest in it, so little did I care about the outcome.",1
