title,comment,rating
The Truman Show,"I think what this movie is trying to say is that no matter what we are doing in life, sometimes we feel like we have no control over the situation/surrounding in which we are brought up in/accustomed to.

Which is fine, but, I think actually living your life instead of being told how it is, or having people hold you back from finding out what you purpose is is a lot more palpable, and more rewarding than watching Hollywood try to explain it.

Hollywood doesn't have the best track record of being accurate about this type of subject.

Which I think ultimately hender's this film's stronger moments.

I still have a hard time recommending this film to most people.

It's kind of a downer, and to me, just shows how most Hollywood film's try brush this subject under the rug.

It feels controlled, and not aloud to go more in depth about the topics they try to convey.

One aspect I do like is that sometimes it feels like the people around you are trying to hold you back, and you just want to escape the repetition and monotony of everyday life, and just go on vacation.

Which is pretty relatable for most people.

I just would rather go on vacation then watch this film again.

Just my opinion.

(D)",1
The Truman Show,"0/10

In simple terms, if you understand this story it is not a beautiful story or anything good at all. It is a very evil justification of hurting an innocent man without his consent for his entire life and making him believe what is delusional is true. Shame on you. The moral of this story is you should watch this again and understand that what happened to Truman was no good, evil and reprehensible to the sensibilities of all human beings concerning their human rights.

SPOILER

When Truman learns and escapes, it was only because of his willpower that he realized he was being severely abused for doing nothing wrong and everything that happened to him was very, very evil. This is not a comedic tragedy, this is horror movie that is truly a tragedy if you think it was okay for Truman to go through any of the things that were imposed on him. Watch this movie once and learn the true lesson about the sanctity of human rights. Shameful. Zero.",1
The Truman Show,"One of the most traumatizing movies ever as a kid. I was so scared to get older or something and end up being on like the Truman Show. Everyone always watching me it turns out is such a traumatizing concept.

They shouldn't have tried to or successfully escaped the edge of the ocean at the end, I forgot. It's too unrealistic and disturbing.

The interesting part is I wonder what made the writers come up with the idea before the major break in reality TV shows.",1
The Truman Show,"Jim Carrey plays Truman Burbank, a man who's life has been watched by the public ever since he was born. His wife and friends are all actors. His home is a studio. Cameras follow him around everywhere. All that and more, so everyone can watch 'his' show The Truman Show. The only thing is, Truman thinks he's an ordinary guy and he doesn't know anything about this. Until one day, he finds out the truth about his so-called life.

I really wanted to like The Truman Show but I just didn't. I mean, yeah the idea for the movie is good and even though I'm not really a Jim Carrey fan, I guess he gives quite a believable performance here. Let's just say EDTV, another movie about a man being watched is much better than this.",1
The Truman Show,"Is the American audience so ignorant that they can truly believe that such a poorly directed movie, which is nothing more than an interesting bit of coffee table philosophy could be a revolutionary cinematic concept?

Jim Carrey should stick to low brow facial acting, and leave the real acting to real actors. Though his comedic performance was the most entertaining aspect of the 2hours I wasted on this movie, it did not make the grade. This was nothing but a thinly veiled concept movie with a big name actor to railroad it into ""the hearts of Americans"". If you want to see a movie which has depth, in which all the elements of cinematic excellence come together to form a cohesive film try something like: Brazil or reading 1984 ( that was a bad movie). Try to find a movie without the ""feel good"" American perspective, where the director is afraid to alienate the ignorant..",1
The Truman Show,This film had a good premise but it failed miserably to develop it. The characters were all over the place.Jim Carrey's acting was the only redeeming feature. The ending was particularly bad with people who lived for Truman cheering his escape though it means they will have nothing to do.,1
The Truman Show,"The tragedy that people consider this film reaches some philosophical nirvana accompanied with a deep meaningful message adds to the contempt I already have for this excrement.

A child's mind could only deliver an idea like this, maybe plagiarising a Twilight Zone episode. The technically superior camera work and uncluttered cartoon like sets only allow the viewer sharp focus on the banality of this story. I will not go into detail as others have, I just add my 1/10 to the mix.

Some of us are not fans of Jim Carey either, and his addition to any movie relegates it to doom anyhow. I knew it would be a bad idea to watch this, but I went along, accompanied by a nagging suspicion, with the high score and praise.

More proof that either the majority are stupid or I am a loony.

We did go to the moon.",1
The Truman Show,All I heard was how original this movie was. Original? Try a rip off of an old Twlight Zone episode. The characters had no pathos. It boggles my mind. Why do people love this movie? It's not worth the price of the film it was printed on.,1
The Truman Show,"I disliked the movie it wasn't an interesting movie i found it boring even though Jim Carrey played the part well the movie was boring.

The main characters are Truman Burbank(Jim Carrey),Meryl Burbank(Laura Linely),Marlon(Noah Emmeron),Trumans father(Brian Delate),Trumans mother(Holland Taylor),Young Truman(Blair Slater).

I think the director was trying to get the idea across that you have to adventure to find out things about your self.I think that the film has its funny moments but it is hard to put in a genre because it was a weird movie unlike nearly all of Jim Carreys other movies like The Mask and fun with Dick and Jane.",1
The Truman Show,"When this film came out I was really excited to see it because people were calling it the greatest film of all time, etc.,etc. Yet when I went to see it, I was probably the most depressed person. I swear, that was the worst movie of the year, not the best, as people were saying. If you are a BIG film like I am, do not go see this awful piece of garbage.",1
