title,comment,rating
Coco,"Miguel's family is full of cowards and abusers. They assault strangers and try to control everything everybody does in the family. Miguel is the only one to stand up to them and he's considered in the wrong. It's not like he wants to do drugs or hurt people. He wants to play music, something every culture in world has. So what does his grandmother do? Destroys a thing he values (clear abuser move). He great great grandmother withholds the blessing that would prevent him from returning to the land of the living to stop him from playing music and the other dead family has the gall to ask HIM to be reasonable. Then GGGM is worried he'll get himself killed when he runs away. Oh, if you're worried about that maybe don't make his being alive conditional at all. All this comes to a boiling point when Miguel is finally emotionally beaten into submission and says family is more important. This is an abusive parent's wet dream of a movie to show their abused child. Add in an obvious twist one would have to be brain dead to miss and you have Coco. Such a beautiful aesthetic to waste on one of the worst lessons ever for children.",1
Coco,"Big disappointment. The movie should of been called, the Rivera family. I can't belive that they made a Mexican legend into the villain. There is more I want to say. I'm just going to let it go. As a Hispanic, this movie was a Big disappointment.",1
Coco,"The CGI in this movie is great . But the story line was pointless and nothing to do with Coco. It was more about the family Rivera. It's should of been called, ""Miguel"" or the "" the Rivera's"".",1
Coco,"As an avid fan of Pixar films, I was eagerly anticipating ""Coco,"" but unfortunately, it failed to meet even the lowest of expectations. From the contrived plot to the lackluster character development, this movie left me utterly underwhelmed.

First and foremost, the storyline felt cliché and predictable, lacking any originality or depth. It seemed as though the writers took a generic template and slapped on a few cultural elements to make it appear fresh. The supposed twists were easily foreseeable, leaving little room for genuine surprise or engagement.

Moreover, the characters were painfully one-dimensional, failing to evoke any real emotion or connection. Miguel, the protagonist, was bland and unrelatable, making it difficult to invest in his journey. Even the side characters lacked substance, serving as mere props to propel the lackluster plot forward.

Additionally, while the animation was visually stunning, it couldn't compensate for the glaring flaws in storytelling. Stunning visuals alone cannot salvage a film devoid of heart and soul.

In conclusion, ""Coco"" is an overhyped disappointment that falls short of Pixar's usual standard of excellence. Save yourself the disappointment and skip this forgettable film. I give it a generous 1 out of 10 stars.",1
Coco,"Coco is a Pixar film that has been widely praised for its vibrant depiction of Mexican culture and its heartfelt exploration of themes like family and remembrance. The story follows a young boy named Miguel who, on the Day of the Dead, finds himself transported to the Land of the Dead, where he embarks on a journey to discover his family's history.

While the film's visuals are stunning and the cultural representation is commendable, Coco didn't quite connect with me. The story, though touching, felt too predictable and sentimental for my liking. The musical elements, which many find uplifting, didn't resonate with me as strongly as they might with others, and I found myself not fully engaged with the characters or the narrative.

Coco is a film that has clearly struck a chord with many viewers, but it's not one that I would choose to watch again. I give it a 2/10 for its artistic merits, but the story just wasn't something I enjoyed.",2
Coco,"While Spirited Away is awesome, Coco just bored me lots. I accidentally wound up nearly watching this film when I was going to see Early Man, a film I actually like, so I was spared of this yawnfest. I can barely remember the film, except that the plot was the same as Spirited Away and that it involved the Day of the Dead. I don't mean to give Pixar harsh criticism (their animation is some of the best in the world) but I found this sooo dull.",2
Coco,"Please be warned my review must contain a major spoiler, as the main reason I was so saddened by ""Coco,"" when I went to the theater hoping for joyous laughs and a truly touching (and musical) celebration of Día de los Muertos (the impression I got from trailers, clips, and reviews I'd read prior to my seeing the film) is a critical plot point. Instead of joy, laughter, and earned tears I felt the filmmakers were far too calculated in their usage of an elderly woman's dementia and her slow decline toward death, so the supposedly ""uplifting"" ending instead came off as cruel and even heartless in manipulating the audience to tears (and likely tapping into very sad memories of relatives and friends who have passed from dementia and Alzheimer's). I also found the first third of the film almost completely unengaging, which truly surprised me, as Pixar is usually so careful with story and characters. This felt like a film that was coldly calculated to drain tear ducts rather than earning those tears from joyous creation and real caring for the characters onscreen. I hope I'm wrong about the filmmakers' intentions, but I came out of the theater thoroughly depressed and feeling, well, horribly manipulated. Dementia and Alzheimer's are incredibly cruel diseases, and their reality is very different than how it is portrayed at the end of ""Coco."" Either the filmmakers and scriptwriters have never actually closely experienced someone they loved being taken by these diseases or they are as heartless as it comes in using the gravity of these diseases as an easy way to make audiences cry. To those who loved the film and felt it earned its emotion: Of course I hope we will see our relatives and friends who have been diminished by memory diseases fully restored in the afterlife, but here it struck me as a cheap, quick, and easy shortcut trick of manipulation: The ""triumph"" of the final afterlife scene was either unintentionally cruel or coldly cruel, depending on the filmmakers' personal reasons for including same in the film. Be warned that if you have closely watched a loved one deteriorate and struggle with the fear and horror of losing their memory and faculties you, too, may find yourself angry at film's end, instead of joyous and uplifted. The only reason I gave this film two stars is that the animation is undeniably beautiful, and some of the songs tuneful and engaging--but that was it for me for any bit of enjoyment of the film.",2
Coco,"When i first heard about this movie, i thought how great it was to see an animated movie about mexican culture. The story however is so morbid, negative and depressing all the way til the end that the upside came up too late and short.. I dont want to spoil anything but while the look/feel of animation is amazing, this has to be arguably the worst animated story i have ever seen.",2
Coco,"Don't believe all the hype re this film. Good colorful detailed animation at times but the majority of this film occurs in the Mexican cultural ""after world"" with no plot. This causes no emotional climax at the end of this long drawn out film.

The plot is about a frustrated sad Mexican boy who overcomes his parents challenges by visiting his ancestors in a special annual night. In Mexican ""afterlife"" world, he meets too many ancestors relevant only to him, & they repeat the same cliche message.

The plot is stagnant during this very lengthy time & the animation sadly becomes dull & repetitive. The ancestors are introduced as characters only to waste time, worse they're interesting only to the boy, NOT viewers. Some scenes are inappropriate for very young kids scared of skeletons.

It's hard not to get sleepy due to the dull plot, repeating message & length of film. The ending leaves viewers detached from its mediocre start. One is glad it's over but dissatisfied of wasting both money & hours of time on another hyped studio awarded film with cliche story that's been told better in countless previous films.",3
Coco,This movie it's just Up with Skeletons. Everything is predictable and there are too many useless scenes.,3
