title,comment,rating
Green Book,"Pretty images. Smooth camera. Smooth music. All decoration on a typical hollywood sad & angry movie. All characters sit numb, complaining, and when they're not doing that they're making something up to be angry about and no one is trying to de-escalate because then there's no action at all in the movie, so now is it not only sad & angry, it's cowardly.",1
Green Book,"It wone an oscar...hell no...to boring,to pretentious,expecting a master piece,getting a shallow script,acting,directing,lack of drama,lack of fire within and so on..Typical hollywood these days (for past 20 years),giving 'fast food junk' and political mainstream issues is a guaranteed recipe for an Oscar.. What an illusion...",1
Green Book,It's so racist towards white people i can't belive no one talks about it. If it was other way around would be all over media . America is degrading and people afraid to say something not to come out racist.,1
Green Book,"I guess that this made it to the Academy Awards for saying something that has been said a thousand times before. But because it was made in 2018 and everyone below 30 and everyone in Hollywood pretends that cinema didn't exist until 2016 it had high praise.

The acting is not bad, but for a movie set in the South, it could have used to actually show some of the beauty of the region they were driving through. Independent films have done a better job than this.

But, because of the message, because of the statement we have heard a thousand times before, I guess you are supposed to love this and treat it like it's new.

It's not, the 70s and 80s had a lot of movies like this and they carried over into the 90s.",1
Green Book,"This is one of the blandest and most simplistic depictions of racism I've ever seen in a movie since 2006's trash film Crash.

The only part of this movie that passes as okay is some of the acting. But even then I never bought Viggo Mortensen or Mashallah Ali's characters. They tried with what they had, but they had poor direction.

There's a distinct lack of grit and cursing in this film about traveling through the south with a black man and that really bugged me.

Also for some reason this film is shot like a comedy while tackling a very serious subject, it's a very odd clash... oh my god the worst thing about this movie (besides the simplified story/cartoonishly simplistic view of racism) is the ""comedy"". I never laughed once at any of the jokes, but I did laugh at Viggo's hilariously stereotypical Italian accent, It's like watching Mario audition for Glory.

Also the musical score.for the film is pretty bad and bland, it's mostly violin music played to ""enhance emotion"" moments. It all feels so manipulative.

Anyhoo, I feel old white people will like this movie, but younger audiences will see through this phoney film and be mostly bored.",1
Green Book,"The whole point of this ""woke"" waste of time is to somehow put together a story where the white guy is an uneducated, racist thug, whereas the black guy is a cultivated, intelligent musician... Take those legos and make a space shuttle out of that. It's bad, all around. Badly acted, badly scripted, full of cliches and veeery slow. Scenes are set up over and over again to make us understand how racist this one is, and how cultivated the other is. Oooook, thanks ! We get it ! Mortensen would probably give a better performanse as an amoeba than an Italian tough guy. And by the way, Italians are represented here as a Saturday Night Live version of the Sopranos... but really not funny. For a ""woke"" movie, they'll certainly offend the Italians. Do not watch this movie.",1
Green Book,"I knew this would win the awards. People these days seem to want to produce and watch movies that help us to focus on the division in this country. I'm not sure what showing movies like this hopes to accomplish. I feel that everything is trying to get us to hate each other. I think it would be like showing the native Americans movies about the thing we did to them, the atrocities we committed. I know we need to keep from making mistakes again in the future, maybe that's what this is about. I would love to challenge Hollywood to make some movies that try to accomplish a sense of unity in this nation. I would love to see that. Somehow stop trying to divide us by race, religion or sexuality. Maybe stop us from focusing on what we don't have in common, and focus on what we do have in common. Just my thoughts. I thought the movie was slow, and not realistic in it's portrayal of the south. Not inaccurate, just didn't seem realistic. I don't feel the writers and directors have lived in the south for any amount of time.",1
Green Book,White-washed view of what this would've really been like with two stereotypes as the primary roles.,1
Green Book,"Italian stereotypes, black stereotypes, deep South stereotypes, ""cultivated"" people stereotypes. They intended this movie for people who can't think without prejudices.",1
Green Book,"I loved this film. However the movie claims to be ""based on a true story"". The problems are so serious that I had to rate it 1 star.

Don Shirley was not a homosexual. And the living family of Don Shirley were not consulted in the making and writing of this film.

If the film was not based on Don Shirley's life, then it would have deserved a higher rating.

This is very deceptive and they have no shame in their molesting the public by using LGBT to get people in the box office and to pushing false narratives that only hurt young people not wise enough to know what is real and what isn't.

Please read the comments from the family of Don Shirley who also slammed this film.

Truth is essential in all things.

The left doesn't care about Truth, they care about changing the culture.",1
Green Book,"In real life, I especially hate those opportunistic things - just like the production intention of this movie. So no matter how much (in some respects) it is praised, I will not give it - and such things - any good evaluation.",2
Green Book,Overall ok movie. Though so predictable. Fits narrative of 2019.,2
Green Book,"Slow ponderous cliche of a film..

I thought mortesen who is one of my favorite actors of all time, totally miscast.. His accent was from no Italian Bronx nieghbourhood..

He looked like he trying to act Italian not be Italian..

The family was again a cliche of actors from central casting

Ultimately for such an important message in a passage of history it was boring and utterly predictable",2
Green Book,"I watched this movie on a flight, the airline was quick to update the movie selection with the latest Oscar hits. I started watching with low expectations after reading poor reviews about it after the Oscar win. But it was worse than what low expectations I had. It was dull drab and boring, not remotely funny, couldn't get past the first 15 minutes to get to the message if there was one. Highly missable.",2
Green Book,"What is perhaps the most telling exchange in this ode to some mystical, post-racial looking back, boy to man story is that of the Kentucky fried chicken dialogue. When Tony consternates that he is ""more black"" than Don Shirley simply because he eats fried chicken and listens to Aretha Franklin, one can only pause at the absurdity of such an utterance from a presumed first generation Italian American to a African American man presumedly steeped in the 1950s Black Liberation movement. One would have expected Mr. Shirley to take a bat to the back of Tony's head with such a disparaged and, most certainly, historically inaccurate, depiction of American society pre-Civil Rights legislation, Pre-Voting Rights legislation, and at the cusp of a radical consciousness of Black identity still forming its sensibilities for the late-20th C. Placed in the context of American Southern apartheid, with a heap of hand waving by their Northern white countrymen, to suggest a white man of any ethnicity would gladly identify as more black than a African American man in the midst of one of the violent and consequential turning points in American history is not only ludicrous but offensive. The very script contradicts itself when later Tony assaults a police man in Alabama who assailed him with an epithet that for Mr. Shirley was par for the course. If this film is allegory of where we were a half century ago and all we have to look forward to now that we have freed ourselves from America's original sin, one can only contemplate how poorly we understand our own history and our inability to reckon with the utter failure of spirit that is American racism.",2
Green Book,"It is almost as stereotypical of a film as Crash. This was made for one reason, to appease. Film and TV are extremely competitive nowadays so we have relentless pandering to every little discrepancy and art has suffered in lieu of profit.Music is dead and so is film now. At least in America",2
Green Book,What would happen if Oprah Winfrey made Intouchables.,2
Green Book,"This is a simple movie for simple minds. Its premise is a hackneyed plot device served up in cartoonish bite sized bits. The premise: A sophisticated man and a thug are thrown together by fate, and ultimately both learn from and are enriched by this relationship. And when you make one black and one white, and set it in the racist 1960's, the stage is set for the director to make a grandiose statement regarding race. On a sophomoric level, if only we took the time to know each other better we'd all get along better. But more insidiously - and the message Academy Awards voters responded to - that horrible, racial injustice is a thing of the past, and we can now all pat ourselves on the back with how much better things have become. The problem is, for 2018 when the film was made, and for 2020 when the film is viewed, this saccharine re-writing of current history doesn't wash. Sorry 2018 Academy Awards voters, racism isn't something relegated to the past, from those bad old 60's, and Americans have no reason to pat themselves on the back with how much racial justice has improved since then. Given current events (2020), the movie's message seems even more unreal - and insipid - than when originally released. The movie is a cartoon both in character development and in events. In an establishing scene the white character throws away some glasses simply because they were drunk from by black men. Yet moments later he is taking a job to work, drive and eat with a black man for an 8 week gig. In another preposterous scene, the black man is feted in a wealthy man's mansion, in fact he is the guest of honour, yet moments later he is forbidden from using the rest room and directed to an out-house visible from the window. As if. The movie is a slog to sit through and scenes constructed to be hilarious - like eating fried chicken in the car - are inevitably excruciating to watch. There is little pay off for spending two hours of time watching this whitewash of a movie.",2
Green Book,"I Have To Say Green Book is Truly One Of The Most And Best Comedy/Drama Movies Of 2018. Based On a True Story Of An Working-Classic italian- American Bouncer Name Frank ""Tony Lip"" Vallerlonga Who One Day Gets The Opportunity Of a Lifetime Simple is Job is To Be a Driver To Drive An Classical Painist Name Dr. Donald Shirley On a Tour Throughout The Deep South And Along The Way Both Men Descover And Witnesses All Of The Racist And Racism That Still Was Going On Back in 1962 Where Black Africa Americans Were Not Allowed To Use The Bathrooms in The White Color Folk Houses Only They Use a Outside Bathrooms While They Cannot Come into Bars Or Even Share a The Shame Bathroom Or Showers With An White Guy And Some Slavery Was Still Going On During That Time in Some Parts in Medwest Deep South Also These Two Different Guys Share a Common Bonding Relationship As They Share Their Feelings With Each Other And Learn To Respect Each Other As Well And Along The Way Tony Lip And Donald Shirley Get Themselves into Trouble By The Mean Racist Cops As They Pull Over The Car On The Side Of The Road For Driving in The Wrong Part Road Of The State Thar They Are Coming From And Also Running into Loco Racist Gangs including Bar Owners And Restaurant Waiters. This Film Green Book is Directed By Peter Farrelly One Of The Brother Duos Who Done The 90s Comedy Cult Classic ""Dumb And Dumber"" With Jim Carrey And Jeff Daniels And ""There's Something About Mary"" With Cameron Diaz, Matt Dillon And Ben Stiller. Viggo Mortensen Delivers One Of His Best Performance Roles Of His Career And Mahershla Ali Also Delivers One Of His Truly And Finest Performance in Excellent Comedy/Dramatic Film From Excutive Producer Octvia Spencer ""Green Book"" is One Terrific Film About Two Guys That Share incedible Journey And The Adventure Of a Lifetime That They Embark On.",3
Green Book,"It could have done with more grit in places, really do appreciate that it was trying not to be heavy-handed or trying to offend with a quite heavy theme but they could have done more with it and given a little more depth to what there was. Not saying it wasn't there, quite the contrary, just wish there was more.",3
Green Book,Nothing special. I didn't like it at all. Very boring movie.,3
Green Book,"8.2!! Do NOT fall for this rating. I have never seen so many cliches and overacted/overdramatized scenes crammed into a movie in my life. It has the slick and polished production, but that can't overcome the steady stream of nonsense this movie dribbles forth. Sadly, these are the types of movies Viggo always seems to stumble upon, and honestly I don't think he possesses the talent to tackle anything of real substance. This movie had very strong subject matter but the handling and production was 2nd rate at best. The best thing here is the music and the cars of that era. Skip it. There's way better movies on racial tensions out there that aren't a laughable mess. Mississippi Burning. A Time To Kill. Avoid this stinker.",3
Green Book,"I get the point. American guilt about its attitude to race. It has a message but too what end? The USA is still deeply divided. What is the story trying to say? It was bad then but now things are SO much better? Nope. 2 guys, a cultured lonely black gay guy driven by the cartoon character Italian dumbo on a long 'journey' to enlightenment, with an 'in time for Christmas' ending. Nothing adequately explored, nothing new to say. It is a lovely story based on true events, lovely photography, good acting. I'm just left not feeling much about either character. It's all been done before only better.",3
Green Book,"They keep trying to redempt the white guy the whole movie. Also funny how a Nick Vallelonga's tweet came up supporting Trump and Muslims banishment, even though the star of his movie is Mahershala, a Muslim. By the way, Mahershala is one of the few good things about the movie.",3
Green Book,"The green book tells a story about an upper-class black male who never eats KFC and wears fancy cloth all the time and a typical working-class Italian-American(usually if not always tall, brave, humorous, have a pretty wife and two lovely kids though a little bit racism) become to appreciate each other during the trip. Althougth i didn't see the movie through my guess is the Italian-American become a perfect man(tall, brave, humorous, have a pretty wife and two lovely kids and now unprejudiced).",3
Green Book,"Directed by Peter Farrelly. Starring Viggo Mortensen, Mahershala Ali, Linda Cardinelli, Joe Cortese, Dimiter D. Marinov, Sebastian Maniscalco, Tom Virtue, Brian Stepanek, Iqbal Theba, P.J. Byrne, Maggie Nixon. (PG-13)

Tony ""Lip"" Vallelonga (Mortensen), loving husband and father, wise-guy-adjacent tough guy, and casual racist, is selected to drive acclaimed black pianist Don Shirley (Ali) on an eight-week road trip through the Deep South; no need for the audience to bring the rose-colored shades since all cameras used to shoot this picture apparently had that filter on preset. Old-fashioned to the point of insult, the majority of the running time is spent in the company of both men, who ""learn"" from each other and ""bond"" as a result (at least they both know how to eat fried chicken by the end), although their camaraderie rarely exceeds the level of a second-rate buddy movie. It's a trial to watch good actors like Mortensen and Ali try to breathe life into one of the hokiest and most obvious screenplays for a major motion picture in several years; granted, it doesn't help that Mortensen chooses to play it too broad (the crass Italian-American stereotyping feels pulled less from reality than from sketch comedy). Ali fares a little better, but his tightly-wound but injured stoicism does not profit from the producers' decision to rarely let Shirley be onscreen without Vallelonga, depriving us of critical reactions and emotions that aren't surface-deep and observed through another character's eyes. (There's even a brief episode where it's revealed that Shirley is gay, but Vallelonga barely seems interested and the movie never brings it up again.) Focusing almost entirely on the white character wouldn't have been so problematic if Vallelonga actually showed growth and regret and changed for the better, but he's pretty much the same person he was at the beginning, just willing to accept this specific black man as slightly-more-friend-than-employer. Designed and packaged as crowd-pleasing fare, and the con seemed to work when it nabbed a Best Picture Oscar, but this is little more than a clumsy reversal of ""Driving Miss Daisy,"" another inexplicable populist victor that feels a little embarrassing in retrospect.

32/100",3
Green Book,"White guy acts racist to black guy. Black guy's white driver steps in to save the day. Repeat.

White driver acts ignorant about everything. Black guy corrects white guy or acts offended by him. Repeat.

White driver and black guy get closer. Repeat.

These are the three types of scenes in the movie. What's the point of the movie? It's not a feel good movie. It's depressing.

Dr. Shirley puts up with Tony. I didn't see them as friends at all. So, I didn't get that criticism of the movie in terms of historical accuracy.

However, making Tony the main character was not very good. He is not a very redeemable character. Nor does Tony ever seek redemption.",3
Green Book,"Are our films so bad now that this piece of cr-p is considered one of the best movies of 2018? The film is rife with stereotypes of every kind. The scenes are so predictable. I knew what was going to happen next in every scene. And the dialog is written in 2018 vernacular (e.g., no one said ""travelling while black"" in 1962). This movie was so boring that I turned it off after 90 minutes. Don't waste your time.",3
Green Book,"This has to be one of the most driest, stalest scripts I have ever seen put on screen. Saying that this film is underwhelming is an understatement. The story is incredibly dull, and redundant, the acting was really pale, The filmmaking aspects were nonexistent and/or unspecial. All of these elements combing to make the most dullest, watered down films of the 2010s let alone 2018. The fact this won best picture was astounding, but this being an incredibly boring, insignificant film about racism its not too surprising the academy would pick this as the most ""important film of 2018"".

I doubt this film will ever be talked about again other than ""what not to do with your script"". I know This review itself is probably insignificant but, really I'm appalled and impressed by the relentless bore this film brings on. I just needed to get my thoughts out before I start burning buildings, and worshipping Satan.

2/10",3
Green Book,"How did this unoriginal snoozer win best picture? A movie like this hinges on character development, and these characters were poorly developed. Someone took a true story and crammed it into a cookie-cutter film about an unlikely pair and the racist south of the 1960s. You gotta do better than that, Hollywood. And the reviewers rating this anything better than a 6 need to go watch some good films. You can start with Driving Miss Daisy.",3
Green Book,So superficial. Without conflicts. It's impossible to believe in Mortensen's character: noboby can't change its highly racist behavior so easily.,3
Green Book,"Just.....no.

""Green Book"" is the kind of movie my mom likes, and trust me, that's not a compliment. It's for people who are willing to watch a movie about racism as long as the black character who's the victim of it is whiter than any of the white characters. It's for people who want to pat themselves on the back for being open to a ""serious"" movie that doesn't challenge a single belief or make them the slightest bit uncomfortable. It's for people who like music cues that tell them exactly what they're supposed to be feeling at every single moment. It's for people who think the answer to racial problems is for whites and blacks to compromise and find some middle ground where they can agree to overcome their differences, as if black people have any responsibility in the fact that they have been marginalized ever since the very first one set foot on American soil. No one who is the slightest bit tuned in to racial problems in contemporary America could possibly stomach this movie.

Personally, I found it to be patronizing and damn near insulting. It consists of scene after scene of our black protagonist getting himself in trouble, only to be saved from the situation by the white guy. By the end, the white guy has taught him how to be more black and embrace his own culture, which in this movie is defined by liking fried chicken, listening to Little Richard and Aretha Franklin, and playing some funky piano. Oh but wait, defenders will say. The white guy learns something too, like how to be less racist and how to write really good love letters to his wife. In fact, the entire guys' racist family learns to not be racist by the end and welcomes the black guy to their Christmas dinner. They're just casually racist, you see, but not racist in ways that really matter. Barf.

Seriously, this is the Sesame Street version of racism. In a year that gave us ""BlackkKlansman,"" ""Blindspotting,"" ""The Hate U Give,"" and ""Sorry to Bother You,"" all movies made by minorities about the black experience in America, it's pretty telling of where we are as culture right now that the race movie mainstream America glommed on to was this piece of feel-good hoo-hah. Mainstream America doesn't want to have its beliefs challenged, and it certainly doesn't want to be told it's part of the problem. Instead, it wants a hallmark movie that makes it feel good about itself.

One thing saves ""Green Book"" from being an utter waste of time, and that is the performance of Viggo Mortensen.

Grade: D",3
Green Book,Couldn't watch this beyond the 50 minute mark. No chemistry between the leads and their dialogue felt scripted and forced.,3
Green Book,"The whole time I was watching this I kept thinking of Driving Miss Daisy. I think the Academy will honor the movie because they feel guilty about all the racism that is going on in the country right now. They aren't honoring the best film of the year , just a film that makes them feel less guilty about what is going on right now.",3
Green Book,"Is it me, or is Viggo REALLY over-acting in this film? I found his portrayal of Tony to be a one-note caricature of a numb nutted Itailian slob. Not only that, but the whole movie was like a bad TV movie. And that description no longer holds up because it's Television (specifically cable television) where all the truly great storytelling takes place now. The writing in this film was trite at best, and overly dramatic at worst. This is the second movie starring Viggo I couldn't stand. The other film was, The History Of Violence. Not sure I will pay to see another one of his films.",3
Green Book,"Cant believe this cliched, regressive movie that caricaturized Don Shirley got Best Picture",3
Green Book,"How did this film even get considered for an Oscar? This is low grade pap, unchallenging, unbeleivable, dull and so cliched its difficult to believe a fine actor like Mortensen would get involved. And why cast a Scandinavian as a Bronx Italian? Mahershala Ali has done himself no favours either creating a cartoonish 'sophisticate', though the hand doubling during his piano playing was impressive. This is heavy handed populism, shallow and self-righteously preaching, reducing a complex social struggle to simple stereotypes. The cinema landscape of 2018 must be very lacking for this to be lauded as it is. But then in reality it is not, with Masterpieces like Roma on display, its just that the Oscars is not really as important as it would like to be.",3
Green Book,"I had high expectations based on the positive reviews but was quite disappointed.

The story had a good potential to explore a relationship between a sophisticated black pianist who employs a white working class driver as they travel through the US south in the sixties. They have seemingly nothing in common, from the way they were brought up, the way they speak and eat, their family backgrounds and financial situations, their way of treating other people. As they spend time together on the road trip, they start to appreciate each other and learn from each other.

What bothered me was that the characters ended up being caricatures instead of being believable. The film tries to depict their differences to the point that it did not make sense. For example, we are supposed to believe that a black musical genius pianist never heard of Aretha Franklin or Little Richard? Or that he never tried fried chicken? I also thought that Viggo Mortensen was slightly over-acting.... The racial problems were not depicted in an authentic way.

The movie just received an Oscar nomination for Best Picture, likely because of the social commentary and not because of great film-making.",3
Green Book,"It's a bad mix of ""Driving Miss Daisy"" and ""Planes, Trains and Automobiles"". Nothing you haven't seen before. Boring, naive, one-dimensional characters. Also, there's the annoying omnipresent PC, that is arguably the only feature of this movie. The black man is a gay also, because nowadays you gotta go with the most possible number of minorities.",4
Green Book,Seriously don't understand how it ends up getting an oscar. For what?!,4
Green Book,This movie whas a big let down for me. Don't trust all the 10 stars reviews. They are full of it. It's basically just two men in a car taking a trip. Nothing happens. I was expecting some twist are anything because of the good ratings. But really it's just straightforward from start to finish,4
Green Book,"This movie is more theatre than a movie, if you like that go for it but if your fan of realistic movies, skip this one. I found it hard to get through every minute as it was far from reality, quite the disappointment.",4
Green Book,"Roma should've won. Not as awful as I expected but definitely nowhere being a good film.

35",4
Green Book,"After reading brief biography of main character I was expecting a jazz filled fest adresing contemporary problems. What I got is boring road movie, completely predictable with all cheese Hollywood schemes and even more predictable ending. If it wouldn't be for Viggo's performance and fantastic job of scenographers I would give a single star to this otherwise lengthy and boring mediocre spectacle.",4
Green Book,"Yes, we know black people was discriminated against. Unless you want you want to pay to be educated about race issues skip this one.",4
Green Book,"I watch movies to simulate my mind to think and to be entertained. First of all, I don't want to hear about politics in movies so leave it out. This is full of it and in turn made it to be a shallow film. It's in the past get over it and maybe you could make a movie with watching. Secondly, this is not a new plot. In fact, stop kicking the horse. Acting was good, but please be creative and will your in stories if you're capable. If not, go bad groceries at the Piggly Wiggly. The plot was incredibly weak and boring. I do give props to the actors, however. In closing, you can polish a turd all you want, but it's still a turd.",4
Green Book,"After ""Driving Miss Daisy"" (1989), ""Dances with Wolves"" (1990), ""Forrest Gump"" (1994), ""Crash"" (2004) and, now, ""Green Book,"" I guess Hollywood is just going to continue patting themselves on the back for not being racists because they honor pictures where stupid white protagonists are taught to respect racial others as human beings. As opposed to the infamous failure to nominate a racially more challenging and sophisticated picture such as ""Do the Right Thing"" (1989) for Best Picture the year ""Driving Miss Daisy"" won it, this time, they gave Spike Lee an Oscar, too, for ""BlacKkKlansman"" (2018), a film that I think has its own faults, but, at least, it's not simply a message picture of ""racism is bad, but look how far we've come"" for the dumb and dumber. And, at least, there's some cinematic flair to Lee's film, as opposed to this modest improvement upon a filmed play such as ""Driving Miss Daisy.""

In quite a few ways, ""Green Book"" is a modest improvement upon ""Driving Miss Daisy"" in that it largely tells a similar story in a similar way without itself coming off as quite hypocritically racist. It's about the least one should expect after 30 years of cinematic and social changes--or lack thereof. In it, another white person who also faces some prejudices against them (in this case, for being an Italian American; in Miss Daisy's case, for being Jewish), and again from that white person's perspective, travels by car with an African American through the Jim Crow South. (Both movies even privilege their ""home"" turf, as it were, as not as racist as other places. In ""Driving Miss Daisy,"" Atlanta somehow came off as not nearly as segregated as Alabama, and in ""Green Book,"" the two are welcomed home to New York by a friendly police officer in contrast with the backwater cops they meet on the way to Birmingham.) They bond, and through their experiences with their black friend, the white protagonists stop being racist. But, this time, the white person is driving, and the black man sits in the backseat!

To be fair, Mahershala Ali's Don Shirley is not entirely, or at least not atrociously as much so, the Magical Negro trope that Morgan Freeman's Hoke is in ""Driving Miss Daisy."" The historically-based character of Shirley has a life outside of helping the white protagonist with their character arc, which the movie addresses, if only almost entirely through the lens of the white protagonist and ultimately how it affects him. In a way, it's a traditional sidelong-glance biopic, where the life of the more interesting figure (Shirley) is seen through the point of view of a more common folk (Viggo Mortensen's Tony), as a surrogate for the spectator, for one assumes because that's how the storytellers see us spectators. Additionally, Shirley is not the white writer's fantasy of a subservient African American that is Hoke. Moreover, Miss Daisy's conversion is rather unconvincing, but ""Green Book"" leaves little doubt that Tony has transformed. Ali and Mortensen are good actors, too, which helps. Clearly, they were dedicated to their characters (most conspicuously by Mortensen gaining 45 pounds for the role).

Nevertheless, a movie that's written and directed by and mostly made by white people, through the perspective of a white character, as a surrogate for an intended white audience, to feel good that they, too, have overcome historical racism doesn't really cut it as authentically anti-racist. This comforting, hand-holding seminar from a narrow view of a vast and historical problem, another whitewashed picture about prejudices against racial others won't transform anyone.",4
Green Book,"Terrible acting, TERRIBLE. No chemistry between the two main chracters. Cliché all the way through. What was the Academy thinking?!",4
Green Book,"So, coming to this one late I have to say it makes me hate the Academy a little more. The fact that this won THE Oscar is nothing but pandering in an effort to make the Oscars seem less racist. Racial equality is tremendously important but by glorifying tripe like this nothing is actually accomplished.

This is extra disappointing because our two leads give really great performances. You really feel Ali's passion and conflict as well as Mortensen's growth. The story is so dull though and it's been done, and done better. An unlikely pair are thrown together and through their journey they learn to see from the other's perspective. Yeah, that's great and all but throw something in there to spice it up and in the process be a little less obvious about things.

This is all made worse when you realize a central part of this movie involves Mortensen's character teaching Ali's how to be black. ""Come on, you people love this stuff"" should not be such a frequently visited topic. Is this sort of thing that shows that the academy saw a piece about racial cooperation and jumped on it without bothering to actually pay attention to what they're watching. I mean, thank god Ali really becomes part of Mortensen's family in the end.

This is a frustrating movie. It didn't deserve the big award because it's not a great movie but it does have very strong performances. I want to recommend it for the leading pair but this really has some skewed messages on things. It's worth the watch if your curious and can find it streaming. Just prepare to be underwhelmed.",4
Green Book,"An OK film, but has been overhyped and not sure why it got the oscar. It has a few nice moments, but there's not much beyond the usual cliches. Finding it out it was based on a true story was the only real surprise and was heartwarming enough.",4
Green Book,"The reviews are so telling. People watch this film as an excuse to perpetually ignore their own racist bias. White people and their self-absorbed white savior fantasies such as ""Green Book"" are the reason why black people of color feel so misrepresented in film and tv.

Not only is the film highly offensive in the way Mr. Shirley is being guided by Mortensen's character, and how he dictates him how to find his roots to his culture back, which is just so wrong on so many levels, but it also makes the racist a literal hero, who is excused in such a rushed and inelegant fashion.

He teaches Shirley how to eat chicken wings in what comes across as one of the most misguided and stereotypical colonial views of cultural identity. Of course the old white boomers in this world laugh their ass off when it comes to such badly written trite garbage, because it reinforces their black and white views.

Its such a caricatural portrayal of a very one sided story, fabricated by three white writers (!) who didn't even ask Shirleys family for permission and creative direction. As such, the film can barely be considered progressive, faithful or even emotionally intelligent. Its as if three white-frat-dude-bros gave a presentation on how to fight racism. This aint it guys.

Green Book is hilariously inadequate oscar bait made for the masses, a film that will go down as one of the most horrendous oscar winners and remind people in the future how award shows were dominated by ignorant white voters who didn't bother looking up the terms ""white savior narrative"", or who simply didn't care.

I hope people on IMDb reach out of their cultural bubble and confront these films in a more critical manner, and not just watch films superficially while being fed with problematic narratives. The previous winner ""Moonlight"" made by an actual black director has a lower score than this, and it basically says everything we need to know about racial insensitivity on here.",4
Green Book,"Driving Ms Daisy role reversal. Even won best picture for some ungodly reason, in a year with Roma The Favourite and Blackkklansman. A revolutionary picture where a white man has to teach a black man how to be black. Vigo Mortenson is just a goomba, a ridiculous Italian stereotype. Mahershala elevates the bones of the script to something slightly better. Over all, Oscar bait of the highest order, the fact that any one of the old white academy voters were tricked into voting for this forgettable movie is beyond me.",4
Green Book,"Is no one giving to mention the shameless product placement? Not satisfied by simply showing the KFC bucket, lines were written extolling the virtues of this 'artery clogging' foodstuff.

How did this confection warrant the Golden Globe award when it appeared to be devised to sell fried chicken? Enough is enough!",4
Green Book,"History shows that what makes people better is their education and not their skin color. While spend it on monotonous trips. Obviously, this film took relevance due to the current political agenda that is handled in the USA.",4
Green Book,"Good film when you ignore the blinding historical discrepancies and the overarching white saviour trope. Ali was the strongest actor of the bunch and sometimes you couldn't tell if he was in character or just fed up with the film itself and honestly, mood. The soundtrack outside of the actual music was generic at best and outright annoying at worst, mainly towards the end of the film. When their road trip is ending it kinda takes a weird tonal shift and starts to feel like a hallmark Christmas movie, I understand that it is Christmas within the timeline and they wanted a nice heartwarming ending but it felt forced. The film tries hard to be a feel good movie but ends up leaving a bad taste in your mouth, Had potential and would be better if it were in the hands of a black director and writers who actually consulted dr Shirley's family instead of just Tony's son.",4
