title,comment,rating
Inception,What i want to say this movie is a miss i cant get into it but tenet is a great remake . And inception not mind blowing movie what people think it is i am sorry about this people not great of a movie i love movies dose not story line to it but tenet is a great remake it mess the mark nolan is great with the batman movies i am sorry about this people. It dose not hold up what you might say about this i am sorry thanks. Why i 1 the story is everwhere thats wahy i cool not get into this movie.the 2010s cuold not hold up this movie i am srroy people this my opinion .about this movie i ams sorry b.,1
Inception,This movie concept is highly copied Paprika anime and doesn't give him credits. COPYCAT NOLAN WORSE DIRECTOR,1
Inception,"And so, the inevitable: Paprika vs. Inception. Really? You didn't see that coming? A lot of people seem to think this movie is wonderful. It has star power, I suppose, and a lot of people like stars. To me, it looked like half a dozen Japanese animes slapped together into an incomprehensible mishmash mess, combined with some thinky dialog that supposedly glues it all together. Crap, in other words.

I read the Wikipedia article on this movie, just to make sure I didn't miss some profound thing that would change my mind. Even the article was dull and uninspiring...I read the first and last paragraph, and that was a chore. I'm not picky...if I'm entertained, I'm happy, even if the plot/acting/whatever sucks. I'm sure the acting was great, the special effects were awesome, and the key grip showed others how it's done. I just couldn't get in to this movie. I didn't care if the main characters lived or died, I didn't care if the McGuffin got got, and I didn't care if the stupid top fell over. Despite Hollywood's slobbering over this movie, you might notice nobody bothered to make a sequel or otherwise capitalize on its greatness. Was that because they didn't want to defile its artistic purity? Um, not likely. It's trash, and Tokyo knows it.",1
Inception,"Plot, story and even the events are taken from it with some changes to fool the audience. Such a shameless stealing.",1
Inception,"I was waiting for it to end after an hour and a half and it didn't come soon enough.

Boring film that seems to think its clever yet has no thought provoking elements. I love DiCaprio normally but he was definitely wasted on this film. How does this get such a good rating?? Realistically it probably about a 5 out of 10 but I gave it a 1 for all the flattering ratings it must have got to be in the top 10 films.

I am typing this sentence to make it up to the 10 lines minimum as I haven't got anymore to say about this film.

All in all, the dream in a dream in a dream stuff really is boring and they managed to make a good idea into a bad film.",1
Inception,"""THE BOX"" = ""INCEPTION"" People that says it all.Following a lot of swearing words that IMDb doesn't let me to write i was an one more unethically forced victim of the reviews that i presume that direction of movie paid for all those people to write positive comments and guess what giving a 10? and calling a masterpiece to this Ultimate Nightmare Gangrene.You Must Be Shiting Me.This is the No one WILL NEVER SEE THE END MOVIE OF THE WHOLE CENTURY .This is the real Neverending story.If there's a little brain left in your head people stay away!!!This is the hyper money sucking utter trash ever made in human history.God Mercy us from now and on this is indication of what level of insanity human race managed to get and be thankful for.This is the 60 min sleeping alert from the 2 hours and a half that whole movie takes long to finish.After the first 45-60min you will be dreaming your worst nightmare Mr Nolan's or whatever directors name is dreams with filling his pockets with your money Thats all about this movie that left in my brain.I Don't WANT TO HEAR ANYMORE THE WORDS IN MY LIFE ""DREAMING"" OR ""DREAMS"" OR ANYTHING TO DO WITH THIS MOVIE.You must be really smart to watch this movie @-@!!! But .... i am not sorry",1
Inception,"""Inception"" is not a movie, it's a two-and-a-half hour migraine disguised as intellectual cinema. It throws a bunch of ""smart"" words and pseudo-deep concepts at you like it's trying to impress a philosophy professor at a frat party. Dreams within dreams within dreams? Cool on paper. In practice? Just an excuse to pile on endless exposition and pretend confusion equals depth.

Every minute that passes, you're not getting answers - you're getting more questions, more rules, and more inconsistencies. The characters don't feel like real people - they're just walking, talking infodumps. And the emotional core? Completely hollow. It's like someone wrote a soap opera and then coded it in quantum physics jargon.

Honestly, the only real ""dream"" here is the idea that this film is some kind of masterpiece. What it actually is? A pretentious, boring mess that talks a lot and says nothing.",1
Inception,"I gave this movie only one star , though it's worth more, but since so many reviewers rated it 10 or 9 stars i had to give less. It is probably one of the most overrated movies on IMDb.

I hoped it would be exciting experience, a friend recommended it, and also IMDb rating was great so I hoped for a great movie-evening.I loved the idea of the movie, I had some experience myself with lucid dreaming etc. so I was kind of excited about it.. but what a disappointment.

It's just soooo boring from the beginning. I watched it to the end hoping something will change my mind, but further it went more boring it became.

In this dream world movie there's almost no fantasy at all. Boring shooting, fighting scenes and car races most of the time. And then some boring conversations with no sense at all.

My advice- don't waste your time even to see why some people gave it 9 or 10 stars. Just avoid, sincerely...",1
Inception,"This ""movie"" just starts throwing stuff at you, and it does not stop, if you are expecting a beginning forget about it, you can't have one. The soundtrack is obnoxious, and If you point this out, your friends will say ""you don't get it"" The cinematography and sfx is breathtakeing, no doubt about it, but it is wasted on this long ass feverdream. I am in awe anyone ever watched the whole damm thing!!! I sure as hell didn't, i gave up with the equivalent of a whole movie remaining, and i might have permanent dammage because of it. The sentence ""this is the worst movie i ever watched"" is thown around alot, but this is THE WORST MOVIE I EVER WATCHED!!!",1
Inception,"Picked two films with very high ratings as possibilities to go see: Dicaprio's Inception with a very high rating (9 stars) and another film, Scott Pilgrim vs. the World with an incredible 10 stars. The Pilgrim movie seemed to be a bit young for me (about a guy in a band having to deal with a girl's evil ex-boyfriends in order to date her) so I plumped for Inception which is Sci-Fi and which I usually like.

I lasted about 30 minutes in Inception. It was trying too hard and delivering nothing. Starting off with 3 dream-in-a-dream sequences, mediocre acting, and non-existent dialogue, it got progressively worse. I didn't stick around, been there, done that.

Luckily for me, I walked into the Scott Pilgrim movie in-progress and saw a very different and funny movie. Yeah, it's juvenile but hilarious. A takeoff on bands, anime, gaming, and young love in general. The casting/acting was impeccable for a no-name film and the script made me chuckle through-out. If there weren't so many gay jokes, I'd take my kids to see it. Even if you aren't into computer games, you may appreciate a lot of the humor. Kids should love it.

Best thing of all, it was more than payback for having to sit through part of Inception, :^)",1
Inception,I didn't like the movie... Dream in dream seems too much unrealistic...,1
Inception,As younger folks probably will enjoy the movie more--and can take the fast-paced action and frenetic pace. I assume older audiences probably will be a little less amazed and a bit overwhelmed with the film. Just something to consider as you read this.,1
Inception,"Well, despite the fact that there are lots of good actors in this movie, it doesn't make it good. I like Nolan's other movies like Memento or Batman series, but this one is really bad. Plot is boring & jumbled & it's also very long. It's just a big mess. Lots of pointless action scenes. They even took some scenes (winter shooting) from Call of Duty Modern Warfare 2. Movie itself Kinda reminded Matrix, but a bad version. Soundtrack is good, but it doesn't suit the movie. It's too sad for it. By the way Leonardo Dicaprio's character reminds me his another character from the movie ""Shutter Island"", where he plays some guy that has deep seated emotional issues relating to the loss of a loved one.

To be honest, I can't believe that this piece of garbage is rated so high... In other words: LONG. BORING. JUMBLED.",1
Inception,"This movie talks a lot about dreams, but I doubt the goal was to make the viewer fall asleep, which happened in my case. Obviously, I din't get to finish it, which explains the lowest possible rating - as the movie that can't entartain me the least, can't get a positive review either.

Maybe I'm watching it wrong? Maybe it's an experiment type of a work, something like Madame Bovary - the author tries to convince us that the style is more important than the theme...

...and ""dream theme"" sure is boring...

...while the style's...

...

nothing special.",1
