title,comment,rating
The Prestige,Good movie to watch for especially a best movie from Christopher nolan the idea is fabulous and great.,1
The Prestige,"The film is nice to watch, after watching it gives a lot of positive emotions.

Disadvantages: Of the minuses, the only thing is that the film is quite long The movie is great, I recommend it to everyone. I watched the whole movie without opening my eyes, he was away from the screen. The acting is just great, the plot is just amazing. The ending of the film just killed on the fall. I didn't expect that. The camerawork is just on top.

After watching it, I couldn't move away from the emotions that overwhelmed me for a long time. I recommend watching the movie, you will be surprised.",1
The Prestige,"In short: one presents a trick that cannot be explained without a double. Solution: they invent a cloning device (bit á la transporter at Star Trek). But: at some point it will be swarming with clones! Now what? Solution: each clone drowns itself in a bowl of water... ready!

A historical drama in Victorian England... which ultimately turns out to be science fiction of the cheapest kind. In fact, the viewer here is just being screwed (at least I felt like that).

How anyone can judge this nonsense positively is a complete mystery to me.",1
The Prestige,"I went into this movie expecting a lot. But when I finished the movie I felt sick, because I knew I spent 2 hours and 10 minutes of my life on this movie. Do yourself a favor, don't watch it.",1
The Prestige,"For all the magic, all the tricks, and all the twists and turns this convoluted plot takes, it ultimately fails at creating cinematic magic: providing the audience with an emotionally satisfying experience.

Did this film need to be so long? Did it need to be so complicated? It opens and closes with an explanation about how magic tricks are performed in order to truly amaze the audience. Ironically the screenwriter did not familiarize himself with the basic rules of writing movie scripts. The script suffers from several defects:

1. It drags on too long and falters eventually. By the end the audience is too bored to even care about what is supposed to be a fantastic climax. Unfortunately, it ends up being an anti-climax.

2. We do not really care about characters. We can't relate to so many of them anyway. Nobody can. Especially if they are not interesting. The bottom line is that no one in this film is interesting, except perhaps David Bowie as the genius Tesla. Unfortunately he doesn't really do much and the whole subplot with him, like so much else in this film, is unnecessary.

3. There is no message in this film. The whole rivalry story is unpersuasive, both in terms of motivation for the characters, and in terms of internal logic. The final speech given by the protagonist that is supposed to reveal his deep yearnings and the demonic force that has made him create the whole orgy of senseless violence, comes down to... Well, watch and see. You will be disappointed.

4. As I said, there is a persistent lack of logic. Why do these guys do what they do? Why do they invest all their lives in rivalry and hiding secrets from one another, yet can't seem to predict that the other one might try and sabotage their act? It is very hard to follow this film when one cannot empathize with the characters, understand their deep motivations, or figure out why they keep doing stupid things over and over again. Even the climax of the film includes some unbelievably stupid decisions made by the protagonist. Can this master of deceit not predict that the other guy might come after him? Maybe the screenwriter should have spent less time inventing complicated tricks and focused more on some basic logic.

In sum, I feel empty after watching this film, and would not recommend it to anyone. It sets up a potentially interesting story, it takes us through more than two hours of plot, and it somehow fails to deliver a worthy climax - or, should I say, 'prestige'? One out of ten stars.",1
The Prestige,"Nice, thanks a lot! If you someone hasn't seen the film, your posting's subject line, which everyone sees, destroys A LOT. I just wanted to thank you for that. Very inconsiderate. It seems pretty obvious, don't post spoilers in the main message area where anyone and everyone will see that. Hey, Brainiac, GUESS WHY THEY CALL THEM SPOILERS? You see, without thinking, you post, and then, innocently, hundreds of readers only browsing the SUBJECT/HEADLINE of posts, sees your text that SPOILS the film for anyone reading it. Hence, SPOILER. Get it? Hope so... Come on people, I thought these boards sort of weeded out the borderline idiots. Registration is purposely a bit cumbersome to lose the half-wits who aren't even able to complete the process. But, it seems like every once a while, a few get lucky! STOP POSTING SPOILERS - IT'S NOT COOL, SMART OR FUNNY... RT-Prague",1
The Prestige,"The film starts with ridiculous rumbling noises drowning the natural sounds, in a pathetic attempt to create atmosphere. It then proceeds with actors mumbling their lines so it is hard to tell what is going on.

Then we have a rapid series of flashbacks, which are sprung on us suddenly, and sometimes it is not immediately apparent that we are watching a flashback or merely a change of scene.

As a result of all this it is very hard to follow the plot, and it is not helped by the fact that two of the main actors are very similar in appearance.

At the end, we discover that it is a Science Fiction film!

I find it hard to see why so many people rated it so highly, it is badly acted, confusing, and I did not find it entertaining.",1
The Prestige,Illusionist > prestige Paprika> inception Zorro+ Gwyplaine = Overrated trash Knight trilogy,1
The Prestige,"First of all it should be classified as fantasy, so people don't waste time with children's content.

Of course it could be good anyway if it was just a little logical or reasonable, but it's not the case at all here, weak messy plot, the end is totally disappointing because it makes absolutly no sense, even for kids, come on guys.. I'm trying to be polite here..

It's frustrating to see what people consider cool these days.. humankind has no salvation.",1
The Prestige,"the movie had one unrealistic event apart from Tesla's duplicating machine, which really downgraded my fancy towards the movie. it was the coincidence that Christian bale(Freddie) used Tesla's as his code word and the fact that Tesla's machine also worked. if someone will argue that Hugh Jackman knew it works all along then why he was surprised while reading the Dalton(Hugh Jackman) journal that Tesla's machine could actually work also when lord cal don(Hugh Jackman) came to see him he was surprised as to how he(the great Danton) was still alive.i think it was well thought out and brilliant movie but that's one hard to swallow COINCIDENCE in the movie.",1
