title,comment,rating
Harry Potter and the Sorcerer's Stone,When Harry parents died he went live with Dursley 's They don't like Harry and they where relifed when Harry went to Hogwarts school for kids with magical powers. In every movie Harry is fighting with Voldemore and his followers. Every Harry Potter is so boring just like the books and don't know why is so succesfull. They got so many unncessary characters and i don't get why grown people still are into Harry Potter. I think that Harry Potter movies spend so much marketing first books and then movies but at least they help Maggie Smith and Alan Rickman to become succsefull again which they deserved .,1
Harry Potter and the Sorcerer's Stone,"At first when my friend recommended this movie to me, I was excited to sit down and watch it because of her riveting and amusing descriptions, I think I need to learn to not be so trusting. This movie was by far the worst science fiction movie I have ever seen in my life, and I have seen A LOT of science fiction films.

First of all, the technology was not anywhere near realistic. Normally when I go into a film in the science fiction genre I of course go in ready to suspend my disbelief, but this film does not even begin to attempt to explain the science of anything. It quite literally claims it is ""magic"" and that everything happens because it happens.

This movie also takes place in a school, which did intrigue me as the majority of science fiction movies do not take place in a school, so I thought the idea was interesting and creative when it was described to me. This is not the case. It is uninteresting and uncreative as I found the ""house"" system to be peculiarly similar to the film Divergent's factions.

The most glaring issue for me was the lack of a proper ending. I feel as though the story felt unfinished, and that there should have been more installments. I felt it was cut short and it really should have been a series, but unfortunately over 20 years later there is no sequel in sight.

Overall this movie was a confusing, disorienting, and annoying experience that I would not wish on my greatest enemy.

Thanks for the recommendation Sophia, I will never be speaking to you again.",1
Harry Potter and the Sorcerer's Stone,"That's right. I grew up as a snot nosed kid during the hype of Harry Pot head. I mean Harry Potter. The hype was annoying during those days.

I never cared for the long, boring books or the movie. So why am I writing a review about it?

I'm writing a review because I was forced to sit through it during a day in class and it was so uninteresting. The movie looked dark and ugly.

It was about a kid who was abused then he kept getting letters then the movie turned ugly then ends with the kid being the sorcerer supreme, I mean wizard..

Last Words: There was no spell on me.",1
Harry Potter and the Sorcerer's Stone,"The movie was good, but unfortunately lacked the proverbial magic that the book had. The director's cut was supposedly too long, and a lot of parts were cut out - perhaps this could have something to do with it. Another example of Hollywood producers ruining a great book? Perhaps.

The casting was a bit off - the most glaring error was that of Albus Dumbledore. Richard Harris failed to bring out the ""twinkle in the eye"" that was necessary for the Headmaster's character. Robbie Coltrane was a standout as Rubeus Hagrid, and stole the show. The main characters? Ron Weasely was also *very* well portrayed by Rupert Grint. Harry and Hermione were well done, but again, nothing exceptional. One can expect them to improve in the next movie.

The most disappointing thing about the movie is the lack of character development: A large portion of the cast was composed of very strong, veteran actors and actresses(Maggie Smith, Alan Rickman, etc etc.) - However, none of them truly got a chance to ""work their magic"" with the audience, as they are not on the screen for long enough. Even before the release of the movie, it was clear it was going to make a lot of money at the box office - this makes it even more of a pity that the director was not allowed to show the audience the full version of the movie. This could have significantly improved the movie. Would a three or 3.5 hour movie be too long for children? Probably, but having an intermission tends to break up the ""monotony"" of the movie.

The bottom line is that this movie still should be seen - it is well done, but not nearly as good as the book - Given the choice between the two, spending the three hours reading the book is much more fruitful than spending the two-and-a-half watching the movie.",1
Harry Potter and the Sorcerer's Stone,"What can I say, I've not read the books and i'm not gonna now. After JK Rowling's pathetic feature I grudge giving the Rowling Potter machine any more cash. Why? The film lacks everything, wooden acting with a script that should end Steven Kloves' career(but won't due to the hype behind this waste of celluloid)(really Steve, Wonder Boys was good, baker boys was fantastic, but Potter should be your epitaph). Maggie Smith's Script was cringingly poor, Robbie Coltrane started the film as a 'Ooo bee there farmer' from Cornwall, and ended up as his usualy Glaswegian self, part from that he was by far the best Adult in the film. Rickman was well.... typical Rickman, no thought to his character in the script as he could have been better used. All other actors like Cleese, Hunt and Walters had the right idea, and lasted about 2 minutes each(take the money and run folks) The CGI in the film was appauling, note all the scenes with the castle in the background and anything in front of it. This was not helped by the trailer of Lord of the Rings being screened before the film started.(Chris Dickson has no idea on Special effects, and no doubt the review was written by Rowling herself) The ending was dull and could have been more interesting than it's failed attempt. As for the twist at the end and how Harry Beat Voldemort, 'Oh yeah I got it....' it was clear to the whole audiance that it was a complete copout(underlying message was okay if the kids would ever have the brains to work it out, too deep and meaningful for the film). The film should have been a 3 part kids drama, the cgi would have looked a bit better on the small screen(but still not good, it would have looked like a medium budget TV dramas attempt at special effects). But hey they need all those toys sold this christmas... Why was the film made again?

Above all else the plot drags on and on, (being a H potter newbie I was really interested in finding out what all the hype was about) and is 1 hour longer than it should have been. Kids will really really want to go and see it, Adults will really really want to take their kids, not for the kids to see the film, but to get 2 hours of their kids sleeping(sorry to all those adults with Hyper kids, you'll just get more agro).

Anyway enjoy! and remember each cinema ticket bought means another 6 films will be made.

BTW If Harry Potter has a record opening ticket sales, I'd say it was a fix, as the film was being screened in every local cinema(apart from the arthouse cinemas who have some sense of pride) every half hour from 8:15 am until 9:30 PM on at least 6 or 7 screens.",1
Harry Potter and the Sorcerer's Stone,"This movie was not on my list of movies to see, but due to extenuating circumstances I found myself in the theater for this movie. The best part by far was the Lord of the Rings trailer that was previewed before the movie. I thought the movie was as decent of a rendition of the book as could be done in a two and a half hour movie, but lacked a lot of things which go back to the book. The problem I have with the book and with the movie is the cult following that Harry Potter has, when it is nothing more than a kids story. There are much better stories out there for kids and especially adults that make this story look cheap. The book was entertaining, but lacks depth and a thought-provoking plot. When I was young I was reading Lord of the Rings, The Count of Monte Cristo, the Three Musketeers and other classics. These books help build vocabulary, develop the mind, and lead to reading other classics that provide a foundation for writing and creative thinking. I have read the first Harry Potter book, and found the writing style repetitive, and the reading level less than desirable for anyone but a third grader.

The movie was an entertaining kids movie, just as the book is an entertaining kids book. The fact that it is so popular in our society is a sad testament to the lack of intelligence and the incompetence of adults and children that have grown up in the present age of cheap thrills.",1
Harry Potter and the Sorcerer's Stone,"Acting and Casting: pretty good. Maggie Smith and Robbie Coltrane steal the show. The three kid actors are ok, but I've seen better in TV series. Richard Harris is ok, but is just not Dumbledore. Too serious by far. Better would have been Graham Crowden or Freddie Jones, both could have brought just a little bumbling into the character. Alan Rickman is good, but is not menacing enough. In the books, he simply oozes nastiness, in the film he's bland. Both the Richard Harris and Alan Rickman problems are directorial errors, rather than lack of abilities on the part of the actors.

Effects: on the whole, very good and not too intrusive. On the down side,the troll is a joke. It looks like a cartoon, and is not in the slightest a terrifying sight - no wonder Hermione doesn't seem scared. On the plus side, the entrance to Diagon Alley is superb, and the quidditch game is likewise.

Storyline: On the whole it is good. You are always going to miss some parts of the book in an adaptation, but here there are important sections missing, notably the ""Norbert"" dragon sequence ending with the trip to the top of the tower where Harry loses his invisibility cloak, which is returned to him. Also the sequence where Hermione chooses the potions in Snape's trap. Aside from this, most of the important tags are there, with one or two new episodes to replace large amounts of text. However, unforgiveable is the lack of attention to the Dursley family. They are what makes Harry Harry, as much as his parentage. The book is a quarter of the way through before Hagrid arrives on the scene, yet in the film, the titles are barely over. Likewise, the replacement of one enemy (the Dursleys, Dudley in particular) with another (Slytherin, Malfoy in particular) shows as a shallowness in Harry's character in the final cut.

Having said all that, both I and my Kids (18 and 16) thoroughly enjoyed all 153 minutes, and will probably watch it again. It's a definite addition to the ""DVD to buy"" list.

Overall 7 out of 10",1
Harry Potter and the Sorcerer's Stone,"First, the bad things:

I know it's not easy for anybody to make a Harry Potter movie, especially since the book provides a story that is so rich in details and imaginative. Take the move of setting from Privet Drive to the Hut-on-the-Rock. The movie doesn't give enough explanation of that, and therefore only those who have read the book would understand. Of course there are very few people in Europe and North America who hasn't read the book(s), but the filmmakers should also consider other parts of the world where Harry Potter is not quite as popular.

The difference between the four houses is not explained at all, and therefore it causes some wonder why Harry said to the Sorting Hat, ""Anything but Slytherin"". What's wrong with Slytherin? the ""Muggles"" may ask.

Another thing, Hermione cannot seem to make up her mind about what to call he-who-must-not-be-named. Even in one scene (when the trio are talking near the fireplace) she called him ""you-know-who"", and then ""Voldemort"". And in the book we know that the reason Harry's scar hurt when he first saw Snape was because Snape ""looked past Quirrell's turban"" but this was not showed in the movie.

Now: the good things: All in all, I should say a very impressive movie and one that shouldn't be missed if you're a Potter-mania. The kids don't act very well but the grown-up actors and actresses are of top quality. Alan Rickman is especially great. Can't wait for the sequel.",1
Harry Potter and the Sorcerer's Stone,"I saw Harry Po the ad in the theatre some time ago and let me tell you did I LAUGH. My friend and I almost got kicked out because we were choking on our saliva over that damn centaur. Hahahaha, oh my GOD was that hilarious! I'm going to buy that movie just so I can watch that scene. ""I'll save you Hairy!!"" Haha, whoops I mean 'Harry'.

Sorry: I'll get to the point. The movie is slow but it does have its moments. The Quidditch (sp? wtf?) Game was very well done, especially the camera work, and same with the chess scene. Bascially the action scenes were nice. And Draco was very well cast, as he was in Anne and the King and the Borrowers, so we've all seen him around. As for the others, well, it seems that many people prefer Ron right away over the others. Harry seemed dull and just there so he could count on the attendance records. Hermoine acted stupid at times and she really needed to brush her hair. The Weasley twins- and I'm being serious- looked deformed in that scene where they, um, walk through the wall. Hunchbacks with square shoulders anyone?

Watch it for the laughs but don't except a marvelous adaption from the book... don't watch the film to see that heroic Harry you've read about because it might take another film to get the real him out, if they even manage to do that. If you're going to watch it, judge it as a film, as it is, and not because of the books. And in doing that you'll find it slow, unresolved, but... erm... with good action scenes.

There's always hope for the next movie. Will there be more centaurs I wonder... :)",1
Harry Potter and the Sorcerer's Stone,This game simply was the worst fantasy like movie I have seen till this date. They tried to compensate the bad acting in this Disney type movie with great special effects. I really look forward to Lord of the Rings since then I can finally forget this movie. The only reason it was a box-office hit was becuase of the extreme hype about the movie.,1
Harry Potter and the Sorcerer's Stone,"Ok , i'm sorry to write these words but ... Harry potter the movie is A DISASTER MOVIE , No offence . I read the book first cause the movies wasn't out , and J.K.Rowling did a very good job on the book i mean i stayed up late to read a blasted book . And let me tell ya that i don't read books very often , and i don't like'm either . But , but Harry potter was an exeption , read it liked it , and then i went at the movie , and there i got not disapointed but VERY VERY DISSAPOINTED . The subject is way off target , who is harry what's with him , how come harry went to the zoo why , the movie makes no sence until you read the book . I saw the movie , but unfortunetly i didn't finish the first book , from the half of the movie i couldn't understand a THING THAT WAS GOING ON !!! I know it's a movie for kids but do they understand something from the movie cuz honestly i didn't at all . very bad movie i recomend that you buy the book and read it than go to the movie !!!",1
Harry Potter and the Sorcerer's Stone,"Maybe the first problem with this kind of movies is their subject; MAGIC. We cannot argue about any aspects of it, because it's magic; anything is possible, we must shut our mouths and sit like a good kid and watch it without any digestion. And that's where the problem grows. We see lots of possible things without any background or history and yet we see some normal things that they cannot do, for example they have this cloak to hide but this could be unnecessary. Why couldn't they just hide themselves with that sticks? Oh, they're not able to do that!!!

The story isn't good at all. Believe me. If you love yourself don't watch it. Don't go through the series at all, seriously. Even if this was supposed to have some philosophical meanings, the magics stacked in this series don't allow the viewer to grasp them. It isn't like Lord of the Rings. No messages I could get, no meaning as others state.

Acting was awful, maybe not as bad as Twilight's actors, but it was still very bad. Funny moments wasn't funny at all. No drama. No nothing. Couldn't care about any of the characters. It's really a family movie as categorized. It has the story to make a movie colorful.

Worst thing about it: Harry Potter takes 8 episodes to finish. What was the writer drinking? It could be done in 180 minutes at most. Lots (and I mean lots) of unnecessary characters and subplots. I think the writer got bored herself and decided to end writing, because if you see all 8 episodes you can see that the story is flexible and can be easily stretched out as the writer did. Any teenager can do it.

DON'T WASTE YOUR TIME.",1
