title,comment,rating
Inside Out,"God, I desperately need to know what's going on inside my child's head. Not. I don't. For one thing, because I don't have kids. It's called ""privacy."" This movie is an absolute no-go. And I instinctively avoid people who look like the main character. They are Gestapo. They need to know what's going on in other people's heads. Because they are secret Nazi police. Once they understand what's going on in other people's heads, they'll take advantage. Which is why this movie is so gut wrenching. It's the kid's own parents who apparently need to know that. Well, get a life. Surrender that poor kid to an orphanage. It's disgusting.",1
Inside Out,"Horrible movie with stupid plot that could be easily fixed honestly worse than the bee movie horrible nightmare to sit through I will never watch this movie again it unfortunately occupies a space in the back of my mind I wish I could make it so I never saw this movie, don't make the same mistake I did don't watch this movie enjoy the soundtrack on YouTube it's the only okay part and it has one good song that's it.",1
Inside Out,"I understand that this movie is a new ""idea"" or whatsoever but it does NOT make the movie any good. Trust me you can sleep halfway through the movie. Literally 0 plot, 0 moral, 0 excitement, 0 fun, and 0 thrill. I was excited to watch it after I've seen exaggerated reviews and overreactions about it but there's nothing more honest than my review. Nothing in the story makes any sense or even makes you want to continue watching it. I only watched it all because i thought MAYBE it would get good at the end otherwise it completely failed to make me interested. I dont recommend it at ALL Thank you.",1
Inside Out,"I can't comprehend how a children's movie could be like this. It feels like all the joy is about to be completely erased from life, and it seems almost impossible to bring it back. Also, they made a sequel, but I don't have the courage to watch it. In fact, not only should I skip the sequel, but the people who made this movie should never make any movies ever again. The film is absolutely dreadful, not just because of its horrifying tone, but because it disguises itself as a children's movie while delivering a nightmarish experience. The visuals are unsettling, the story is disturbingly dark, and the overall vibe is more depressing than entertaining. It's not just a suspenseful movie-it's emotionally draining to the point where it feels like it sucks the joy out of everything. I can't imagine any child walking away from this without being at least a little traumatized. Honestly, it feels like the creators went out of their way to make something that leaves a permanent scar on its viewers, and I can't forgive them for it.",1
Inside Out,"Basically, this movie teaches that sadness is a good thing and that we should embrace our sadness. I absolutely believe that feelings need to be addressed, especially feelings of sadness, grief, and anger. But, ""oh, Sadness, how would we get along without you?"" Just fine, thanks. I would quite literally be happy to permanently kick ""her"" out of my brain and out of my life--and everyone else's, forever. A life without sadness. Who wouldn't want that?

I find absurd the suggestion that sadness is ""necessary"". What a load of nonsense! If you're trying to teach children about emotions, teach them how to deal with them, not just what they are. Sadness is evidence of an emotional wound that needs to be given attention, just like physical pain draws attention to physical problems. Mentally healthy people don't love pain, though, even though it does give us needed signals. I hate that this movie makes sadness out to be something it's not: vital and welcome.",1
Inside Out,"Wow, I'd waited long to see this movie after so much hoopla been created over it since months. But BAM, it turned out to be a big let down! It just doesn't live up to the hype. It's an 'okay' type movie. And, how'd it get 8+ on IMDb, I'll never know. I guess there's a bias towards Disney movies. It stands somewhere near '6' or something. Little kids may enjoy it but only if they get the concept. Those who'll get the concept, won't enjoy it. So, overall, you can skip this one. Or, watch it at home at the most. I'd rather watch an old Japanese animation than this one. There are so many good movies by studio ghibli that never get old and boring even if you watch them again and again. And, I heard they have recently put out what is possibly their last movie ""When Marnie Was There"". I haven't watched that yet. So, now is probably the time!",1
Inside Out,"I love Pixar films and was eagerly anticipating the release and viewing of inside out after all the rave reviews.

How disappointed were both myself and my girlfriend. For first time ever in our lives we walked out of a cinema part way through a film. What a load of psychobabble drivel! The concept had potential but boy did they ruin it in their delivery.

Firstly no way could could non Mensa affiliated kids be expected to understand the language inside the head. Secondly no sane adult would buy the lack of emotions on offer to control a humans psyche and the crude attempts to convey personal and interpersonal interactions.

But putting all of that aside it was just plain boring. Please please do not put yourselves or your children through this pointless unentertaining experience.",1
Inside Out,"Love them or hate them, Disney movies have always had one thing in common: they tried to transport you into a magical world populated with interesting, colorful characters.

""Inside Out' foregoes that tradition and seems to be trying to explain basic principles of psychology to young audiences. The result is a mess: not only is it not 'fun', it's also constantly shoehorning painful exposition mechanism by having characters explain what's on screen.

I just don't see kids below 10 enjoying this in the least. And as an adult, there are better ways to learn about psychology than watching an animated film.

Utterly bizarre.",1
Inside Out,THIS MOVIE IS NOT FOR CHILDREN!!! This isn't even for adults. This is just boring and the girl runs away I never want my child seeing this,1
Inside Out,"....voila the heroine, upon arriving in San Francisco, has the GLBT seal of approval, aka the 'de rigeur' long-T multi-colored Jessie Jacksonska 'mo fo' acceptance attire. Even allowing for that it wasn't long before the film meandered into 'Esalen' idiocy and bluntly this mess is an agenda driven film.

Boring - the animation was 'cheap' almost close to the Hanna Barbera crud of some 50 years ago - not well drawn

Compare it to a great cartoon film 'Wreck It Ralph' - no agenda, no corny 'angst' a great film filled with classic one liners and actors that bring a smile to every single scene.",1
Inside Out,"OK, playtime's over Pixar, now get over it. This film is so plainly a prequel – c.f. references to a 'puberty' button on the new 'emote' console in the character Rileys brain - you will fail to find anything of entertaining value for your 100 minute investment. You may harbour fond memories of Toy Story, Finding Nemo, The Incredibles and Ratatouille – all unique, funny, thrilling and entertaining. But, that is not what you will get with Inside Out. 'Joy', after all, is banished to long-term memory and can't get back in charge of the console. (Since when was a single emotion ever 'in charge' anyway?). Inside Out can be taken as a metaphor for the poor sops who work for the Disney Corporation. Yes, they started out with true optimism about the life journey they had chosen, (with Pixar). Then, all of a sudden they are 'taken over' by a less than friendly peer. To compound this, they are moved from their original 'playpen' to a new post industrial work lot. All is grim. Sadness takes hold and taints everything that is done. Even 'Joy' begins to sob with sadness and grief. Save us from this self-indulgent misery. Not only is it inappropriate as kiddie oriented movie fodder, those of us who are sentient, self-aware adults can do without this additional mock unhappiness. By the way, most human brains have a 'fat controller' who orchestrates proceedings keeping everything on an even keel – even if that is 'sadness' for a while. Riley's brain seems to be lobotomised – even before puberty has hit. Give this film a wide berth, in fact, it might be best if someone scuttles this ship before the pestilence it's carrying spreads.",1
Inside Out,"The trailer was so misleading. It portrayed the film as funny, but this film is anything but.

It starts off where 11 year old Riley moves from Minnesota to California which she is unhappy about. She gets to the gloomy grey house in a gloomy grey street and you feel her depression and disappointment. It was California but there was no sunshine to speak of. You wouldn't expect this kind of bleakness in a film aimed at young people let alone children.

The film barely gave Riley any screen time and spent most of the time on emotions Joy and Sadness, who were both trapped outside brain headquarters and trying to get back. Sadness has to be the most annoying, unlike-able character. On the way they meet Bing Bong, Riley's old imaginary elephant friend. Seeing him cry because he's sad Riley no longer plays with him made me cry, but it gets worse, when he and Joy get trapped in a dump and both try to escape, they can't get out together because he's to heavy,so he let's her go alone, she looks back to see him disappearing into thin air while saying ""take Riley to the moon for me"". This was a Bambi sad moment. We never get reunited with Bing Bong and never see or hear from him again, this is such a downer, he was innocent,helpful and likable.

There was one scene where Riley introduces herself to her new classmates and then bursts into tears because she didn't want to be there, I couldn't help but think this was an overreaction. Since Joy and Sadness were no longer in her mind she's only left with Disgust,Anger and Fear (these characters had nowhere near enough screen time and were much more entertaining than Joy and Sadness). She decides to steal money from her mother and run away back to Minnesota, but as soon as she's on the bus, Sadness and Joy have made it back to headquarters and Joy orders Sadness to do her work. Riley suddenly feels sadness and realising she'll miss her family changes her mind and runs back home. As soon as she sees her parents she starts crying and says she doesn't like living here. Her parents comfort her and the film ends there.

So the moral of the story is its okay to cry and that all our emotions are important,even the bad ones. If Riley didn't feel sadness she would have never seen sense and went ahead with her stupid plan and probably end up being raped and murdered.

Once the film is over you don't feel happy, nothing good really happened it was just wall to wall misery. Bing Bongs death, Riley being isolated from her parents, ditching her hobbies, losing her two important emotions, losing her old friends, hating her new house, eating lunch alone at her new school and running away. This is a Disney film right? Talk about putting bad ideas in children heads. After the film was over I felt sad for the rest of the day and night. I wish I never watched this.",1
Inside Out,Simply the worst movie ever created and ever will be.,1
Inside Out,"Awful music, pathetic humour, irritating characters, a preposterous concept, confusing plot points, and a boring thrill ride all mixed together. I am actually completely serious when I say Inside Out is my most hated movie of all time.",1
Inside Out,"Disney and Pixar may have made a financial hit with this one, but with John Lasseter in charge, I only see more psychological misdirection like this drivel coming in the future.

This was another blatant attempt at putting an adult theme into a child's film. It is by far worse than if they were to try to hide pornography into a children's film.

This movie would be more suited as a training video for beginning psychology students. This movie is not about emotions. It is purely about a spoiled child that snaps because her family moves.

This is a movie trying to put a fresh look on child psychosis, that attempts to put flashy images and colors on the screen to trap the impressionable child, and at the same time, give parents a horribly skewed kindergarten education on their children's bratty behavior.",1
Inside Out,"This still had some appeal as a trailer but sadly as a whole it felt flat pretty fast.

The whole movie had a depressing effect and this became more obvious as the movie progressed.

The basic story was some what ridiculous about only 5 characters controlling your brain similar to the factions in divergent(same screenplay writer perhaps?)

Of the 5 characters 2 are highlighted and both of them (Joy and Sadness)are just annoying and the 3 side characters are totally forgettable.

Problem here is they always react the same making it very predictable and there for equals boring.

It has not been a good animation year, only the penguins worked and Minions and now this one really failed miserable.

So,please ,put the fun and laughs back in these movies and stop with putting adult subjects in to kids movies. That might have worked once but at this point you're overdoing it.

I think this one was rushed and not as well worked out as previous installments by pixar and I do hope they find they're way again and return to the classics we all know and love.

Re-animate.",1
Inside Out,"Huh? What did I watch? I was forced to watch this movie at school for a ""reward"" (many high schoolers don't like kids movies, school was torturing us) From the beginning of the movie I was just bored. We have babies and some sappy family moments and some weird explanations that nobody can understand. But then they move from Minnesota to San Francisco. Ok, I'm from Minnesota, MINNESOTA IS SO NICE! WHY WOULD YOU WANT TO LEAVE! (That's probably why they had us watch it) Then the girl starts having a mental breakdown and Happy and Sad are sucked out of a tube.... and it just gets weirder from there..... they end up in a tunnel and have to make their way back to to the tower. So Happy and Sad walk and find this stupid elephant guy who claims to be able to guide them through the maze but just gets them stuck in some wierd chamber where the animation styles start changing. (I'll stick with Spider-Verse for clashing animation) Then there is this boring side plot with the girl and Angry, Disgusting, and Fear. Then there is some more weird stuff in between and then the 11 YEAR OLD girl decides to use a CREDIT CARD to go back to Minnesota! What? How does that work? I dunno but then the end happens and I have no idea what happened because I didn't understand it. I just don't understand what's happened to Pixar, they used to be so good. Oh well, I'm done with Disney movies",1
Inside Out,"Pixar has a new target audience -- the pseudo-intellectual movie critic who happens to be a horrible parent with a complete lack of awareness as to why their children behave as they do during times of stress.

Yes, quite possibly my worst movie experience ever... And I am not a young opinionated teen, but rather a middle-aged parent with seasoned movie tastes -- or at least I like to think so.

Not a single child in the packed theater left happier than when they entered. Very few happy moments throughout a constantly darkening film, with about 45 seconds of ""happy"" resolution at the end. The dialogue is perplexing to children and possibly many adults in the audience. A stunning failure.

All in all, probably a poor decision by me as a parent to view (or by Pixar to develop?) a film with so few moments of joy or happiness for children, who I had incorrectly assumed were the target audience. But how was I to know??

Do yourself a favor and find a real children's movie for your little ones and not this rubbish. Or, just leave after the impressive 'Lava' short.",1
Inside Out,"I know there are lots of good reviews. The trailer looked good. Kids wanted to see it. But to be honest found it pretty boring and a waste of money. Where to start, well its an American movie. Just watch the trailer, there isn't much more to it than the trailer, intact its best parts are in the trailer. It goes round in circles. Honestly for movies like this there should be a warning for parents that it may cause severe boredom. Anyway as cartoons go I suppose its fine.lacks laugh out loud humor and its lazy animation is disheartening. Pixar films are known to pack an emotional punch and this doesn't have any of that. All it has to offer is a misguided heart that is visually displeasing.",1
Inside Out,"You ever watch a movie trailer and you can just tell you're going to hate it? That was this film. When it came out, I knew that I should stay away. Then a few months ago, as part of a project, my teacher had the class and I watch this film because we were learning about perspective-taking or something like that. Within the first five minutes, I knew that it wasn't going to get any better. The first 10 minutes are 85% crying and just people being annoying.

That brings me to the first major flaw with this movie: the characters. I hate Riley SO MUCH! She gets sad all the time, but for no good reason...ever. In fact, the first 10-15 minutes of this film are just her crying and being a baby over little things. I wanted to kill myself the longer this went on. I get that we all get sad sometimes, but she gets more upset than any other human being I know, and it happens so spontaneously you have no reason to feel for her. Frankly, I don't know which character I hate more; it's either her or Sadness, who, let me tell you, every second she was onscreen, I wanted to punch her in the face. She spends the entire movie whining and being all angst-ridden and complaining. I get that that's her persona, but it's not done right. Jimmy Neutron did a sad character way better, and they made it funny! This movie's Sadness isn't funny in the slightest. And when everything is said and done, you realize that everything that happens in this movie is basically her fault because tinkers with what she shouldn't. To make matters worse, she never listens to Joy when she tells her DON'T TOUCH THOSE HAPPY MEMORIES. How stupid is this emotion? If I had to make a ""worst characters of all time"" list, she'd be on there with Riley.

Oh, and the jokes. Not once did I laugh during this atrocity. I never laughed or even chuckled. The jokes were altogether predictable, boring, and kindergarten-level. Why is it that the non-funny movies are considered to the be the funniest, and the movies that actually ARE funny are the ones left in the dust? This movie's jokes were so bad, they are on par with The Emoji Movie's jokes. Yes. I said that. I actually compared Inside Out to the Emoji Movie. I'd much rather watch that than this. Never has a movie made me want to kill myself, and thankfully I haven't yet, because, it is just a movie. But I still really hate it. This is part of my Top 3 worst movies I've ever seen in my life; it's worse than Ghost Rider 2, worse than Sharknado 3, worst than Toy Story 3, worse than the Clash of the Titans remake and worse than Kubo and the Two Strings.

So if you have a very small patience-span, DO NOT SEE THIS MOVIE. It's way too obnoxious and unfunny.",1
Inside Out,"I just got home from seeing Inside Out with my wife. We both thought it was the absolute worst movie Pixar has ever done.

I am a huge fan of Pixar's movies - they've done so many that are so astoundingly good, it's hard to say which one is the best. This movie, on the other hand, easily qualifies as their worst ever. No charm, no humor, no engaging, memorable characters. I kept waiting and waiting for the story to become what other Pixar movies have had - at least some humor or charm or something compelling to keep you watching. It had none of these things. It was a sad, depressing, boring, lackluster affair from start to finish. I'm truly amazed that so many people have found this to be one of Pixar's best efforts. It doesn't even come close to the Toy Story movies, A Bug's Life or my favorite, Finding Nemo. On a scale of 1 to 10, IMHO, Inside Out isn't even on the scale.

If you're thinking about going to see it, don't waste your money! A truly awful effort from a company that has set the bar incredibly high and failed, miserably, to live up to that bar.

Hugely disappointing.",1
Inside Out,"This is just a remake of a Japanese movie called ""Poison Berry in my Brain"" which is an adaptation of a Comic by Setona Mizushiro release 2 YEARS ago!!!, They both contain exactly the same amount of ""personalities"" (5) making decisions in the brain, arranged in the same kind of room with the same table in the center!!! Pixar has had a rough last 2 years, with their movies under-performing at the Box-Office and with the critics... but can Pixar at least acknowledge what its based on?

The Manga, or comic the Japanese movie is based on came out on 2013, it's really hard for us to believe that it wasn't read by someone in Oixar, them being big fans of Japanese Anime and comics...",1
Inside Out,"I don't have a lot of reasons to give. All I can say is that every other Pixar movie I have rated a 10. I love animations, and the artwork for this one is top notch. Pixar has been terrific at delivering great stories until this one. I even love CARS, which many others found fault with. I wasn't in a bad mood when watching this one. I had great expectations. It's simply sucks. It's made a lot of money and has over an 8 rating, so I'm in the minority here. I want to caution someone like me to save their money so please read the other reviews with a 1 star rating. Maybe that will help guide you to a different movie to watch.",1
Inside Out,The single most depressing film that I have ever seen. This film attempts to show every emotion except humour.,1
Inside Out,"poetic and metaphorical, this film is not for children. My five years old son had difficulties to explain to me the story of the movie afterward.

of course is it full with ideas, like the explanation to the nervous breakdown, but is what the children need ?

Only the parents laughed during the scene of the meal with the husband which does not listen and the memory of the Brazilian pilot.

It was not a magical family moment for us. I like the idea to treat the children like adults able to understand grown up issues - but sometimes we need to relax and change our minds from the daily problems.

6/10 for adults 1/10 for the children",1
Inside Out,"I am genuinely confused as to why people are calling this ""Pixar's Best"" or an original concept. Pixar has done far better than this and even the mediocre 'Brave' and 'Cars' are far better.

Not only is the concept of 'people controlling your brain' tired and used multiple times, they managed to make it even more boring. There is absolutely no nuance in this film. The characters, (joy, anger, fear, disgust, sadness), are a visual representation of their emotion. I mean seriously, do they understand subtlety at all? Anger literally catches on fire, sadness is blue, and joy looks like every boring same-faced cartoon princess. Not to mention none of the emotions look like Riley, the little girl. This is even more of a flaw when we later see the emotions in other characters heads, (Riley's parents, her teacher, etc.) who look just like the person whose brain they inhabit. Why would Riley be the only one whose emotions all look nothing like her? They took an old concept, made it incredibly literal, and then botched it up with inconsistencies.

Aside from the boring concept, this movie is way too complex and depressing for children. The plot is nearly nonexistent and the most constant thing throughout is joy and sadness attempting to get back to the control center of Riley's brain after being sucked out by accident. Other than that its all very dull and if it doesn't make you cry, you'll probably fall asleep. There are, from what I remember, no laugh out loud jokes. Way too much time went into world-building and showing off the various landscapes and rooms of Riley's mind for there to be any actual storyline. Everything felt extremely dragged out and joy and sadness ran into obstacle after obstacle trying to get back to the control center. Finally, Riley tries to run away and it just so happens that joy returns and fixes everything before she has the chance to get too far. Not only was it absurd for an 11 year old girl to try and take a bus back home, it was far too sad the way the whole thing was shown.

There were so many random characters introduced for 5 seconds which served no purpose other than to lighten the mood, and they failed at that too. Bing Bong the imaginary friend who was a furry pink elephant was out of place and his design was really uncreative. When he died, I honestly felt relieved not to hear his irritating voice any more. He had no personality or character development and therefore there wasn't any reason to feel sad when he died. Unles of course you're a little kid in which case the whole thing was way too heavy. Either way its a definite miss.

And for those saying only psychology majors can enjoy this movie, that's not true. I can't imagine anyone honestly liking this movie. Aside from the complete inaccuracy of anyone feeling only one emotion at a time, everything about this movie was casually ableist. The portrayal of depression as being something small and easily gotten over was incorrect and terrible. Even the advertisements (""Meet the Little Voices Inside Your Head"") felt like an insensitive joke towards people with schizophrenia or other disorders who have auditory hallucinations.

Overall, I would not recommend this movie to anyone. Too depressing and confusing for kids, too boring and literal for adults, this movie is enjoyable by no one. Pixar did not please its intended audience, nor did it please the grown ups. The one redeeming factor was the animation, which was good but all the designs were so uncreative that good animation couldn't save it.",1
Inside Out,"""All we need is joy"" what is that kind of mind? We need all the feelings, that makes us be human. The important thing is you have to learn to control your feeling not run away from it. What kind of a life that just full of joy, what a boring life to me then. Now after this movie, people will have more reason and person to blame for their failure.

Good Job, pixxar.

I'm gonna rate this movie is the worst movie that Pixxar ever made.

She just cant play the game because three dumb guys in her head can put the ball to the right place? What the hell is that kind of situation, now kid can have more reason to blame when then fail or doing something wrong, right?

""Because 3 dumb guys in my head make me like that""

Who? your 3 What in your head ?

Wake up, girl. Time to grow up",1
Inside Out,"I've watched my share of children's movies and usually enjoy them. My children (10g,10g, 9b, & 6b) and I watched this movie and it was the most depressing children's movie ever. It seemed to go on and on. I asked each child what they thought of the movie and they all said it was either boring or depressing and not entertaining. It depended on their age and whether they understood the content. The movie was just dark! I truly looked forward to watching this with my children after seeing the trailers, but this movie was a real disappointment. I can't believe the abundance of positive reviews, unless they were from college kids pursuing psych majors.",1
