title,comment,rating
Hacksaw Ridge,"I had just finished re-watching the band of brothers series. After that, I was in the mood to continue to watch films/series on a similar subject and hopefully of a similar ilk.

My challenge to you is to watch the band of brothers series and then see if you can make it through to the end of this movie. Or if short on time, just to watch the episode focusing on the medic.

I made it half way, until shortly after the first engagement and then gave up.

Anyway the part I saw wasn't a total loss. I got to see a very pretty girl, who implausibly but luckily wasn't already with another guy so I got to see a bit of her and she was delightful. There were a few nice scenes of nature. And Vince Vaughn, seeing him in that role, and a few of his lines and mannerisms, quite funny.",1
Hacksaw Ridge,I sat down to watch this film without knowing who the director was but stopped halfway. I found its style very old fashioned. It's squeaky clean cast in their perfecty clean uniforms along with a very cheesy and typically Hollywood relationships really got on my nerves. I was so bored that I didn't get as far as the action sequences which apparently warrant some praise but as a film I found it cheesy to the point of annoyance. It was only after I had given up on it that discovered that it was directed by Mel Gibson and evangelical stance made sense. Not my cup of tea at all,1
Hacksaw Ridge,"Only in crappy zombie movies do you see endless hordes of bunched up never ending bodies moving in a human swarm. Sorry, real combat is not hundreds of guys bunched up into the same 25 square yards. Plenty of actual combat footage out there, it doesn't resemble a zombie movie. This is just for the CGI short attention span generation. Too many Super Hero movies, they can't adapt to reality.",1
Hacksaw Ridge,"of course i do not want to blame the story of Private Doss.

I'm sure about his courage.

The matter is the movie..............first part was so boring,pointing on the faith of that guy in a compulsive-like way.OK Faith is strong ,wichever it is ,and it's something that can lead a man in whole his life. I do not discuss that the story narrated comes from real events.....but....lets get a look at the battle scenes....well done of course,...but sometimes they fall on ridiculousness (the way he throw back a bomb just like a tennis hit (seriously)?!...The way he save his sergeant,dragging him while he was still shooting against enemies. Vince Vaughn trying' to emulate r.l. Ermay on full metal jacket was the saddest part.A soldier that , ignoring his life, came back just to save a Bible book........come on ! I have NO DOUBT that Desmond Doss had been a hero,but, in the movie, his character is transformed in something like a new prophet.And who the hell taught japan army to shoot? One billion shots and the guy had no scratches.If I were American I had consolation that , after all, this is an Aussie movie. Sorry,but,few times, it looked like more a science fiction than a war-dramatic one. Sorry for my bad English",1
Hacksaw Ridge,"To ask others to kill for you as opposed to firing the weapon yourself. There were numerous instances in the movie which depicted a fellow soldier being required to kill in order to save the ""hero"". If anything, this decision to place the burden elsewhere seems less morally defensible. Hypocrisy at the very least.",1
Hacksaw Ridge,"Even though the movie is inspired by a real story, the way its presented can only be accepted as a mix of religious and war propaganda.

The action scenes are just fog, bad CGI, idiot Asian people, smart brave lucky Americans and explosion sounds. Really! I read other reviews saying the actions scenes are amazing and I don't understand it. There are a number of movies that made a much better job, some of them older. (ex. ""Saving Private Ryan"")

To be more clear about the war propaganda that I am talking about, which I know is a big claim, US people are portrayed as heroes by being more resilient and efficient at killing Asians, Asians which in turn are portrayed as evil idiots. There is no nuance or understanding. There could be a lot more to unpack here but this review would look more like an essay.

For comparison, consider movies like ""1917"" or ""All quite at the Western Front"" where the heroes are actually preventing the war from escalating, instead of focusing on killing evil ""others"".",1
Hacksaw Ridge,"IMDB rating of 8.1? Shouldn´t be a waste of time.

What i got to see is arguably one of the funniest movies ever. A little bit like Team America - every Hollywood war film cliché got fulfilled. I had to love out loud multiple times because i couldn´t believe what i was watching - and the music was the best: Every slow motion scene got its necessary horns, to make sure we cherish the dramatic slow motion action and heroes.

What does this movie tell us about Mel Gibson? He seems to be THE prototypical god fearing, gun toting patriot every american should be.

Hilarious film about what could have been an interesting story.",1
Hacksaw Ridge,"To start off I'll say I don't have anything per say against Gibson but I never really took him seriously as an actor. As a director, he's even more difficult to be reconned with. I guess that's what happens when everyone tells Mel ""Braveheart"" was top notch movie making : after a while he fancies himself a competent director. Which he never was. Braveheart was meh +. Apocalypto and Passion of Christ were meh -. I stopped bothering with Gibson's movies until I saw the reviews for this one. But knowing of Gibson's director chops and the unreliability of internent ratings, I knew what I was getting in to. And disapointed I was not. Gibson's not a good director, and he proves it once more with this below average run of the mill war flick.

The movie is a collection of ideas ripped off from every classic war movies : -The sructure is ripped off Full Metal Jacket (1st part boot camp, second part war : as in FMJ we skip directly from the US barracks to the theatre of operations, the ripoff couldn't be more obvious); -The combat scenes clearly take their cue from Saving Private Ryan, except Mel turns up the volume to 10 so out flies the realism by the window. Apparently in Gibson's mind, a battlefield is full of guys doing dramatic backflips when hit by artillery shells; -A somewhat borgeonning Barnes/Elias relationship (between the movie's equivalent of Animal Mother and the protagonist) that never goes past a 2mn scene; -The production design is shot shot for identical to ""The Thin Red Line""'s.

This movie is Mel ripping off ideas left and right while being completely incapable of coming up with something that hasn't been done before and bashing you in the face with constant religious sermons.

Plus there are a ton of others aspects that drag it down : -its 30mns too long, some of the scenes are just rehashes of previous scenes and completely dispensable. The first act in particular : gibson hammers and HAMMERS the main character's motivation until you get sick of hearing him; -the character devellopment is paper thin. Here's Hollywood : he's got big muscles and a mustache ; here's whatshisname, he's italian ; and here's Bill : he's american. It's so superficial that once you see all the guys in full battle gear and covered in mud, you literally can't tell them appart; -Garfield is terrible, whiny and annoying; he's just a bad actor (thank god the fad around this guy died out). He's supposed to portray the main character as a very humane, caring guy with a tough as nails moral system, but Garfield plays the part like he's the village idiot. The romance is completely unbelievable. I don't know a lot of women that would fall for a naive, dorky looking kid just staring at them without saying a word with a big, idiotic smile on his face. It makes his character extremely hard to attach to and situations barely logical. Garfield just doesn't convey the willpower or moral strenght of a character that is ready to go through court martial for his ideas. And it makes the whole premice of ""guy going to war without ever touching a gun"" completely absurd and unbeleivable. A lot of times through the first act I thought to myslef ""can't beleive this is based on a true story""; -incoherences, tropes, and clichés GALORE; -so ALL the military staff from a particular barracks is enterily shipped to a certain theatre of operations? How are they going to train other soldiers if they send all the instructors to the frontlines? No way Doss would end up on the battlefield with ALL the characters he interracted with so far; -movie has a lot of scenes that are just illogical or don't make any sense : a wounded japanese soldier doesn't signal his mates when they are walking less than 3 feet from him; a lot of characters are shown getting shot to pieces but a lot miraculously survive (hollywood was clearly a gonner, but hold on -nope- here he is at the end, only slighlty wounded and conscious while he took 3 bullets to the chest); -during the first battle scene and throughout most of the movie doss runs around LOADED with medical supplies even though he just used 75 bandages, 150 shots of morphine and 50 bottles of plasma. That little satchel of his sure holds a ton of gear; -scrawny little guy spends the whole night dragging guys that are twice his weight under artillery shelling without ever collapsing from exhaustion and is ready to go again the next morning...good thing his fate allows him to ignore basic biological limitations right Mel? -the portrayal of time passing by is just ridiculous; the war in the pacific was absolutely grueling and happened over months : her we see a bataillon freshly arriving in japan from a boot camp : they manage to push the japanese back. Then they get pushed back. Then they run back to the beach. The go back up there once and bingo : surrender, victory, the US wins. Feels like the whole movie happens over a 3 day timespan. Might I remind Mr Gibson the historical scholar that without the atomic bomb the japanese would never have quit and had the US in a dire situation up until Hiroshima? That the bomb was used because it was USA's last resort in the pacific theatre? That japanese soldiers never hung themselves and intead used grenades and seppuku to commit suicide? That an assault delayed by ten minutes because some dude is praying would probably disrupt the whole battle tactic and would certainly result in terrible losses and casualties? That refusing to execute a direct order only to wait for 10 minutes would mean court martial for the entire squad? That famous military victories like waterloo would have never happened if Napoleon had to wait on X dude to take a dump and Y dude to finish his lunch to launch a crucial assault? That a character that has spent the film fighting tooth and nail saying he'll never handle a gun, getting beat up for it, being court martial, just doesn't pick up a rifle at the end for no reasons whatsoever only to drop it 1mn later? That a japanese sniper so good he can hit a flying helmet misses a guy crawling over a ditch?

This film was boring, formulaic, unoriginal, and borderline amateurish. Mel, you just don't wake up one morning thinking ""hey, I'll shoot Platoon today, doesn't look that hard right?"". YES it is that hard. Because Apocalypse Now, Full Metal Jacket, Saving Private Ryan, Platoon and all the best war movies all had a ton of work, historical research and dedication involved in their production. This cannot be said of Gibson's wet dream of a war movie; and I'm starting to suspect mel is a certified gorehound and one of the reasons he makes movies is to show gruesome displays of bloody violence. That totally contradicts the religious sermons he bashes us in the face with throughout the movies. It's like he's saying ""yeah war is atrocious and religion prevails overall but hold on, take a look at that shot of a guy being ripped to shreds by a shell, isn't that cool? And how about this shot of of a bloke getting his face obliterated by a bullet? BOOM HEADSHOT lulz!"".

And of course, the hypocritical, religious, holier than though message is so heavy handed Gibson alienates any viewer who doesn't have faith. In fact, it shows, voluntarily or not, how religious people sometimes paint themselves in a corner with their own beliefs...one or two scenes show the main character clearly stopping in his tracks and going : ""hold on, none of this makes a lick of sense, what the hell am I doing exactly?"". Well bad news Mel, that's also what the audience is thinking.

Not a second of your fanflick makes a bit of sense. Another moronic run of the mill mediocre film filled to the brim with unrealistic situations, padding, clichés and tropes rated 8+ on imdb. This is Mel playing boom boom with his toy soldiers while firmly gripping his bible with the other hand.

Superficial, shallow, predictable (hey that double looped rope is going to come in handy later on, amyright Mel?), bland and boring.",1
Hacksaw Ridge,"It's a pop film. The same weak and snotty nonsense as ""Saving Private Ryan"" and others. Pathos, violins + pianos, pathos, pathos. Sugary faces, lyrical music ... pathos. Pompous faces and pathetic conversations of characters to the sounds of violins and puffing piano + pathos. Absolutely stupid and unnecessary running of people and explosions at the beginning of the film to show effects. But everything is not natural, but it is an ill-conceived porridge. There is no authenticity. The film consists of typical templates and weak actors. It seems that all the directors of the old guard are getting old, losing their grip, losing their senses and starting to shoot fancy films to somehow stay afloat.",1
Hacksaw Ridge,"Andrew Garfield, who looks like a human worm (look at that neck), is pathetic in this. Film starts off with that cheesey, hilarious country western voiced narration at the beginning, which was as bad as the one from The Thin Red Line, another turd of a movie.

Vomit inducing and sanity testing love story with a nurse which has been done to death. ""Yes ma'am, no ma'am"" over and over. Plus the cliche done to death childhood scene. ""Hey wait up bro! Hehehe I'll race you to the top of some rocks which foreshadows what I will be doing when I go to war as a man bro!"" Then KO's his bro with a brick. Garfields smile makes him look like E. T. He really got on my nerves. Andrew phone home, like he phoned in his performance.

So he's a good ole god fearing country boy who refuses to use a weapon in war, but is more than happy to let his comrades blow apart the Japanese to cover his behind while being Super Duper Medic Man to the rescue. What's the difference? Without guns he would be dead. And he uses morphine? Aren't drugs bad too bro?

He also dabbles in a game of American Football and Handball during 'combat' by deflecting and kicking away a couple of naughty grenades. You couldn't make it up. He also kindly helps out a wounded Japanese soldier. Gee what a guy.

I was laughing watching the Yanks flying through the air in slow motion, in typical Hollywood far fetched fashion, they were all striking a pose while dying or getting hit.

As many other people have mentioned, all the Japanese needed to do was cut the rope netting. Vince Vaughn was a joke. It came across as satire.

This movie blew. Religous propaganda, America is the bestest and wins etc etc blah blah. You've seen it all before folks.",1
