title,comment,rating
A Beautiful Mind,"This guy, Nash, going to an ivy league school should have been able to research possible causes of psychosis/delirium. Could he not suspect heavy metals such as lead, with his extensive training? The doctors refuse to detox patients? How hard is it for people to understand lead poisoning and the dangers of heavy metals? The doctors could have used heavy metal chelation. They could do it for the navy in the 1960's but for regular people no? Mr Nash should have had proper treatment, instead of them leaving him sick and calling it an awful illness. Then, glamorizing it as a Hollywood spectacle. Come on help these poor people.",1
A Beautiful Mind,"This movie has a little bit of everything- creativity, romance, a love that truly is for better or for worse, suspense, action, and taste. I have to admit- before this movie, I was never really a Russell Crowe fan, due in part to his reputation for being arrogant and obnoxious. I really went to see the movie because Jennifer Connelly and I are the same age and I grew up seeing her face in Sears' catalogs, never having seen any of her acting performances. But when I saw Russell and the enormity of acting talent he put forth in this movie, I was completely blown away. How wrong I was for opinionating myself and using my opinion to decide whether or not I would see any of his movies. This movie impressed me so much that I went out and rented all the Russell Crowe movies available to me, and all I can say is: Boy have I missed out through the years. His true personality radiates in every character he plays, and he was surely the right choice for the lead in ""A Beautiful Mind"". Jennifer Connelly was outstanding as Alicia Nash, and together, her and Russell were a ""Beautiful Pair"". Paul Bettany was also great. I would definitely recommend this movie to anyone in any age group, due in large part to the message it conveys- a beautiful mind, a mind that can appreciate the deeper things that most of us can't, can be a troubled one, and those closest to that""beautiful mind"" should never give up hope and keep close in mind the important things in life- compassion, long-suffering, and most of all: L-O-V-E.

9/10

2001 136 minutes Rated: PG-13 CC.",1
A Beautiful Mind,"Personally it leaves me gagging, if a movie begs for an Oscar as horribly as A BEAUTIFUL MIND does. But what makes me gag even more is that this movie is actually lying about its troubled ""hero"": In a biographic movie like this it is unacceptable to just drop or alter facts like the main character being antisemitic etc., just because it doesn't come in handy for an Academy Award.",1
A Beautiful Mind,"Another highly over-rated Hollywood film for which half the budget was spent on Marketing and the purchase of Oscars for the ""Actors"".

A fictional and very boring story about a a socially and mentally challenged mathematician who wins the Nobel prize for his Economic postulations which were of little consequence in History. The most over-rated so called Actor of contemporary History, Russell Crowe plays John Nash whilst the his doting Girlfriend and then wife is played by Jennifer Connelly.

Russel Crowe has the usual two facial expressions of arrogant and conceited throughout the film along with his monotone mumbling voice.

This film is poorly directed and drags on like a midday TV soapy about someone who is a misunderstood genius for some strange and confusing reason. Possibly all that study and a closed and unexposed wealthy upbringing brought about this strange anti-social behaviour which is interpreted as some type of mental illness as in that other highly over-rated fictional biography ""Shine"".

This film and Shine prove that Oscars can be bought.",1
A Beautiful Mind,"I just couldn't get into this movie. It was interesting up until the true meaning of the film was revealed. After that, I just sat there bored out of my mind. I couldn't get past the actor's forced accents. Almost as bad as Kevin Costner in ""13 Days"". Ack! Mindless drivel. Probably will get all the Oscar noms, tho. The Academy usually goes ga-ga over this kind of film. I rate it 1/47 of one star out of a possible 7.5.",1
A Beautiful Mind,"I got dragged to this piece of dreck on January 1, 2001. It was a stultifying waste of part of the first day of the new century, and cemented my opinion of Russell Crowe. The only thing more wooden than him are the frames of the windows marked up for this bad dream of a flick.",1
A Beautiful Mind,"*A Beautiful Mind*

I saw a Beautiful Mind a few months ago and disliked it very much. There are some movies that can be long and have a reason to be (ie. The Godfather), but this movie could have been an hour shorter. I heard reviews saying it would 'change the way you look at the world.' That is insane! I saw this movie and forgot about it until it started to sweep the Academy Awards.

Russell Crowe gives a terrible unbelievable performance! I have always thought Crowe was a good actor but the fact he was a shoe-in for best actor... It's obvious the Academy cares more about the production than the performances. Jennifer Connelly won best supporting actress. It's a shame because she wasn't a SUPPORTING actress, she was lead. And as for her performance, it was so-so. Nothing special to it.

Besides not deserving best picture and best supporting actress it also did NOT deserve best director. Ron Howard should have given his nomination to Baz Luhrman. Ridley Scott did a fantastic job recreating a war. Baz Luhrman imagined Moulin Rouge. Peter Finch took us on an trip I can't explain to you. I think every director nominated for 2001 desereved more than Ron Howard, who simply gave us a boring movie with a big name star.

In the end A Beautiful Mind will go down as a weak pick for best picture (A beautiful mind over Memento... please).

*2/10*",1
A Beautiful Mind,Am I the only the only one who cant see the logic behind this movie or is this movie plain dumb? If this movie is based on a real life experience(I believe it is) then the movie producers have done a pathetic job of portraying it. Waste of my money.,1
A Beautiful Mind,"Toxic movies that I hate forever I really believe that films like this harm not only the cinema but also our world

After watching this movie, I had nausea with the noble knowledge of mathematics. Russell Crowe and Jennifer Connelly were the worst choices for these roles. This movie can't even make proper use of its very flawed script. A child's game in the world of politics and scientists. Everything in it seems too artificial.

There is no positive point in this picture except an incomplete explain of a messy story. The ending of the film is awful and tries to deceive the audience. As the opening of the film is more awful and we don't know what kind of person we are facing. In my opinion, if Russell Crowe did not act in the movie and only read the dialogues, the result would be much, much better. At least we saw a human mathematician.

I have seen his American Gangster Phil. It was very good there. Nothing is received from him here. A biographical documentary is even more beautiful...",1
A Beautiful Mind,"After sleeping through such over-rated tripe such as ""In the Boring

Bedroom"", I was looking forward to seeing this movie. But I'd forgot

that it's a Ron Howard movie, which means that any edge is dulled

to the point of ridiculousness. Only this director could take such a

fascinating story and make it so safe and cuddly, it's the feel good

crazy genius movie of 2002! With very little basis in reality- I heard

the author of the book interviewed on the radio, and it was fun

listening to him try and find something good to say about this

movie- I found myself watching the extras, waiting for some sign of

life. Well filmed, well performed, safe and ultimately a tv movie.",1
A Beautiful Mind,"This and IN THE BEDROOM should be required viewing for insomniacs who also happen to be 'culture vultures'. Neither movie has much going for it, but this year has been so AWFUL for films that this is the best we can drum up. Ronnie Howard glosses over a good story and makes it palitable for any market, turning it into a Hallmark Special. Some of the acting is good, but overall a big ho-hum.",1
A Beautiful Mind,"This movie has the _worst_ plot I have ever observed. Despite my best attempt to remain objective and view the film sans preconceptions (other than to be entertained), I found myself uninspired in the middle of the film.

""A Beautiful Mind"" seems incapable of focus. The first half of the film seems to be a comedy, but the last half is a depressing clichéd drama. The film itself seems to be schizophrenic (even manic-depressive).

There is very little that is original or innovative in _A Beautiful Mind_ [that is unless you consider reorganization of main characters mid-film innovative]. Furthermore, the answers provided by the film to questions of epistemology [nature of and limits of knowledge] and questions of existence [answers] are merely hackneyed drivel.

Both _The Matrix_ and _Sixth Sense_ do a far better job of asking the same questions and providing answers.

I do, on the other hand, concede that the acting in _A Beautiful Mind_ is worthy of praise. Russel Crowe and Jennifer Connelly do a marvelous job of bailing out an otherwise sinking ship. However, this movie does _not_ merit the Academy Award for Best Picture--an award usually reserved for a balanced film (acting and plot) [sort of a 'best-of-show' award].",1
A Beautiful Mind,"*A Beautiful Mind*

This film is the most over rated film of 2001. I don't know how on earth it won best picture, director, and nomination for best actor. I just can't believe it.

I saw the real John Nash on Larry King the other day and let me tell you his accent is nothing like the thing Russelle Crowe tried to do. What kind of accent was Crowe using anyways? Sure Jennifer Connelly did great but she wasn't supporting, she was lead actress! That just shows the members of the academy didn't really see this movie they just gave into the hype and voted on it.

I love movies of all genres. I loved Forest Gump. I should love a movie like this, but I don't. As far as I saw it was just hype. There is nothing special bout this movie. It's just a film with big name actor backed up by hype galore. I still can't believe it won so many awards...

*4/10*",1
A Beautiful Mind,"I walked into the movie theater.. getting ready to see ""A Beautiful Mind"". I had remembered looking in the papers and reading reviews for it. Every single review was not four stars but three and a half stars. How goofy is that!? Anyways - I walked in the theater. I was probably the only person in there under 30. That depressed me. I quietly sat down next to a bus load of senior citizens. The movie theater was silent. The movie started and I tried focusing on it. Halfway into it, I left. I have never done that to a movie before. I was falling asleep. So I went into Crossroads - which was pure trash.. but I got more of a thrill out of THAT than ""A Beautiful Mind"". So after Crossroads got out, I decided to go back into ""A Beautiful Mind"" - which surprisingly was still dragging itself along.. for another HOUR! So after that got out.. I overheard some of the old geezers. They were saying things like ""That film was.. uh (cough, cough) brilliant"". It was actually pretty funny.

I could see Ron Howard sitting in his fold-up director's chair with his bull-horn and baseball cap thinking about his oscar-winning speech as he's directing this oscar-dribble. What I'm trying to say is - this film was purely made to win the oscars. And with Oscar-dribble, I mean it's one of those movies that is completely oscar-worthy, and nothing else. The film-makers were full of themselves everone gave into it. I would not recommend this movie to anyone. It's purely oscar trash.",1
