title,comment,rating
Catch Me If You Can,"I heard a lot about this film.I saw it today and thought it was a brilliant script and how the big name director and star actors ruined a beautiful script.This film was about brilliant characters of Frank and his father which should have been played in a unique way not just plain ,the way Martin Sheen and Leonardo played them.Tom Hanks looked like a stupid who could not capture a victim who is right in front of him like four times.Can you imagine that FBI would act like that and let the guy run around like that??? Leonardo, Martin Sheen and Jennifer Garner were more concerned about what they are wearing and how they look rather than getting into depths of these wonderful characters. It was not a comedy as I read the script and Spielberg could not get the script and just made it a plain movie .Give this film to British directors and actors and see what a wonderful classic film they will make out of it.",1
Catch Me If You Can,"Why is it that Leo always gets these roles that cast him as a suave, debonair ladies man from books such as the Beach and now Catch Me if You Can?

I actually read this book fifteen years ago as a fifth grade autobiography project. What I do remember is that Frank Abagnale stressed that he was able to accomplish his feats because he looked ten years older than he actually was. Yet you have the reverse with Leo. Can anyone tell me why?

It is almost as if Steven Spielberg recognized the moral vacuum of this film and looked to Leo as some sort of insurance.

I did find one chuckle. I was ten years old when Frank Abagnale managed to capture my attention by his bamboozling, and now Leo seems to have stepped squarely into Frank's shoes. Way to go Leo!

Please go watch something else, anything else, except for The Beach.",1
Catch Me If You Can,"Were very disappointed with this movie, and we want our money back. Except for few laughs here and Steven and Tom's partnership should end NOW just like it should of ended after the lousy band of brothers.

Wait for the video to come out. Go see LOTR II or GONY.

another disappointing movie this year.",1
Catch Me If You Can,"Not original plot, not good acting...worse director. Hanks forgot how to play a rol with sense, Di Caprio could show he is a great actor when he finishes working with Spielberg and cameron.",1
Catch Me If You Can,"Maybe this is the worst movie for Tom Hanks...

In other words...It's the first bad movie for Tom Hanks.... as Usual..Steven Spielberg ruins the movie as he did with Minority Report and he turns out the actors into machines and takes away their ability to show us the great emotions and drama ...that's what he did with Tom Cruise and this time with the other great Tom....Hanks

Spielberg turned him to a lousy F.B.I agent with no creativeness at all..doing just his boring job to catch a boring kid and for what ?..to work in the next office to him in the end in the same boring job. that's it

Spielberg turned the great actors to machines-like and ruined the whole beautiful emotionable story..

so I don't think this movie is gonna win anything in the Oscar and I think it's a great chance for Tom Hanks to start thinking again about his Old movies and to try to get his high level back in the future...",1
Catch Me If You Can,"If you can make it through this Chinese water torture you can get POW status! This is the slowest movie I think I have ever seen. (My wife claims that only ""True Stories"" by the Talking Heads makes a better sleeping pill.) It is a good example of how a lot of talented people can get together and in a self-important moment design a mundane period piece that only artsy types would like. Except this trifle is not even artful. Part of the problem is the movie claims to be a ""secret agent man""-type thriller...but where you expect a Beatles concert you get ""That Thing You Do."" Tripe.",1
Catch Me If You Can,"This movie is long and drawn out. I was surprised to be in a movie theater by myself for the first time in my life. About half way through the movie I thought ""okay all the set-up is done, now it will get more interesting."" It didn't. Now I know why there was nobody else in the theater. This movie is just long and drawn out and there is no climax, no build-up... You would think that a movie called ""Catch Me If You Can"" would be a fast paced movie... but this one only made time strech out and slow down.",1
Catch Me If You Can,Spielberg would have stuck to the real life of this con man and eliminated the ridiculous sexism. It detracted from the story.,1
Catch Me If You Can,"Shallow, shiny, sloppy Spielbergian nonsense. Unwatchable for us, having to shut things down after a fairly short struggle to locate a logical sequence or a believable bit of dialogue. I just couldn't ""buy"" many of the scenarios presented, with things seeming jumbled and rushed - surprising considering that this is a particularly long film (but we were apparently intended to buy a LOT, as many have indicated that much/most of Frank's exploits were exaggerations or fabrications). Hanks seemed unusually hollow and un-present, but then everything had that feel - like a poorly thought out and realized cartoon. I have been entertained by bad films, but not by this one. Will admit to generally not being a fan of Spielberg's approach as a director, but I did like Duel.",1
Catch Me If You Can,"Spielberg has made some awful films in his long career (AI for one) but this is by far his worst. Its such a shame because the guy is obviously highly talented, doesn't need the cash, and should have the confidence in his own abilities and the audience not to need to stoop to Disney techniques in order to embellish a great, true story. So many things just didn't add up, particularly in some of the characterisations - the young girl's parents, for instance, just weren't the type to have thrown her out of the house when they found she was pregnant. No, reality really is better than fiction and all those things that Spielberg added in a naive attempt to interest the audience were just the things which turned them off. And, oh, what was that awful boring, long, pastiche of a title sequence at the front? Most of the audience were asleep, or talking, before they saw the first frame of the story. Hollywood yet again gets it wrong.",1
Catch Me If You Can,"I suffered through this waste of film just a few hours ago and I really disliked it. The movie was extremely slow and the story was just boring. Also it didn't help that I hate, no loathe Leonardo de Craprio. The movie had nothing that I enjoyed. Nothing. I wish I could get back the time I lost watching it.",1
